movie_id,title,genres,plot_summary,director,stars
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"Toy Story follows the adventures of a group of toys that come to life when their owner, Andy, is not around. The leader of the toys, Woody, gets jealous when a new spaceman toy, Buzz Lightyear, becomes Andy's favorite. The two toys end up lost and must work together to find their way back home, all while navigating through various obstacles and challenges. Through their journey, Woody and Buzz learn the true meaning of friendship and loyalty.",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles"
2,Jumanji (1995),Adventure|Children|Fantasy,"In 'Jumanji', a magical board game unleashes a world of adventure and chaos when two siblings discover it in an old mansion. Every roll of the dice leads to unpredictable and dangerous events that must be faced in order to finish the game and set things right. As the game's jungle-themed challenges come to life, the players must work together to survive and outsmart the game's traps. With time running out and the stakes high, they must find a way to win before they are trapped in the game forever.",Joe Johnston,"Robin Williams, Kirsten Dunst, Bonnie Hunt"
3,Grumpier Old Men (1995),Comedy|Romance,"In this sequel to 'Grumpy Old Men', lifelong frenemies John Gustafson and Max Goldman continue their comedic rivalry in a small Minnesota town. When the vivacious Maria Ragetti moves in next door, both men try to win her affection, leading to hilarious antics and schemes. Meanwhile, John's daughter Melanie becomes engaged, causing further tension between the two old friends. As they navigate love, family, and aging, John and Max ultimately come to realize the true value of their friendship.",Howard Deutch,"Jack Lemmon, Walter Matthau, Sophia Loren"
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"Waiting to Exhale is a drama film that follows the lives of four African-American women living in Phoenix, Arizona. Each woman is dealing with various personal and romantic struggles, including infidelity, single motherhood, and finding self-worth. As they navigate their challenges, the four friends rely on each other for support and understanding, forming a strong bond that helps them through difficult times. The film explores themes of friendship, love, and empowerment as the women confront their pasts and strive to create better futures.",Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine"
5,Father of the Bride Part II (1995),Comedy,"In 'Father of the Bride Part II', George Banks is shocked to learn that his wife Nina is pregnant, just as their daughter Annie is also expecting a baby. George struggles to come to terms with becoming a father again at his age, while dealing with the chaos of planning two simultaneous baby showers and managing the expectations of his family. As the due dates approach, George must navigate the challenges of impending fatherhood once more, balancing his own anxieties with the excitement and love that comes with expanding his family.",Charles Shyer,"Steve Martin, Diane Keaton, Martin Short"
6,Heat (1995),Action|Crime|Thriller,"Heat (1995) is a crime thriller directed by Michael Mann. The film follows the cat-and-mouse game between a brilliant master thief, Neil McCauley (portrayed by Robert De Niro), and an obsessive LAPD detective, Vincent Hanna (played by Al Pacino). As McCauley plans a major heist, Hanna is determined to bring him to justice. The intense and gripping narrative explores the complex dynamics between the two characters as their paths inevitably converge, leading to a dramatic and memorable showdown.",Michael Mann,"Robert De Niro, Al Pacino, Val Kilmer"
7,Sabrina (1995),Comedy|Romance,"Sabrina is a romantic comedy about a chauffeur's daughter named Sabrina Fairchild who is in love with her employer's playboy son, David. After a trip to Paris transforms Sabrina into an elegant and confident woman, she catches the attention of David, who is engaged to another woman. As Sabrina and David's relationship blossoms, complications arise, including Sabrina's longstanding crush on David's responsible older brother, Linus. Directed by Sydney Pollack, the film explores themes of love, self-discovery, and the complexities of relationships.",Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear"
8,Tom and Huck (1995),Adventure|Children,"Tom and Huck is a 1995 American adventure comedy-drama film based on Mark Twain's novel The Adventures of Tom Sawyer. The story follows Tom Sawyer and Huckleberry Finn as they witness a murder and must go on the run to escape the killer. Along the way, they have various adventures and develop a strong friendship. The film explores themes of friendship, loyalty, and the innocence of childhood, set against a backdrop of small-town America in the 19th century.",Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig"
9,Sudden Death (1995),Action,"In 'Sudden Death', a former firefighter turned fire inspector finds himself in a deadly game of cat-and-mouse with terrorists who have taken over a hockey arena during the Stanley Cup Finals. Racing against time, he must not only save the hostages, including his own children, but also prevent a catastrophic explosion that could kill thousands. With tension mounting and stakes high, he must use his skills and resourcefulness to outsmart the terrorists and save the day.",Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry"
10,GoldenEye (1995),Action|Adventure|Thriller,"In 'GoldenEye,' James Bond must stop a former MI6 agent, Alec Trevelyan, from using a powerful satellite weapon to destroy London. Along the way, Bond teams up with Russian computer programmer Natalya Simonova to uncover the conspiracy and take down the villain. As Bond races against time, he faces intense action sequences, thrilling chase scenes, and a climactic showdown atop the satellite dish. The film combines high-stakes espionage with classic Bond charm and wit, making it a standout entry in the franchise.",Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco"
11,"American President, The (1995)",Comedy|Drama|Romance,"The American President follows widowed U.S. President Andrew Shepherd as he navigates the challenges of leading the country while also falling in love with an environmental lobbyist named Sydney Ellen Wade. As their relationship blossoms, President Shepherd faces political backlash and pressure from his staff, ultimately having to decide between pursuing love or his political career.",Rob Reiner,"Michael Douglas, Annette Bening, Martin Sheen"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"In this horror-comedy spoof, Count Dracula is brought back to life in 19th-century England and wreaks havoc in his attempt to turn the locals into his undead minions. As chaos ensues, a group of vampire hunters led by Dr. Van Helsing try to stop him. The movie is filled with slapstick humor and parodies classic vampire lore, making fun of various horror tropes along the way.",Mel Brooks,"Leslie Nielsen, Mel Brooks, Peter MacNicol"
13,Balto (1995),Adventure|Animation|Children,"Balto is a animated adventure film based on a true story about a half-wolf, half-dog who embarks on a treacherous journey to deliver medicine to a remote Alaskan town suffering from a deadly epidemic. Along the way, Balto faces various challenges and learns the true meaning of heroism and determination. The film showcases themes of courage, friendship, and perseverance, making it a heartwarming and inspiring story for viewers of all ages.",Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda"
14,Nixon (1995),Drama,"Nixon is a biographical drama that follows the political career of Richard Nixon, from his early years to his presidency and eventual resignation in the wake of the Watergate scandal. The film delves into Nixon's complex personality, his struggles with power and ambition, and the turbulent times of the 1960s and 70s. It portrays the highs and lows of his presidency, including his foreign policy achievements and domestic controversies.",Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe"
15,Cutthroat Island (1995),Action|Adventure|Romance,"In this action-adventure film, Morgan Adams, a fearless female pirate, sets out on a high-seas treasure hunt to find the three parts of a map that will lead her to the legendary Cutthroat Island. Along the way, she teams up with her ex-lover and a slave who knows the whereabouts of the final piece. However, they face numerous obstacles including rival pirates and treacherous waters in their quest for the hidden treasure.",Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella"
