action_id,description
0ojRRhvu11DrfTDa3FC1bpJ9ebvEKjKB,wanting to skip school after going out with my friends the night before
jCNDofqkxZUXS0gLrxRrcVGIp3HmPLgR,denying my father €14
eY7LcPQhhbZOtKcpvxs1LpHDhSSscZwL,"wanting to move out when my mom pays my bills, even though she treats me like shit"
8iL1QwhVdspjARCPBaPpyjnuvBO9qfyD,sharing a pornographic video of a female colleague at work that I randomly found with my coworkers
6Rm694eEOGTGvjcES2QL4ntCE8mXawBn,thinking my ex needs to get over me cheating on him and am annoyed that he's not
MVBgZtbrOFoxRvvVUUptD9WXYPwW9fy5,wanting different NYE plans from my gf
ZRe4OtJ4g0EFPFKFK38mg0RjOMGRuNnk,not partially cleaning my table at a fast-casual restaurant where there are no trash cans around and bussers are walking around cleaning tables
qRcDcFOkdOusgRyM5BvjNjuDLlZOosXC,calling out my mother
lwvnLM0VZQW2WZnuIsLmInhl2Fzena0o,bringing a chair home
76gdyX56ZTExOBaFNU4BqKM1RDxzSUew,trusting this guy
oGIQSPEU2kpy7gLaEfRNf9t3LVxOJVAc,not going out with a certain group of people
FngPS7vLpBxNW6bHPUw1Fhqvmu4zhKQV,leaving my neighbors wet clothes on the washer
GweVtqN8uR1ywMjpKcJtGObnq2jqvj5k,trying to get the guy I am seeing to try new foods
Ix02IJlPfAefeNHuQiVGZltWZtFq2JPT,ripping my 3 year olds PreK a new one
70jOHtlYWV5yKN2P1Ombw2LBMZ87hRPi,not cutting a customer's hair
52zBwBr8cmSlXpL5Mx9U3zgDzqb9EQM4,not wanting my kids to eat candy for breakfast
f1bAciZVIufyyGMhO5TvtKq1BGSaUioK,breaking up with my depressed girlfriend
ojQdV3WDkTEuwnJRDpOGpgLqaKJorc5t,"asking random women to join me at a bar, then asking them to buy the second round"
0tP9Cs2OVpqHu0cWY8SZBetUAET8uniI,calling my friend jealous
hA6rrjfvGvDwxSWdQLC9N590jUPDMa6I,"trying to be friends with a guy I briefly dated, who likely still likes me"
sAWdQHkleIzL8iSccBoADU9e8gJTJldN,wanting to go day drinking with some friends for st.patricks day
3qmDc2WCSz15t87lpLjbeoc0XCyvmBph,revoking the title of best man from my friend
9BCZPjD57wYCgjQB3S50Z8PLaHvzCPNb,denying my Cousin the right to sell his Games for Weed
EbhUW4BGGVaFKqAeJIbvNXKeS2fTdJO1,embracing my background with my girlfriend who disagrees with it
Wvi6GKL1lz05Z76M904aUj92dwKDrb4T,hurting the feelings of a depressing friend
