condition,lambda,scale,alpha,test_ll_std,test_ll_part,test_acc_std,test_acc_part,delta_ll,delta_acc,n_obs
choice_only,0.05,0.5,0.0,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,0.5,0.02,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,0.5,0.05,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,0.5,0.1,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,0.5,0.15,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,0.5,0.2,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,0.5,0.3,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,0.5,0.5,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,0.5,0.75,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,0.5,1.0,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.0,0.0,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.0,0.02,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.0,0.05,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.0,0.1,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.0,0.15,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
choice_only,0.05,1.0,0.2,-0.6926096445676121,-0.6548652643993677,0.6177419354838709,0.6298387096774193,0.03774438016824445,0.012096774193548385,62
