lambda,gamma,alpha,qualtrics_id,condition,domain,fold,n_test,test_acc_std,test_ll_std,test_acc_part,test_ll_part,test_acc_blend,test_ll_blend,delta_ll,delta_acc
0.001,0.0,0.0,R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,0,4,0.75,-0.6923275991814979,1.0,-0.27150529272736557,0.75,-0.6923275991814979,0.0,0.0
0.001,0.0,0.0,R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,1,4,0.5,-0.692107728588651,0.5,-0.5179317312202335,0.5,-0.692107728588651,0.0,0.0
0.001,0.0,0.0,R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,2,4,0.5,-0.6930055898490717,0.5,-0.7973513023702823,0.5,-0.6930055898490717,0.0,0.0
0.001,0.0,0.0,R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,4,0.75,-0.6921698893625947,1.0,-0.35327942031836645,0.75,-0.6921698893625947,0.0,0.0
0.001,0.0,0.0,R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,4,0.5,-0.6916124977152831,1.0,-0.17410684236192464,0.5,-0.6916124977152831,0.0,0.0
0.001,0.0,0.0,R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,0,4,0.75,-0.6928161057074206,0.5,-0.771270282213357,0.75,-0.6928161057074206,0.0,0.0
0.001,0.0,0.0,R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,1,4,0.25,-0.6937101957354634,0.5,-0.6974266255243042,0.25,-0.6937101957354634,0.0,0.0
0.001,0.0,0.0,R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,2,4,0.75,-0.6924772749383264,0.5,-0.6420871598975596,0.75,-0.6924772749383264,0.0,0.0
0.001,0.0,0.0,R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,4,0.75,-0.692553249130433,0.5,-0.6546260162768338,0.75,-0.692553249130433,0.0,0.0
0.001,0.0,0.0,R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,4,4,0.5,-0.6927715965415814,0.5,-0.6934761835906569,0.5,-0.6927715965415814,0.0,0.0
