qualtrics_id,condition,domain,t,fit,test_acc,test_ll
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,random_projection,0.6666666666666666,-0.6911374492569685
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,projection_only,0.6666666666666666,-0.47516337397712705
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,projection_alpha,0.6666666666666666,-0.47516337397712705
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,random_projection,0.5,-0.692396870601112
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,projection_only,0.5,-0.6772702491845977
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,projection_alpha,0.5,-0.6772702491845977
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,5,random_projection,0.4,-0.6931646555939153
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,5,projection_only,0.2,-0.9631665247068334
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,5,projection_alpha,0.2,-0.9631665247068334
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,6,random_projection,0.5,-0.692660889441094
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,6,projection_only,0.3333333333333333,-0.8933961027937057
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,6,projection_alpha,0.3333333333333333,-0.8933961027937057
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,7,random_projection,0.2857142857142857,-0.6938764180400979
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,7,projection_only,0.42857142857142855,-0.8092970572771525
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,7,projection_alpha,0.42857142857142855,-0.8092970572771525
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,8,random_projection,0.375,-0.6950059462680558
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,8,projection_only,0.5,-0.7667378304252089
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,8,projection_alpha,0.5,-0.7667378304252089
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,9,random_projection,0.1111111111111111,-0.696464641764497
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,9,projection_only,0.6666666666666666,-0.6973740896798729
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,9,projection_alpha,0.6666666666666666,-0.6973740896798729
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,10,random_projection,0.2,-0.6958080743251867
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,10,projection_only,0.4,-0.7621376610316859
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,10,projection_alpha,0.4,-0.7621376610316859
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,11,random_projection,0.36363636363636365,-0.6942439375081079
