qualtrics_id,condition,domain,t,fit,test_acc,test_ll
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,random_projection,0.6666666666666666,-0.6929446076993505
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,projection_only,0.6666666666666666,-0.6468510586199181
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,projection_alpha,0.6666666666666666,-0.6841338752995941
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,random_projection,0.5,-0.6930717229626151
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,projection_only,0.5,-0.6893281214617246
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,projection_alpha,0.5,-0.6924144847175338
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,5,random_projection,0.4,-0.6931494772535746
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,5,projection_only,0.2,-0.744258308465849
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,5,projection_alpha,0.2,-0.7028745917384118
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,6,random_projection,0.5,-0.6930986771395174
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,6,projection_only,0.16666666666666666,-0.7357529212507427
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,6,projection_alpha,0.16666666666666666,-0.7013603515244035
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,7,random_projection,0.2857142857142857,-0.6932206816919918
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,7,projection_only,0.2857142857142857,-0.7219317665102162
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,7,projection_alpha,0.2857142857142857,-0.6988179770192354
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,8,random_projection,0.375,-0.6933335260927588
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,8,projection_only,0.5,-0.717242270543391
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,8,projection_alpha,0.5,-0.6980355564679801
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,9,random_projection,0.1111111111111111,-0.6934821703105922
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,9,projection_only,0.6666666666666666,-0.6972725174592069
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,9,projection_alpha,0.5555555555555556,-0.694071673001353
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,10,random_projection,0.2,-0.6934162199724898
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,10,projection_only,0.5,-0.7159312914184118
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,10,projection_alpha,0.5,-0.6980722675553314
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,11,random_projection,0.36363636363636365,-0.6932583517735177
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,11,projection_only,0.36363636363636365,-0.7193274830444375
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,11,projection_alpha,0.36363636363636365,-0.699149466165034
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,12,random_projection,0.3333333333333333,-0.6933305364254013
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,12,projection_only,0.4166666666666667,-0.7193267810661608
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,12,projection_alpha,0.4166666666666667,-0.6989402369417662
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,13,random_projection,0.3076923076923077,-0.6932589382670448
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,13,projection_only,0.46153846153846156,-0.7092959433915661
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,13,projection_alpha,0.46153846153846156,-0.6969535008279691
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,14,random_projection,0.5714285714285714,-0.6932013837870297
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,14,projection_only,0.35714285714285715,-0.7181649369873707
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,14,projection_alpha,0.35714285714285715,-0.6991450672368978
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,15,random_projection,0.6,-0.6931229586343899
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,15,projection_only,0.4,-0.7147218973082072
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,15,projection_alpha,0.4,-0.6984061666662197
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,16,random_projection,0.5625,-0.6931684068516455
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,16,projection_only,0.5,-0.7123622420085636
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,16,projection_alpha,0.4375,-0.6977510150092279
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,17,random_projection,0.47058823529411764,-0.6932669143043038
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,17,projection_only,0.5882352941176471,-0.7024333396140234
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,17,projection_alpha,0.5882352941176471,-0.6955493757647434
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,18,random_projection,0.4444444444444444,-0.693309972787564
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,18,projection_only,0.6111111111111112,-0.6901736950031261
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,18,projection_alpha,0.6111111111111112,-0.6923403605843772
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,19,random_projection,0.5263157894736842,-0.6932710860213341
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,19,projection_only,0.631578947368421,-0.6819320812346963
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,19,projection_alpha,0.6842105263157895,-0.6898578078502086
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,20,random_projection,0.6,-0.6932275962267427
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,20,projection_only,0.65,-0.6721571701967839
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,20,projection_alpha,0.7,-0.6871097853388128
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,random_projection,0.3333333333333333,-0.6931829003096731
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,projection_only,0.0,-0.7219121753023644
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,3,projection_alpha,0.0,-0.6991112644707237
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,4,random_projection,0.5,-0.6931697755870021
R_56aT1YjmRtKACUH,inference_categories,dailydilemmas,4,projection_only,0.5,-0.6569313813237434
