qualtrics_id,condition,domain,t,fit,test_acc,test_ll
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,random_projection,0.6666666666666666,-0.6920244470761876
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,projection_only,0.6666666666666666,-0.4987539988021954
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,3,projection_alpha,0.6666666666666666,-0.6849879972095749
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,random_projection,0.5,-0.6924854214078207
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,projection_only,0.5,-0.669474254493105
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,4,projection_alpha,0.5,-0.6921757545556466
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,5,random_projection,0.4,-0.6932119027272916
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,5,projection_only,0.2,-0.9047734598734486
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,5,projection_alpha,0.2,-0.7009857953385012
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,6,random_projection,0.5,-0.6923289403511493
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,6,projection_only,0.3333333333333333,-0.8501708057809981
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,6,projection_alpha,0.16666666666666666,-0.6998861308344818
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,7,random_projection,0.42857142857142855,-0.6935584562329843
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,7,projection_only,0.42857142857142855,-0.7866300399981447
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,7,projection_alpha,0.2857142857142857,-0.6978890578348043
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,8,random_projection,0.375,-0.6944622479270086
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,8,projection_only,0.5,-0.7441432707005193
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,8,projection_alpha,0.5,-0.6968968886690553
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,9,random_projection,0.1111111111111111,-0.6957202862833739
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,9,projection_only,0.6666666666666666,-0.682272660672156
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,9,projection_alpha,0.5555555555555556,-0.693345055383294
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,10,random_projection,0.1,-0.6957331355529576
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,10,projection_only,0.6,-0.7410470909709584
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,10,projection_alpha,0.5,-0.6968633403542989
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,11,random_projection,0.2727272727272727,-0.6943318258093519
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,11,projection_only,0.45454545454545453,-0.7210000950166601
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,11,projection_alpha,0.36363636363636365,-0.6975847973116
R_5EfMjMbx1z8Kvhl,inference_categories,dailydilemmas,12,random_projection,0.3333333333333333,-0.6945557136767415
