participant_id,qualtrics_response_id,condition,domain,n_trials,loo_random,loo_proj_only,loo_proj_alpha,h1_augmented,h1_baseline,h2_signed_likert,h3_aug_minus_base
R_31Qn4mPCLeajr4B,R_31Qn4mPCLeajr4B,inference_affirm,movies_100,20,0.7,0.85,0.85,0.85,0.85,1.0,0.0
R_5fNSPpfbJlcXl6d,R_5fNSPpfbJlcXl6d,choice_only,movies_100,20,0.5,0.5,,0.5,0.5,1.0,1.0
R_3dg068mL64Zi4K1,R_3dg068mL64Zi4K1,choice_only,movies_100,20,0.5,0.6,,0.6,0.5,-2.0,4.0
R_7Et7x70CHF5rFKl,R_7Et7x70CHF5rFKl,inference_affirm,movies_100,20,0.7,0.65,0.75,0.75,0.65,2.0,-3.0
R_6TVClc03nkpZnwd,R_6TVClc03nkpZnwd,choice_only,movies_100,20,0.25,0.55,,0.55,0.25,-2.0,3.0
R_5B3RY5TzQzraBah,R_5B3RY5TzQzraBah,choice_only,movies_100,20,0.55,0.6,,0.6,0.55,2.0,5.0
R_3wFjaM2pISrNwEn,R_3wFjaM2pISrNwEn,inference_categories,movies_100,20,0.6,0.6,0.7,0.7,0.6,-3.0,0.0
R_1CjVZhGhzRlGVC4,R_1CjVZhGhzRlGVC4,inference_affirm,movies_100,20,0.25,0.75,0.8,0.8,0.75,1.0,5.0
R_72IMDeTq2XcX25z,R_72IMDeTq2XcX25z,inference_affirm,movies_100,20,0.55,0.75,0.75,0.75,0.75,2.0,2.0
R_1J58q3lNFrbe88R,R_1J58q3lNFrbe88R,inference_categories,movies_100,20,0.4,0.55,0.7,0.7,0.55,3.0,2.0
R_7yE9EpygZ2EwqYx,R_7yE9EpygZ2EwqYx,choice_only,movies_100,20,0.2,0.35,,0.35,0.2,3.0,2.0
R_7TNmzpQkgy245k7,R_7TNmzpQkgy245k7,inference_affirm,movies_100,20,0.75,0.85,0.85,0.85,0.85,2.0,2.0
R_7JslqsGFOwWag4Q,R_7JslqsGFOwWag4Q,inference_categories,movies_100,20,0.6,0.85,0.8,0.8,0.85,2.0,5.0
R_34obuTUxZGhnz9G,R_34obuTUxZGhnz9G,inference_categories,movies_100,20,0.45,0.7,0.8,0.8,0.7,2.0,0.0
R_7lsK79592c8teNX,R_7lsK79592c8teNX,choice_only,movies_100,20,0.7,0.55,,0.55,0.7,-2.0,0.0
R_1LOSuT343KPALFX,R_1LOSuT343KPALFX,inference_affirm,movies_100,20,0.55,0.65,0.65,0.65,0.65,3.0,0.0
R_5WbFSGuM6nH5Lnr,R_5WbFSGuM6nH5Lnr,choice_only,movies_100,20,0.65,0.8,,0.8,0.65,1.0,4.0
R_10SZYpPaQrSAoQ5,R_10SZYpPaQrSAoQ5,choice_only,movies_100,20,0.55,0.65,,0.65,0.55,-2.0,2.0
R_1SmrORQox0wodIR,R_1SmrORQox0wodIR,choice_only,movies_100,20,0.45,0.5,,0.5,0.45,1.0,-1.0
R_5sbhRDL8ycyNilV,R_5sbhRDL8ycyNilV,inference_categories,movies_100,20,0.45,0.7,0.85,0.85,0.7,2.0,2.0
R_5ejVs4tDctGcXiF,R_5ejVs4tDctGcXiF,choice_only,movies_100,20,0.6,0.85,,0.85,0.6,2.0,4.0
R_7IW9CUSLZZsaByN,R_7IW9CUSLZZsaByN,inference_affirm,movies_100,20,0.65,0.7,0.7,0.7,0.7,-1.0,-1.0
R_395jpifw80VMrkZ,R_395jpifw80VMrkZ,inference_categories,movies_100,20,0.6,0.35,0.4,0.4,0.35,-1.0,-2.0
R_7iVdf9kPNyM9lTM,R_7iVdf9kPNyM9lTM,inference_affirm,movies_100,20,0.15,0.65,0.75,0.75,0.65,-2.0,1.0
R_6rHaldReGEZ9E3L,R_6rHaldReGEZ9E3L,choice_only,movies_100,20,0.7,0.35,,0.35,0.7,2.0,2.0
R_6nNuLoL4310LzCd,R_6nNuLoL4310LzCd,inference_affirm,movies_100,20,0.45,0.3,0.3,0.3,0.3,2.0,0.0
R_3h7Bt4mhHago2hH,R_3h7Bt4mhHago2hH,inference_categories,movies_100,20,0.55,0.4,0.6,0.6,0.4,2.0,4.0
R_7QLHj6YNbjwFoKj,R_7QLHj6YNbjwFoKj,inference_categories,movies_100,20,0.55,0.8,0.75,0.75,0.8,3.0,-2.0
R_594f0CmDSmBfnCA,R_594f0CmDSmBfnCA,inference_categories,movies_100,20,0.6,0.55,0.65,0.65,0.55,2.0,1.0
R_50OZ07QPnFc3NRf,R_50OZ07QPnFc3NRf,inference_affirm,movies_100,20,0.55,0.65,0.65,0.65,0.65,-2.0,-5.0
R_6rl4jrHj1ygbJQt,R_6rl4jrHj1ygbJQt,choice_only,movies_100,20,0.35,0.6,,0.6,0.35,2.0,5.0
