participant_id,qualtrics_response_id,condition,domain,n_trials,loo_random,loo_proj_only,loo_proj_alpha,h1_augmented,h1_baseline,h2_signed_likert,h3_aug_minus_base
R_7rIxdyq00U6ZjHa,R_7rIxdyq00U6ZjHa,choice_only,movies_100,20,0.75,0.75,,0.75,0.75,1.0,4.0
R_7DSgkzToekN8VOd,R_7DSgkzToekN8VOd,inference_categories,movies_100,20,0.8,0.75,0.75,0.75,0.75,-3.0,0.0
R_33fPus6Mx9RqlWe,R_33fPus6Mx9RqlWe,choice_only,movies_100,20,0.55,0.65,,0.65,0.55,-3.0,1.0
R_3LGUx1umdoN7jK9,R_3LGUx1umdoN7jK9,choice_only,movies_100,20,0.35,0.6,,0.6,0.35,1.0,5.0
R_7XRcP7EeYCEfrwt,R_7XRcP7EeYCEfrwt,inference_categories,movies_100,20,0.65,0.65,0.7,0.7,0.65,2.0,-1.0
R_5LuFzSF5Z5LwYKI,R_5LuFzSF5Z5LwYKI,choice_only,movies_100,20,0.55,0.6,,0.6,0.55,-3.0,5.0
R_6HGhopuZhfioQod,R_6HGhopuZhfioQod,inference_categories,movies_100,20,0.35,0.6,0.6,0.6,0.6,3.0,2.0
R_14FJMpCua0PRCJb,R_14FJMpCua0PRCJb,inference_categories,movies_100,20,0.45,0.65,0.65,0.65,0.65,3.0,0.0
R_3pfepmJQpsJpheP,R_3pfepmJQpsJpheP,inference_affirm,movies_100,20,0.5,0.7,0.6,0.6,0.7,1.0,1.0
R_5s4WqRUgyQFse6C,R_5s4WqRUgyQFse6C,inference_affirm,movies_100,20,0.7,0.9,0.75,0.75,0.9,2.0,0.0
R_5QZPoam2b4GC23v,R_5QZPoam2b4GC23v,inference_affirm,movies_100,20,0.6,0.45,0.45,0.45,0.45,3.0,1.0
R_7czdlGV4JNBdt4t,R_7czdlGV4JNBdt4t,inference_affirm,movies_100,20,0.45,0.5,0.5,0.5,0.5,2.0,1.0
R_55yOJdqEdDWM18t,R_55yOJdqEdDWM18t,choice_only,movies_100,20,0.55,0.6,,0.6,0.55,1.0,4.0
R_33ghlw8LYV1ulA5,R_33ghlw8LYV1ulA5,inference_affirm,movies_100,20,0.85,0.75,0.65,0.65,0.75,2.0,1.0
R_6f7Frsj4PVrYSRG,R_6f7Frsj4PVrYSRG,choice_only,movies_100,20,0.65,0.7,,0.7,0.65,-1.0,4.0
R_5F3PEBa61TB7N2c,R_5F3PEBa61TB7N2c,inference_affirm,movies_100,20,0.6,0.6,0.45,0.45,0.6,1.0,2.0
R_6m0XWRpBojGYC8F,R_6m0XWRpBojGYC8F,inference_categories,movies_100,20,0.65,0.65,0.65,0.65,0.65,-2.0,1.0
R_6GD839QRNNRrHZ7,R_6GD839QRNNRrHZ7,inference_affirm,movies_100,20,0.7,0.7,0.65,0.65,0.7,2.0,-5.0
R_1jcAwn5OY5vXjew,R_1jcAwn5OY5vXjew,choice_only,movies_100,20,0.45,0.9,,0.9,0.45,2.0,0.0
R_1IQkj8eiet1OqnT,R_1IQkj8eiet1OqnT,choice_only,movies_100,20,0.5,0.4,,0.4,0.5,2.0,3.0
R_13eJh6aJbGfutVn,R_13eJh6aJbGfutVn,inference_categories,movies_100,20,0.65,0.75,0.5,0.5,0.75,3.0,1.0
R_6BWTQ0PJdFS4Fxx,R_6BWTQ0PJdFS4Fxx,inference_categories,movies_100,20,0.4,0.75,0.65,0.65,0.75,-1.0,5.0
R_1dKQfqp6dPRXB2F,R_1dKQfqp6dPRXB2F,inference_affirm,movies_100,20,0.45,0.75,0.65,0.65,0.75,3.0,0.0
R_6QsJAYpUcFq1Thg,R_6QsJAYpUcFq1Thg,inference_affirm,movies_100,20,0.6,0.5,0.6,0.6,0.5,2.0,5.0
R_5QlUAspDibHfutX,R_5QlUAspDibHfutX,inference_categories,movies_100,20,0.65,0.7,0.5,0.5,0.7,3.0,5.0
R_3qsOZAvCOiJDrJm,R_3qsOZAvCOiJDrJm,choice_only,movies_100,20,0.8,0.6,,0.6,0.8,2.0,0.0
R_7jvlsGaugvjic45,R_7jvlsGaugvjic45,choice_only,movies_100,20,0.35,0.65,,0.65,0.35,2.0,0.0
R_62DHWRFJMpQsnGF,R_62DHWRFJMpQsnGF,inference_affirm,movies_100,20,0.6,0.15,0.25,0.25,0.15,2.0,0.0
R_57TH0U3xpzRZMi1,R_57TH0U3xpzRZMi1,inference_affirm,movies_100,20,0.4,0.75,0.6,0.6,0.75,1.0,4.0
R_3PqeFs89PZQrRBI,R_3PqeFs89PZQrRBI,inference_categories,movies_100,20,0.5,0.5,0.6,0.6,0.5,1.0,-5.0
