lambda,scale,alpha,qualtrics_id,fold,n_test,test_acc,test_ll
0.05,0.5,0.0,R_5EfMjMbx1z8Kvhl,0,4,0.75,-0.6474770576780244
0.05,0.5,0.0,R_5EfMjMbx1z8Kvhl,1,4,0.75,-0.6227211444561678
0.05,0.5,0.0,R_5EfMjMbx1z8Kvhl,2,4,0.5,-0.6739875225166478
0.05,0.5,0.0,R_5EfMjMbx1z8Kvhl,3,4,1.0,-0.596088529211675
0.05,0.5,0.0,R_5EfMjMbx1z8Kvhl,4,4,0.75,-0.5715242462068771
0.05,0.5,0.0,R_56aT1YjmRtKACUH,0,4,0.75,-0.6648660318813502
0.05,0.5,0.0,R_56aT1YjmRtKACUH,1,4,0.5,-0.7411775624979983
0.05,0.5,0.0,R_56aT1YjmRtKACUH,2,4,0.75,-0.6567590395961703
0.05,0.5,0.0,R_56aT1YjmRtKACUH,3,4,0.75,-0.6580823375180933
0.05,0.5,0.0,R_56aT1YjmRtKACUH,4,4,0.5,-0.6851833881273592
0.05,0.5,0.0,R_3HS2lsaEfcZSuXu,0,4,0.75,-0.6026404871534607
0.05,0.5,0.0,R_3HS2lsaEfcZSuXu,1,4,0.5,-0.7603528470111593
0.05,0.5,0.0,R_3HS2lsaEfcZSuXu,2,4,0.5,-0.6976816208965292
0.05,0.5,0.0,R_3HS2lsaEfcZSuXu,3,4,0.75,-0.6190258011002241
0.05,0.5,0.0,R_3HS2lsaEfcZSuXu,4,4,0.75,-0.6065493532940868
0.05,0.5,0.0,R_6HoVfVJSFl7IrlL,0,4,0.5,-0.6881436706618054
0.05,0.5,0.0,R_6HoVfVJSFl7IrlL,1,4,0.75,-0.6017178323655075
0.05,0.5,0.0,R_6HoVfVJSFl7IrlL,2,4,0.5,-0.7359075076154111
0.05,0.5,0.0,R_6HoVfVJSFl7IrlL,3,4,1.0,-0.6279432617805013
0.05,0.5,0.0,R_6HoVfVJSFl7IrlL,4,4,0.75,-0.6050158782572141
0.05,0.5,0.0,R_5Q5TZ5csoblHSvA,0,4,0.25,-0.741775498591112
0.05,0.5,0.0,R_5Q5TZ5csoblHSvA,1,4,0.5,-0.6859076063144391
0.05,0.5,0.0,R_5Q5TZ5csoblHSvA,2,4,0.75,-0.665122000780802
0.05,0.5,0.0,R_5Q5TZ5csoblHSvA,3,4,0.25,-0.7168412085314801
0.05,0.5,0.0,R_5Q5TZ5csoblHSvA,4,4,0.5,-0.670032049325954
0.05,0.5,0.0,R_18H831wJaDlPwgg,0,4,0.5,-0.6598997283853102
0.05,0.5,0.0,R_18H831wJaDlPwgg,1,4,1.0,-0.5422750011558435
0.05,0.5,0.0,R_18H831wJaDlPwgg,2,4,0.75,-0.5877377238915852
0.05,0.5,0.0,R_18H831wJaDlPwgg,3,4,1.0,-0.45873260983152125
0.05,0.5,0.0,R_18H831wJaDlPwgg,4,4,1.0,-0.4993302218324857
0.05,0.5,0.0,R_12mMAseFwoOpgqC,0,4,0.75,-0.6401739322248834
0.05,0.5,0.0,R_12mMAseFwoOpgqC,1,4,0.5,-0.6460498759101498
0.05,0.5,0.0,R_12mMAseFwoOpgqC,2,4,0.5,-0.7282127247213676
0.05,0.5,0.0,R_12mMAseFwoOpgqC,3,4,0.5,-0.6873579585939784
0.05,0.5,0.0,R_12mMAseFwoOpgqC,4,4,0.5,-0.6344938812304723
0.05,0.5,0.0,R_7ojvA7NDI10RoKR,0,5,0.6,-0.6186030952527987
0.05,0.5,0.0,R_7ojvA7NDI10RoKR,1,5,0.8,-0.5885556176687191
0.05,0.5,0.0,R_7ojvA7NDI10RoKR,2,5,0.8,-0.614200785914317
0.05,0.5,0.0,R_7ojvA7NDI10RoKR,3,5,1.0,-0.5507880545678324
0.05,0.5,0.0,R_5gbXjT8uFYXCo7E,0,4,0.25,-0.7914423024525292
0.05,0.5,0.0,R_5gbXjT8uFYXCo7E,1,4,0.5,-0.7081898643008263
0.05,0.5,0.0,R_5gbXjT8uFYXCo7E,2,4,0.5,-0.6777540679055334
0.05,0.5,0.0,R_5gbXjT8uFYXCo7E,3,4,0.75,-0.6634348346361262
0.05,0.5,0.0,R_5gbXjT8uFYXCo7E,4,4,0.75,-0.6827384083335942
0.05,0.5,0.0,R_7f9o7q4AZOoP4ot,0,4,0.5,-0.6942632465828169
0.05,0.5,0.0,R_7f9o7q4AZOoP4ot,1,4,0.25,-0.7618795512276526
0.05,0.5,0.0,R_7f9o7q4AZOoP4ot,2,4,0.0,-0.7341199871315424
0.05,0.5,0.0,R_7f9o7q4AZOoP4ot,3,4,0.25,-0.738870953229899
0.05,0.5,0.0,R_7f9o7q4AZOoP4ot,4,4,0.25,-0.7723424231621462
0.05,0.5,0.0,R_1WHYlcDjJDcnUfD,0,4,0.5,-0.7102088340996423
0.05,0.5,0.0,R_1WHYlcDjJDcnUfD,1,4,0.75,-0.6696573942022513
0.05,0.5,0.0,R_1WHYlcDjJDcnUfD,2,4,0.75,-0.6849797278963989
0.05,0.5,0.0,R_1WHYlcDjJDcnUfD,3,4,0.25,-0.7380472026891514
0.05,0.5,0.0,R_1WHYlcDjJDcnUfD,4,4,0.5,-0.7016568621721255
0.05,0.5,0.0,R_6Q0gBjey6IdfZpf,0,4,0.75,-0.608302691868762
0.05,0.5,0.0,R_6Q0gBjey6IdfZpf,1,4,1.0,-0.6027512852273461
0.05,0.5,0.0,R_6Q0gBjey6IdfZpf,2,4,1.0,-0.608808628228543
0.05,0.5,0.0,R_6Q0gBjey6IdfZpf,3,4,0.5,-0.6338462428705022
0.05,0.5,0.0,R_6Q0gBjey6IdfZpf,4,4,0.5,-0.6054584313279325
0.05,0.5,0.0,R_1wzohnjOPhN82Wd,0,4,0.75,-0.6163624454727333
0.05,0.5,0.0,R_1wzohnjOPhN82Wd,1,4,0.75,-0.6002797258950674
0.05,0.5,0.0,R_1wzohnjOPhN82Wd,2,4,0.75,-0.5796549877883108
0.05,0.5,0.0,R_1wzohnjOPhN82Wd,3,4,1.0,-0.59229014831327
0.05,0.5,0.0,R_1wzohnjOPhN82Wd,4,4,0.25,-0.77121587477421
0.05,0.5,0.0,R_70kbQcqJL4Tkq6B,0,4,0.5,-0.747979975701173
0.05,0.5,0.0,R_70kbQcqJL4Tkq6B,1,4,0.5,-0.7203679543433212
0.05,0.5,0.0,R_70kbQcqJL4Tkq6B,2,4,1.0,-0.5785782640819095
0.05,0.5,0.0,R_70kbQcqJL4Tkq6B,3,4,0.75,-0.6286130623641978
0.05,0.5,0.0,R_70kbQcqJL4Tkq6B,4,4,0.75,-0.5776391263918703
0.05,0.5,0.0,R_6rftRMhNP0o6boD,0,4,0.25,-0.6850600572047971
0.05,0.5,0.0,R_6rftRMhNP0o6boD,1,4,0.5,-0.6813704323061911
0.05,0.5,0.0,R_6rftRMhNP0o6boD,2,4,0.5,-0.7363869282915567
0.05,0.5,0.0,R_6rftRMhNP0o6boD,3,4,0.75,-0.6144978515174018
0.05,0.5,0.0,R_6rftRMhNP0o6boD,4,4,1.0,-0.618504174848225
0.05,0.5,0.0,R_6jv2PrGBJcO4of6,0,4,1.0,-0.5110416159246252
0.05,0.5,0.0,R_6jv2PrGBJcO4of6,1,4,1.0,-0.5829750977661455
0.05,0.5,0.0,R_6jv2PrGBJcO4of6,2,4,0.5,-0.6719120006296665
0.05,0.5,0.0,R_6jv2PrGBJcO4of6,3,4,0.75,-0.616094796372576
0.05,0.5,0.0,R_6jv2PrGBJcO4of6,4,4,0.5,-0.8166794522491556
0.05,0.5,0.0,R_1dHqTtKKq3yQvmX,0,4,0.75,-0.5502002330692024
0.05,0.5,0.0,R_1dHqTtKKq3yQvmX,1,4,0.5,-0.6013118603036179
0.05,0.5,0.0,R_1dHqTtKKq3yQvmX,2,4,0.75,-0.6003858372612204
0.05,0.5,0.0,R_1dHqTtKKq3yQvmX,3,4,0.75,-0.6422872682718348
0.05,0.5,0.0,R_1dHqTtKKq3yQvmX,4,4,0.75,-0.5242822049693491
