lambda,scale,alpha,test_ll,test_acc,n_obs
0.05,0.5,0.0,-0.641449060345452,0.6733108108108109,148
0.05,0.5,0.25,-0.6426304634420007,0.6699324324324325,148
0.05,0.5,0.5,-0.6439767420346196,0.6763513513513513,148
0.05,0.5,0.75,-0.6454685667781117,0.6790540540540541,148
0.05,0.5,1.0,-0.647084116089845,0.660472972972973,148
0.05,0.75,0.0,-0.641449060345452,0.6733108108108109,148
0.05,0.75,0.25,-0.6430801848107902,0.6699324324324325,148
0.05,0.75,0.5,-0.644733857203255,0.6800675675675676,148
0.05,0.75,0.75,-0.6462980531838838,0.6739864864864865,148
0.05,0.75,1.0,-0.6477303746590731,0.6641891891891891,148
0.05,1.0,0.0,-0.641449060345452,0.6733108108108109,148
0.05,1.0,0.25,-0.6437322006451851,0.6719594594594595,148
0.05,1.0,0.5,-0.6461540761480639,0.6790540540540541,148
0.05,1.0,0.75,-0.648396057157067,0.6658783783783784,148
0.05,1.0,1.0,-0.6504126490025507,0.672972972972973,148
0.05,1.25,0.0,-0.641449060345452,0.6733108108108109,148
0.05,1.25,0.25,-0.6445555678268693,0.6716216216216216,148
0.05,1.25,0.5,-0.64802110637372,0.6672297297297297,148
0.05,1.25,0.75,-0.6512040632668205,0.6625,148
0.05,1.25,1.0,-0.6540617879358169,0.6594594594594594,148
0.05,1.5,0.0,-0.641449060345452,0.6733108108108109,148
0.05,1.5,0.25,-0.6455174159876405,0.6733108108108109,148
0.05,1.5,0.5,-0.6501427090530856,0.6587837837837838,148
0.05,1.5,0.75,-0.654271924945321,0.6560810810810811,148
0.05,1.5,1.0,-0.6578763545984677,0.647972972972973,148
0.1,0.5,0.0,-0.65811534011103,0.6699324324324325,148
0.1,0.5,0.25,-0.6592446649371019,0.6716216216216216,148
0.1,0.5,0.5,-0.6605085914267914,0.6847972972972972,148
0.1,0.5,0.75,-0.6618668224041968,0.6722972972972973,148
0.1,0.5,1.0,-0.6632838238753045,0.6608108108108108,148
0.1,0.75,0.0,-0.65811534011103,0.6699324324324325,148
0.1,0.75,0.25,-0.6594646244376133,0.6665540540540541,148
0.1,0.75,0.5,-0.6608753371776462,0.6800675675675676,148
0.1,0.75,0.75,-0.6622600627117202,0.6641891891891891,148
0.1,0.75,1.0,-0.6635602957235451,0.6722972972972973,148
0.1,1.0,0.0,-0.65811534011103,0.6699324324324325,148
0.1,1.0,0.25,-0.6597813534865343,0.6702702702702703,148
0.1,1.0,0.5,-0.6615738674181212,0.681081081081081,148
0.1,1.0,0.75,-0.663295362788357,0.6658783783783784,148
0.1,1.0,1.0,-0.6648508470699926,0.6726351351351351,148
0.1,1.25,0.0,-0.65811534011103,0.6699324324324325,148
0.1,1.25,0.25,-0.6601844737530443,0.6733108108108109,148
0.1,1.25,0.5,-0.6625220857771124,0.6722972972972973,148
0.1,1.25,0.75,-0.6647408196066119,0.6574324324324324,148
0.1,1.25,1.0,-0.6667083578241066,0.6577702702702702,148
0.1,1.5,0.0,-0.65811534011103,0.6699324324324325,148
0.1,1.5,0.25,-0.6606622963479593,0.6783783783783784,148
0.1,1.5,0.5,-0.6636371584871467,0.6638513513513513,148
0.1,1.5,0.75,-0.6663861710947713,0.6608108108108108,148
0.1,1.5,1.0,-0.6687549753815724,0.6429054054054054,148
0.25,0.5,0.0,-0.6754120599588297,0.6682432432432432,148
0.25,0.5,0.25,-0.6761364140189478,0.6733108108108109,148
0.25,0.5,0.5,-0.6769102537696136,0.6847972972972972,148
0.25,0.5,0.75,-0.6777177275214885,0.6739864864864865,148
0.25,0.5,1.0,-0.6785433926513693,0.6621621621621622,148
0.25,0.75,0.0,-0.6754120599588297,0.6682432432432432,148
0.25,0.75,0.25,-0.6761881558570716,0.6733108108108109,148
0.25,0.75,0.5,-0.6769948087717877,0.675,148
0.25,0.75,0.75,-0.677802441527189,0.6679054054054053,148
0.25,0.75,1.0,-0.6785857475012145,0.6655405405405406,148
0.25,1.0,0.0,-0.6754120599588297,0.6682432432432432,148
0.25,1.0,0.25,-0.6762667380495617,0.6665540540540541,148
0.25,1.0,0.5,-0.6771744658926588,0.6800675675675676,148
0.25,1.0,0.75,-0.6780744597740092,0.6625,148
0.25,1.0,1.0,-0.678921023605775,0.6625,148
0.25,1.25,0.0,-0.6754120599588297,0.6682432432432432,148
0.25,1.25,0.25,-0.676370655756887,0.6716216216216216,148
0.25,1.25,0.5,-0.6774358552425742,0.6726351351351351,148
0.25,1.25,0.75,-0.6784912876072966,0.6591216216216216,148
0.25,1.25,1.0,-0.6794626772423019,0.647972972972973,148
0.25,1.5,0.0,-0.6754120599588297,0.6682432432432432,148
0.25,1.5,0.25,-0.676498092022471,0.6733108108108109,148
0.25,1.5,0.5,-0.6777630851173989,0.6675675675675675,148
0.25,1.5,0.75,-0.6790057366985757,0.6523648648648649,148
0.25,1.5,1.0,-0.6801198136176276,0.6361486486486487,148
0.5,0.5,0.0,-0.6834225899842366,0.6682432432432432,148
0.5,0.5,0.25,-0.6838574549216405,0.6766891891891892,148
0.5,0.5,0.5,-0.6843091378762864,0.6831081081081081,148
0.5,0.5,0.75,-0.6847724089714335,0.6790540540540541,148
0.5,0.5,1.0,-0.6852420184848935,0.660472972972973,148
0.5,0.75,0.0,-0.6834225899842366,0.6682432432432432,148
0.5,0.75,0.25,-0.6838687907477904,0.6766891891891892,148
0.5,0.75,0.5,-0.6843262573154616,0.6716216216216216,148
0.5,0.75,0.75,-0.6847855428005062,0.664527027027027,148
0.5,0.75,1.0,-0.6852378596686315,0.6570945945945946,148
0.5,1.0,0.0,-0.6834225899842366,0.6682432432432432,148
0.5,1.0,0.25,-0.6838885315309585,0.664864864864865,148
0.5,1.0,0.5,-0.6843736290988055,0.6800675675675676,148
0.5,1.0,0.75,-0.6848591204451392,0.6641891891891891,148
0.5,1.0,1.0,-0.6853285373395495,0.6574324324324324,148
0.5,1.25,0.0,-0.6834225899842366,0.6682432432432432,148
0.5,1.25,0.25,-0.6839164222004419,0.6665540540540541,148
0.5,1.25,0.5,-0.6844488411538575,0.6743243243243243,148
0.5,1.25,0.75,-0.6849847925530804,0.6591216216216216,148
0.5,1.25,1.0,-0.6854957988556939,0.6459459459459459,148
