qualtrics_id,prolific_pid,condition,domain,duration_s,finished,progress,age,n_training,training_acc,n_responses,mean_choice_rt_ms,mean_feedback_rt_ms,feedback_action_rate,feedback_modify_rate,feedback_affirm_rate,feedback_remove_rate,eval_dv,eval_dv_direction,eval_skipped,eval_left_model,eval_right_model,pred_skipped,pred_dv,pred_signed_diff,pred_model
R_5EfMjMbx1z8Kvhl,673f5e59d43bb4f87e66b8d5,inference_categories,dailydilemmas,398.0,True,100,22,5,1.0,20,10075.2,2387.75,0.0,0.0,0.0,0.0,-3,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-0.5129,feedback_adjusted
R_56aT1YjmRtKACUH,69e7a39c8924f009f3198d6b,inference_categories,dailydilemmas,508.0,True,100,18,5,0.8,20,12435.4,3013.4,0.01,0.01,0.0,0.0,3,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,6,-0.469,feedback_adjusted
R_3HS2lsaEfcZSuXu,69873acb4476661d234c0b08,inference_categories,dailydilemmas,357.0,True,100,56,5,0.8,20,5696.75,4350.95,0.0,0.0,0.0,0.0,-1,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,6,-0.7399,feedback_adjusted
R_6HoVfVJSFl7IrlL,69ebd980cc6b947600cf61e8,inference_categories,dailydilemmas,528.0,True,100,32,5,0.8,20,16280.0,2052.85,0.0,0.0,0.0,0.0,-2,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-0.6519,feedback_adjusted
R_5Q5TZ5csoblHSvA,5e2cdab5cd89c83002bf56de,inference_categories,dailydilemmas,701.0,True,100,31,5,1.0,20,12856.4,12830.85,0.51,0.51,0.0,0.0,-1,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,6,-0.3053,feedback_adjusted
R_18H831wJaDlPwgg,69e0d979c41f97f199ae7a2e,inference_categories,dailydilemmas,687.0,True,100,45,5,1.0,20,13607.1,11674.35,0.27,0.27,0.0,0.0,1,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-1.2592,feedback_adjusted
R_12mMAseFwoOpgqC,69b02dfa85e764e708590f82,inference_categories,dailydilemmas,762.0,True,100,41,5,1.0,20,16635.35,12592.95,0.29,0.29,0.0,0.0,-2,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,4,-0.5492,feedback_adjusted
R_7ojvA7NDI10RoKR,664c9ccdfb4921f641e9ff91,inference_categories,dailydilemmas,742.0,True,100,61,5,0.8,20,14275.75,12451.15,0.13,0.13,0.0,0.0,-1,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-0.7829,feedback_adjusted
R_5gbXjT8uFYXCo7E,5fa2b9a3c1d67f3a311db672,inference_categories,dailydilemmas,756.0,True,100,29,5,1.0,20,21816.8,3786.05,0.0,0.0,0.0,0.0,-2,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,6,-0.8162,feedback_adjusted
R_7f9o7q4AZOoP4ot,69e55228ba70d1286ebfdb81,inference_categories,dailydilemmas,735.0,True,100,40,5,0.8,20,19841.4,4952.0,0.05,0.05,0.0,0.0,-2,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,2,-0.4546,feedback_adjusted
R_1WHYlcDjJDcnUfD,60de9c66c01a9de405e9efb0,inference_categories,dailydilemmas,1209.0,True,100,67,5,0.6,20,22528.7,19369.25,0.89,0.89,0.0,0.0,-2,+ ⇒ partial preferred,False,feedback_adjusted,standard,False,5,0.2096,feedback_adjusted
R_6Q0gBjey6IdfZpf,69cad05abf2672eec988c452,inference_categories,dailydilemmas,1321.0,True,100,52,5,0.8,20,32983.95,16432.95,0.14,0.14,0.0,0.0,-2,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,2,-0.6251,feedback_adjusted
R_1wzohnjOPhN82Wd,5ba292385301b80001c71ba2,inference_categories,dailydilemmas,1292.0,True,100,53,5,1.0,20,34176.9,23789.0,0.02,0.02,0.0,0.0,2,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,6,-0.7925,feedback_adjusted
R_70kbQcqJL4Tkq6B,5c40bb8880392f00015e8910,inference_categories,dailydilemmas,1437.0,True,100,58,5,0.6,20,28129.8,20925.3,0.29,0.29,0.0,0.0,-1,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,6,-0.6965,feedback_adjusted
R_6rftRMhNP0o6boD,69e26e71cfcbdb9d164a5e2f,inference_categories,dailydilemmas,588.0,True,100,42,5,0.8,20,17237.05,2752.95,0.0,0.0,0.0,0.0,-2,+ ⇒ partial preferred,False,standard,feedback_adjusted,False,6,-0.6975,feedback_adjusted
