run_id,n_dims,lambda,alpha,condition,fit,acc,ll,n_users
sim_a0.0,10,0.01,0.0,choice_only,random_projection,0.5155,-0.6935,100
sim_a0.0,10,0.01,0.0,choice_only,projection_only,0.5500,-0.8808,100
sim_a0.0,10,0.01,0.0,choice_only,projection_alpha,0.5500,-0.8808,100
sim_a0.0,10,0.01,0.0,inference_affirm,random_projection,0.5005,-0.6972,100
sim_a0.0,10,0.01,0.0,inference_affirm,projection_only,0.5260,-0.9115,100
sim_a0.0,10,0.01,0.0,inference_affirm,projection_alpha,0.5260,-0.9115,100
sim_a0.0,10,0.01,0.0,inference_categories,random_projection,0.4930,-0.6953,100
sim_a0.0,10,0.01,0.0,inference_categories,projection_only,0.5215,-0.9101,100
sim_a0.0,10,0.01,0.0,inference_categories,projection_alpha,0.5215,-0.9101,100
sim_a0.1,10,0.01,0.1,choice_only,random_projection,0.5155,-0.6935,100
sim_a0.1,10,0.01,0.1,choice_only,projection_only,0.5500,-0.8808,100
sim_a0.1,10,0.01,0.1,choice_only,projection_alpha,0.5500,-0.8808,100
sim_a0.1,10,0.01,0.1,inference_affirm,random_projection,0.5005,-0.6972,100
sim_a0.1,10,0.01,0.1,inference_affirm,projection_only,0.5260,-0.9115,100
sim_a0.1,10,0.01,0.1,inference_affirm,projection_alpha,0.5400,-0.7120,100
sim_a0.1,10,0.01,0.1,inference_categories,random_projection,0.4930,-0.6953,100
sim_a0.1,10,0.01,0.1,inference_categories,projection_only,0.5215,-0.9101,100
sim_a0.1,10,0.01,0.1,inference_categories,projection_alpha,0.5325,-0.7029,100
sim_a0.5,10,0.01,0.5,choice_only,random_projection,0.5155,-0.6935,100
sim_a0.5,10,0.01,0.5,choice_only,projection_only,0.5500,-0.8808,100
sim_a0.5,10,0.01,0.5,choice_only,projection_alpha,0.5500,-0.8808,100
sim_a0.5,10,0.01,0.5,inference_affirm,random_projection,0.5005,-0.6972,100
sim_a0.5,10,0.01,0.5,inference_affirm,projection_only,0.5260,-0.9115,100
sim_a0.5,10,0.01,0.5,inference_affirm,projection_alpha,0.5415,-0.6901,100
sim_a0.5,10,0.01,0.5,inference_categories,random_projection,0.4930,-0.6953,100
sim_a0.5,10,0.01,0.5,inference_categories,projection_only,0.5215,-0.9101,100
sim_a0.5,10,0.01,0.5,inference_categories,projection_alpha,0.5405,-0.6823,100
sim_a1.0,10,0.01,1.0,choice_only,random_projection,0.5155,-0.6935,100
sim_a1.0,10,0.01,1.0,choice_only,projection_only,0.5500,-0.8808,100
sim_a1.0,10,0.01,1.0,choice_only,projection_alpha,0.5500,-0.8808,100
sim_a1.0,10,0.01,1.0,inference_affirm,random_projection,0.5005,-0.6972,100
sim_a1.0,10,0.01,1.0,inference_affirm,projection_only,0.5260,-0.9115,100
sim_a1.0,10,0.01,1.0,inference_affirm,projection_alpha,0.5385,-0.6895,100
sim_a1.0,10,0.01,1.0,inference_categories,random_projection,0.4930,-0.6953,100
sim_a1.0,10,0.01,1.0,inference_categories,projection_only,0.5215,-0.9101,100
sim_a1.0,10,0.01,1.0,inference_categories,projection_alpha,0.5490,-0.6827,100
sim_a2.0,10,0.01,2.0,choice_only,random_projection,0.5155,-0.6935,100
sim_a2.0,10,0.01,2.0,choice_only,projection_only,0.5500,-0.8808,100
sim_a2.0,10,0.01,2.0,choice_only,projection_alpha,0.5500,-0.8808,100
sim_a2.0,10,0.01,2.0,inference_affirm,random_projection,0.5005,-0.6972,100
sim_a2.0,10,0.01,2.0,inference_affirm,projection_only,0.5260,-0.9115,100
sim_a2.0,10,0.01,2.0,inference_affirm,projection_alpha,0.5395,-0.6904,100
sim_a2.0,10,0.01,2.0,inference_categories,random_projection,0.4930,-0.6953,100
sim_a2.0,10,0.01,2.0,inference_categories,projection_only,0.5215,-0.9101,100
sim_a2.0,10,0.01,2.0,inference_categories,projection_alpha,0.5680,-0.6844,100
sim_a5.0,10,0.01,5.0,choice_only,random_projection,0.5155,-0.6935,100
sim_a5.0,10,0.01,5.0,choice_only,projection_only,0.5500,-0.8808,100
sim_a5.0,10,0.01,5.0,choice_only,projection_alpha,0.5500,-0.8808,100
sim_a5.0,10,0.01,5.0,inference_affirm,random_projection,0.5005,-0.6972,100
sim_a5.0,10,0.01,5.0,inference_affirm,projection_only,0.5260,-0.9115,100
sim_a5.0,10,0.01,5.0,inference_affirm,projection_alpha,0.5375,-0.6915,100
sim_a5.0,10,0.01,5.0,inference_categories,random_projection,0.4930,-0.6953,100
sim_a5.0,10,0.01,5.0,inference_categories,projection_only,0.5215,-0.9101,100
sim_a5.0,10,0.01,5.0,inference_categories,projection_alpha,0.5840,-0.6862,100
