run_id,n_dims,lambda,alpha,condition,fit,acc,ll,n_participants
d5,5,0.01,0.5,choice_only,random_projection,0.5577,-0.6919,13
d5,5,0.01,0.5,choice_only,projection_only,0.6462,-0.6488,13
d5,5,0.01,0.5,choice_only,projection_alpha,0.6615,-0.6870,13
d5,5,0.01,0.5,inference_affirm,random_projection,0.5625,-0.6924,4
d5,5,0.01,0.5,inference_affirm,projection_only,0.6125,-0.6461,4
d5,5,0.01,0.5,inference_affirm,projection_alpha,0.5875,-0.6910,4
d5,5,0.01,0.5,inference_categories,random_projection,0.5933,-0.6912,30
d5,5,0.01,0.5,inference_categories,projection_only,0.6400,-0.6390,30
d5,5,0.01,0.5,inference_categories,projection_alpha,0.5817,-0.6862,30
d8,8,0.01,0.5,choice_only,random_projection,0.5231,-0.6923,13
d8,8,0.01,0.5,choice_only,projection_only,0.6346,-0.6375,13
d8,8,0.01,0.5,choice_only,projection_alpha,0.6538,-0.6811,13
d8,8,0.01,0.5,inference_affirm,random_projection,0.5375,-0.6923,4
d8,8,0.01,0.5,inference_affirm,projection_only,0.6625,-0.5849,4
d8,8,0.01,0.5,inference_affirm,projection_alpha,0.7000,-0.6827,4
d8,8,0.01,0.5,inference_categories,random_projection,0.6317,-0.6904,30
d8,8,0.01,0.5,inference_categories,projection_only,0.6633,-0.6170,30
d8,8,0.01,0.5,inference_categories,projection_alpha,0.6650,-0.6743,30
d10,10,0.01,0.5,choice_only,random_projection,0.4962,-0.6927,13
d10,10,0.01,0.5,choice_only,projection_only,0.6462,-0.6359,13
d10,10,0.01,0.5,choice_only,projection_alpha,0.6538,-0.6762,13
d10,10,0.01,0.5,inference_affirm,random_projection,0.5750,-0.6918,4
d10,10,0.01,0.5,inference_affirm,projection_only,0.6625,-0.5828,4
d10,10,0.01,0.5,inference_affirm,projection_alpha,0.7000,-0.6789,4
d10,10,0.01,0.5,inference_categories,random_projection,0.6150,-0.6903,30
d10,10,0.01,0.5,inference_categories,projection_only,0.6717,-0.6206,30
d10,10,0.01,0.5,inference_categories,projection_alpha,0.6733,-0.6671,30
d10_l0.001,10,0.001,0.5,choice_only,random_projection,0.5038,-0.6924,13
d10_l0.001,10,0.001,0.5,choice_only,projection_only,0.6385,-0.7508,13
d10_l0.001,10,0.001,0.5,choice_only,projection_alpha,0.6538,-0.6760,13
d10_l0.001,10,0.001,0.5,inference_affirm,random_projection,0.5750,-0.6838,4
d10_l0.001,10,0.001,0.5,inference_affirm,projection_only,0.7000,-0.5905,4
d10_l0.001,10,0.001,0.5,inference_affirm,projection_alpha,0.7000,-0.6786,4
d10_l0.001,10,0.001,0.5,inference_categories,random_projection,0.6183,-0.6726,30
d10_l0.001,10,0.001,0.5,inference_categories,projection_only,0.6333,-0.7185,30
d10_l0.001,10,0.001,0.5,inference_categories,projection_alpha,0.6733,-0.6668,30
d10_l0.01,10,0.01,0.5,choice_only,random_projection,0.4962,-0.6927,13
d10_l0.01,10,0.01,0.5,choice_only,projection_only,0.6462,-0.6359,13
d10_l0.01,10,0.01,0.5,choice_only,projection_alpha,0.6538,-0.6762,13
d10_l0.01,10,0.01,0.5,inference_affirm,random_projection,0.5750,-0.6918,4
d10_l0.01,10,0.01,0.5,inference_affirm,projection_only,0.6625,-0.5828,4
d10_l0.01,10,0.01,0.5,inference_affirm,projection_alpha,0.7000,-0.6789,4
d10_l0.01,10,0.01,0.5,inference_categories,random_projection,0.6150,-0.6903,30
d10_l0.01,10,0.01,0.5,inference_categories,projection_only,0.6717,-0.6206,30
d10_l0.01,10,0.01,0.5,inference_categories,projection_alpha,0.6733,-0.6671,30
d10_l0.1,10,0.1,0.5,choice_only,random_projection,0.4962,-0.6931,13
d10_l0.1,10,0.1,0.5,choice_only,projection_only,0.6500,-0.6461,13
d10_l0.1,10,0.1,0.5,choice_only,projection_alpha,0.6500,-0.6783,13
d10_l0.1,10,0.1,0.5,inference_affirm,random_projection,0.5750,-0.6930,4
d10_l0.1,10,0.1,0.5,inference_affirm,projection_only,0.6875,-0.6455,4
d10_l0.1,10,0.1,0.5,inference_affirm,projection_alpha,0.7000,-0.6808,4
d10_l0.1,10,0.1,0.5,inference_categories,random_projection,0.6117,-0.6929,30
d10_l0.1,10,0.1,0.5,inference_categories,projection_only,0.6650,-0.6385,30
d10_l0.1,10,0.1,0.5,inference_categories,projection_alpha,0.6733,-0.6702,30
d10_l0.01_a0.0,10,0.01,0.0,choice_only,random_projection,0.4962,-0.6927,13
d10_l0.01_a0.0,10,0.01,0.0,choice_only,projection_only,0.6462,-0.6359,13
d10_l0.01_a0.0,10,0.01,0.0,choice_only,projection_alpha,0.6462,-0.6359,13
d10_l0.01_a0.0,10,0.01,0.0,inference_affirm,random_projection,0.5750,-0.6918,4
d10_l0.01_a0.0,10,0.01,0.0,inference_affirm,projection_only,0.6625,-0.5828,4
d10_l0.01_a0.0,10,0.01,0.0,inference_affirm,projection_alpha,0.6625,-0.5828,4
d10_l0.01_a0.0,10,0.01,0.0,inference_categories,random_projection,0.6150,-0.6903,30
d10_l0.01_a0.0,10,0.01,0.0,inference_categories,projection_only,0.6717,-0.6206,30
d10_l0.01_a0.0,10,0.01,0.0,inference_categories,projection_alpha,0.6717,-0.6206,30
d10_l0.01_a0.1,10,0.01,0.1,choice_only,random_projection,0.4962,-0.6927,13
d10_l0.01_a0.1,10,0.01,0.1,choice_only,projection_only,0.6462,-0.6359,13
d10_l0.01_a0.1,10,0.01,0.1,choice_only,projection_alpha,0.6500,-0.6480,13
d10_l0.01_a0.1,10,0.01,0.1,inference_affirm,random_projection,0.5750,-0.6918,4
d10_l0.01_a0.1,10,0.01,0.1,inference_affirm,projection_only,0.6625,-0.5828,4
d10_l0.01_a0.1,10,0.01,0.1,inference_affirm,projection_alpha,0.6875,-0.6481,4
d10_l0.01_a0.1,10,0.01,0.1,inference_categories,random_projection,0.6150,-0.6903,30
d10_l0.01_a0.1,10,0.01,0.1,inference_categories,projection_only,0.6717,-0.6206,30
d10_l0.01_a0.1,10,0.01,0.1,inference_categories,projection_alpha,0.6717,-0.6377,30
d10_l0.01_a0.5,10,0.01,0.5,choice_only,random_projection,0.4962,-0.6927,13
d10_l0.01_a0.5,10,0.01,0.5,choice_only,projection_only,0.6462,-0.6359,13
d10_l0.01_a0.5,10,0.01,0.5,choice_only,projection_alpha,0.6538,-0.6762,13
d10_l0.01_a0.5,10,0.01,0.5,inference_affirm,random_projection,0.5750,-0.6918,4
d10_l0.01_a0.5,10,0.01,0.5,inference_affirm,projection_only,0.6625,-0.5828,4
d10_l0.01_a0.5,10,0.01,0.5,inference_affirm,projection_alpha,0.7000,-0.6789,4
d10_l0.01_a0.5,10,0.01,0.5,inference_categories,random_projection,0.6150,-0.6903,30
d10_l0.01_a0.5,10,0.01,0.5,inference_categories,projection_only,0.6717,-0.6206,30
d10_l0.01_a0.5,10,0.01,0.5,inference_categories,projection_alpha,0.6733,-0.6671,30
d10_l0.01_a1.0,10,0.01,1.0,choice_only,random_projection,0.4962,-0.6927,13
d10_l0.01_a1.0,10,0.01,1.0,choice_only,projection_only,0.6462,-0.6359,13
d10_l0.01_a1.0,10,0.01,1.0,choice_only,projection_alpha,0.6538,-0.6837,13
d10_l0.01_a1.0,10,0.01,1.0,inference_affirm,random_projection,0.5750,-0.6918,4
d10_l0.01_a1.0,10,0.01,1.0,inference_affirm,projection_only,0.6625,-0.5828,4
d10_l0.01_a1.0,10,0.01,1.0,inference_affirm,projection_alpha,0.7000,-0.6854,4
d10_l0.01_a1.0,10,0.01,1.0,inference_categories,random_projection,0.6150,-0.6903,30
d10_l0.01_a1.0,10,0.01,1.0,inference_categories,projection_only,0.6717,-0.6206,30
d10_l0.01_a1.0,10,0.01,1.0,inference_categories,projection_alpha,0.6533,-0.6746,30
d10_l0.01_a2.0,10,0.01,2.0,choice_only,random_projection,0.4962,-0.6927,13
d10_l0.01_a2.0,10,0.01,2.0,choice_only,projection_only,0.6462,-0.6359,13
d10_l0.01_a2.0,10,0.01,2.0,choice_only,projection_alpha,0.6538,-0.6881,13
d10_l0.01_a2.0,10,0.01,2.0,inference_affirm,random_projection,0.5750,-0.6918,4
d10_l0.01_a2.0,10,0.01,2.0,inference_affirm,projection_only,0.6625,-0.5828,4
d10_l0.01_a2.0,10,0.01,2.0,inference_affirm,projection_alpha,0.7000,-0.6891,4
d10_l0.01_a2.0,10,0.01,2.0,inference_categories,random_projection,0.6150,-0.6903,30
d10_l0.01_a2.0,10,0.01,2.0,inference_categories,projection_only,0.6717,-0.6206,30
d10_l0.01_a2.0,10,0.01,2.0,inference_categories,projection_alpha,0.6267,-0.6790,30
