rank,dimension,name,variance_captured,pca_eigenvalue,independence,cumulative_ratio_r_j
1,11,Practicality,0.02480450941097217,0.08552733939464824,0.3804504256657534,0.29001848515966205
2,14,Authenticity,0.01839510626760073,0.06869893054631745,0.4039890887461522,0.2801054301261953
3,9,Community Focus,0.014806791547074889,0.06646847257164296,0.5355114348341138,0.2628354738551771
4,2,Structure,0.008494131301239162,0.058737846984798725,0.621034793471819,0.2379841901994898
5,4,Clarity,0.00779449984129838,0.05583072313878977,0.49757828402440213,0.22160205297740043
6,5,Emotional Resonance,0.005185380991583308,0.051346920743409734,0.4020294408272813,0.20558281312157606
7,8,Sustainability,0.005155757497020523,0.04883196522650193,0.6472991777017142,0.19436833896144534
8,10,Historical Context,0.005101783770953534,0.046994496362497744,0.5544481347020459,0.18600981551285642
9,3,Actionability,0.004737487087164141,0.04502443026079884,0.4565073668886529,0.1791135748133423
10,1,Conciseness,0.004532982808513541,0.04403320104949331,0.4700020367987929,0.1732448179636041
11,15,Formality,0.0037282369486963314,0.04215396298407994,0.5028333132919947,0.16741946367276347
12,6,Depth,0.0025672569297063384,0.040314372461335464,0.6599714395731594,0.16102436815607551
13,7,Descriptiveness,0.0022567769889406918,0.039307528530123974,0.6682344117139071,0.15514975676552273
14,12,Efficiency,0.0019745248832969365,0.03876316751772656,0.6091924628716259,0.14963146844484648
15,13,Creativity,0.001593002583608749,0.0379029177601906,0.6875998635638733,0.14433432011088487
