dimension_id,dimension_name,ridge_alpha,r2_insample,r2_cv,r2_heldout,pearson_heldout,spearman_heldout,cosine_ridge_vs_contrastive,cosine_pre_vs_post_orthogonalization
1,Conciseness,0.01,0.9959260920474924,0.9693774384515659,0.7504478981266722,0.8750463822090163,0.8461538461538464,0.35730206995341857,1.0
2,Structure,0.1,0.9098607977807471,0.9096929229619087,0.5782856564881698,0.7621191534144847,0.7694183864915572,0.48080332393181924,0.9979276971518337
3,Actionability,0.01,0.9967958267207547,0.990050446063368,0.7952942735594034,0.9300772786249487,0.9013133208255161,0.30883242013511,0.8516995306879136
4,Clarity,0.1,0.9291241385551794,0.9564775485197358,0.6128988360642733,0.801266313065309,0.8465290806754223,0.48900258490160375,0.7427922867377214
5,Emotional Resonance,0.01,0.9970550089777573,0.982935358960936,0.8070185228527988,0.901217239991662,0.8939962476547842,0.3137468563350304,0.8515501328171616
6,Depth,0.01,0.9928450548851504,0.9530245403991129,0.7458071699108364,0.8729230241986551,0.8594746716697936,0.2866784837343451,0.7748257521809832
7,Descriptiveness,0.01,0.9954489306325429,0.9681230142828646,0.6593559353870391,0.8254630495485333,0.776923076923077,0.3177851448738261,0.6731355223376065
8,Sustainability,0.01,0.9960027477196081,0.9690589007150499,0.7114486513740017,0.8496584750959765,0.49399624765478434,0.3110336393634935,0.9628125123236934
9,Community Focus,0.1,0.9514949933654533,0.9816846307268488,0.6634248861075747,0.8280979514796699,0.8842401500938089,0.5082168916012215,0.9074267448967446
10,Historical Context,0.01,0.9946540189764969,0.976215733288514,0.6721172645028333,0.8349678302973564,0.803001876172608,0.2454517577252028,0.8864494557648326
11,Practicality,0.1,0.9751361416794582,0.9932746630906453,0.8770498932500638,0.9426270709059532,0.9225140712945591,0.6342440185684511,0.7660522745431283
12,Efficiency,0.01,0.9967510905164695,0.9851989983814097,0.8930226826221099,0.9456407564633658,0.9339587242026268,0.37526562765793425,0.6216685186631079
13,Creativity,0.01,0.996705573195219,0.9696973383748595,0.768905713058357,0.8809003364282993,0.8913696060037525,0.33084100963949115,0.6278662014457893
14,Authenticity,0.1,0.9592891785993238,0.9817405901336412,0.8501501130022787,0.9223621740466857,0.9181988742964355,0.5512435529760399,0.7344891768582701
15,Formality,0.01,0.9930748941088602,0.9307842167194208,0.7089437720394816,0.8477462770282118,0.8318949343339589,0.30223992881995687,0.7217964556493306
