component,eigenvalue,variance_fraction,cumulative_variance
1,0.08552733939464824,0.04759760680919368,0.04759760680919368
2,0.06869893054631745,0.038232274118424565,0.08582988092761824
3,0.06646847257164296,0.0369909814226105,0.12282086235022874
4,0.058737846984798725,0.03268873982739576,0.1555096021776245
5,0.05583072313878977,0.031070869579737575,0.18658047175736206
6,0.051346920743409734,0.02857554744139015,0.2151560191987522
7,0.04883196522650193,0.027175926399935418,0.24233194559868762
8,0.046994496362497744,0.026153339691030033,0.26848528528971766
9,0.04502443026079884,0.025056960072998173,0.29354224536271584
10,0.04403320104949331,0.024505321981699617,0.3180475673444154
11,0.04215396298407994,0.023459489910089396,0.3415070572545048
12,0.040314372461335464,0.022435722457351474,0.3639427797118563
13,0.039307528530123974,0.02187539447456582,0.3858181741864221
14,0.03876316751772656,0.02157244711745479,0.40739062130387693
15,0.0379029177601906,0.021093701607461025,0.428484322911338
16,0.03765946811229935,0.020958217203290615,0.4494425401146286
17,0.03680157276293288,0.020480781966656373,0.46992332208128496
18,0.03593484096995341,0.01999842907945963,0.48992175116074455
19,0.03445630777077057,0.01917559696089793,0.5090973481216424
20,0.0340399083063482,0.018943862662562264,0.5280412107842047
21,0.03294976203906197,0.018337175330043105,0.5463783861142478
22,0.03255934261568425,0.0181198994234601,0.5644982855377079
23,0.0319484845392778,0.017779945173242488,0.5822782307109504
24,0.031088141744381622,0.017301147886171105,0.5995793785971215
25,0.029574097641695773,0.01645855326787144,0.616037931864993
26,0.029236932781781168,0.01627091454853702,0.63230884641353
27,0.028927947800782037,0.016098958472975253,0.6484078048865052
28,0.028341529211217006,0.015772605266511953,0.6641804101530172
29,0.027738231867576502,0.01543685870927217,0.6796172688622893
30,0.026525718028193535,0.014762071472978608,0.6943793403352679
31,0.026495863439714457,0.014745456821173288,0.7091247971564413
32,0.025910650484306713,0.014419774573271081,0.7235445717297124
33,0.025463194896512224,0.014170756945888282,0.7377153286756007
34,0.02527483494188662,0.014065931013942736,0.7517812596895433
35,0.02409388064032699,0.013408707266505802,0.7651899669560492
36,0.023735668117176943,0.01320935511838915,0.7783993220744384
37,0.023556594408210604,0.013109697160482684,0.791509019234921
38,0.022925280461764272,0.012758358825760756,0.8042673780606818
39,0.022433464572507847,0.012484653838735215,0.8167520318994171
40,0.022202456083930868,0.012356093178638717,0.8291081250780559
41,0.02145024953163154,0.011937475787181746,0.8410456008652376
42,0.021249495780331272,0.011825752469380764,0.8528713533346184
43,0.020894106085974147,0.011627971279695955,0.8644993246143143
44,0.02046260639817203,0.011387833417070241,0.8758871580313846
45,0.020370119370646436,0.011336362610164843,0.8872235206415495
46,0.01918580157366389,0.010677267012933707,0.8979007876544832
47,0.018641715272507315,0.01037447253790366,0.9082752601923869
48,0.018281528585088514,0.01017402172946031,0.9184492819218473
49,0.016927434707773588,0.009420442483205803,0.9278697244050531
50,0.009130608865538504,0.005081359174580308,0.9329510835796334
