rank,dimension,name,variance_captured,pca_eigenvalue,independence,cumulative_ratio_r_j
1,1,Action vs. Character-Driven,39.11470995290039,66.45947624628886,0.8527865817170194,0.5885497774304922
2,4,Family-Friendly vs. Adult-Themed,36.90095575365769,61.3700553321232,0.9550866985318003,0.5946643531266421
3,3,Romantic vs. Non-Romantic,33.74166887917202,50.97907967650717,0.9405605983187046,0.6138257761493047
4,7,Classic Adaptation vs. Original Story,30.21876482029026,47.706735492747164,0.9189884434312542,0.6179541537287138
5,8,Realism vs. Fantasy,29.131543751471767,40.816078148927,0.8858454526752775,0.6325767470955005
6,2,Historical vs. Contemporary,27.721149226653715,39.84190731924919,0.9243566718150246,0.6407743503131954
7,10,Adventure vs. Drama,24.953311353632774,35.8960853227439,0.9450713310865425,0.64646422094104
8,6,Humor vs. Seriousness,24.189856962670323,34.37884211159804,0.9769264867170702,0.6516706711760003
9,9,Star Power vs. Ensemble Cast,24.043790243531443,34.10664636881682,0.9678881450626478,0.6560868233982706
10,5,Visual Appeal vs. Narrative Complexity,22.27862145180642,31.506548278496783,0.9479760671758154,0.6597151920137986
