dimension_id,dimension_name,ridge_alpha,r2_insample,r2_cv,r2_heldout,pearson_heldout,spearman_heldout,cosine_ridge_vs_contrastive,cosine_pre_vs_post_orthogonalization
1,Action vs. Character-Driven,0.01,0.9999999998583363,0.8800147598862786,0.43000145483578067,0.7741022065175748,0.4545454545454545,0.8037624897420582,1.0000000000000002
2,Historical vs. Contemporary,0.01,0.9999999997552653,0.7125368153086185,0.48594718622072963,0.9153093134874315,0.9393939393939393,0.701724832301868,0.9943187331206568
3,Romantic vs. Non-Romantic,0.01,0.9999999998612304,0.9305276483798084,0.5637353640663669,0.828321216401458,0.8060606060606059,0.633090777944737,0.9058105220932576
4,Family-Friendly vs. Adult-Themed,0.01,0.9999999998598679,0.8944482503157425,0.8222703413692356,0.922904665527955,0.9393939393939393,0.7576935024996564,0.991614912962118
5,Visual Appeal vs. Narrative Complexity,0.01,0.9999999997964178,0.7203047400486762,-0.05754138814870413,0.7281989640376504,0.7454545454545454,0.7560175059517451,0.7352094025966092
6,Humor vs. Seriousness,0.01,0.999999999814868,0.8701217669504067,0.11025216534487448,0.48017230049076964,0.6606060606060605,0.7392777942083151,0.6752681699089431
7,Classic Adaptation vs. Original Story,0.01,0.9999999998513757,0.9234321257144635,0.6078420766806341,0.8741595217950385,0.7939393939393938,0.6362141813908607,0.8936092607947819
8,Realism vs. Fantasy,0.01,0.9999999998540393,0.9160103118761322,0.1311611271732509,0.5321176790477885,0.5030303030303029,0.7750169099955884,0.6595912255588058
9,Star Power vs. Ensemble Cast,0.01,0.9999999997518125,0.6069823463997699,-0.0288748144393709,0.1401411441594918,0.11515151515151514,0.7474182900795431,0.881924960036517
10,Adventure vs. Drama,0.01,0.9999999998669556,0.9059612404589136,0.32707607114830306,0.678704488004317,0.5151515151515151,0.7256315388413466,0.6036948132577437
