rank,dimension,name,variance_captured,pca_eigenvalue,independence,cumulative_ratio_r_j
1,7,Efficiency,0.01612580458714704,0.04241463390201351,0.729894104977947,0.3801943599089161
2,3,Social Connection,0.014568385520888755,0.03057388527909366,0.8480816974857138,0.42053449573177365
3,4,Spontaneity,0.011214553905829823,0.028475199211172357,0.8165748429339914,0.4130416732002451
4,1,Autonomy,0.011099067733993695,0.026213706318495643,0.7844316799974235,0.41516980678406323
5,10,Moral Boundaries,0.010725061580956959,0.024692691078931225,0.7801378567030095,0.41827672702419677
6,12,Comfort,0.010660623877032115,0.02340511617119871,0.7849751915458749,0.42323082937187967
7,5,Conflict Avoidance,0.010506668700368472,0.020785641835404198,0.8145638257408818,0.4319281058660565
8,6,Creativity,0.009923722582848496,0.019749817231269867,0.8915190494950542,0.43836894070564225
9,15,Identity Exploration,0.009696258490126092,0.01945437959696401,0.8668699251646735,0.4433232908603336
10,9,Emotional Catharsis,0.009229136074703118,0.018322285391752447,0.8326276620465781,0.4476778570854954
11,21,Financial Stability,0.008853602623871623,0.01789256492227486,0.9144253176585133,0.4507791797816477
12,17,Emotional Restraint,0.008650548226396881,0.017424348609190378,0.8256928364793756,0.45352970814586446
13,23,Tradition,0.00845643684396496,0.01651459114943747,0.8966585431446862,0.4566893013059901
14,18,Social Obligation Avoidance,0.008002601606570282,0.01602338222609789,0.8395797007674985,0.4588166840531433
15,24,Institutional Efficiency,0.007623282469921078,0.015187239596298054,0.8333464182490319,0.4607599242394683
16,20,Ethical Responsibility,0.007345857696966444,0.014696780186948782,0.9052941975250757,0.46239189556260607
17,14,Cultural Awareness,0.007088845380917337,0.014216407423989044,0.8639505277134898,0.4637996380093131
18,2,Emotional Honesty,0.006878348378997755,0.013911761633072048,0.7415033528241867,0.46492103134990237
19,13,Social Recognition,0.00673390276922229,0.013362323748609312,0.7874780546207015,0.4662468773086092
20,19,Digital Convenience,0.0067139772389438026,0.013228836572748629,0.8774107097116216,0.46759008089291887
21,11,Intellectual Engagement,0.006388939261963631,0.013044130398516273,0.884473592915566,0.46828035822390146
22,22,Personal Growth,0.0060299337534940245,0.01274972828477793,0.8715050509896688,0.46841795016684146
23,25,Digital Autonomy,0.005863094528979155,0.012511416400295017,0.9398633527955054,0.46842362061789666
24,16,Direct Communication,0.005254425564223433,0.01199959804020118,0.8783517686764145,0.46762145530640997
25,8,Humor,0.005111353811217448,0.011832021510172663,0.9036796873526587,0.46672201204037844
