dimension_id,dimension_name,option_id,display_text,bt_score
1,Emotional Depth,1453,"Beautician and the Beast, The (1997)",-0.201444
1,Emotional Depth,71282,"Food, Inc. (2008)",-0.44337
1,Emotional Depth,1976,Friday the 13th Part 3: 3D (1982),-0.475179
1,Emotional Depth,3062,"Longest Day, The (1962)",-0.224286
1,Emotional Depth,73929,Legion (2010),-0.177832
1,Emotional Depth,354,Cobb (1994),0.347182
1,Emotional Depth,801,Harriet the Spy (1996),-0.319421
1,Emotional Depth,286897,Spider-Man: Across the Spider-Verse (2023),-0.144567
1,Emotional Depth,8014,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",0.739709
1,Emotional Depth,1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),-0.454873
1,Emotional Depth,169906,The Night Of (2016),0.487893
1,Emotional Depth,1019,"20,000 Leagues Under the Sea (1954)",-0.060502
1,Emotional Depth,5,Father of the Bride Part II (1995),-0.116595
1,Emotional Depth,60487,"It's the Great Pumpkin, Charlie Brown (1966)",-0.337332
1,Emotional Depth,192803,Bohemian Rhapsody (2018),0.2522
1,Emotional Depth,971,Cat on a Hot Tin Roof (1958),0.864612
1,Emotional Depth,244178,The Northman,0.31123
1,Emotional Depth,1378,Young Guns (1988),-0.341198
1,Emotional Depth,104283,"Wind Rises, The (Kaze tachinu) (2013)",0.997639
1,Emotional Depth,57532,Meet the Spartans (2008),-0.500321
1,Emotional Depth,2026,Disturbing Behavior (1998),-0.325793
1,Emotional Depth,1015,Homeward Bound: The Incredible Journey (1993),-0.094994
1,Emotional Depth,3877,Supergirl (1984),-0.448258
1,Emotional Depth,7137,"Cooler, The (2003)",0.164764
1,Emotional Depth,2261,One Crazy Summer (1986),-0.457888
1,Emotional Depth,32460,Knockin' on Heaven's Door (1997),0.525451
1,Emotional Depth,8908,Ladder 49 (2004),0.348258
1,Emotional Depth,3145,Cradle Will Rock (1999),0.19593
1,Emotional Depth,2686,"Red Violin, The (Violon rouge, Le) (1998)",0.603239
1,Emotional Depth,2739,"Color Purple, The (1985)",1.0
1,Emotional Depth,8873,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",0.67661
1,Emotional Depth,93272,Dr. Seuss' The Lorax (2012),-0.213458
1,Emotional Depth,2116,"Lord of the Rings, The (1978)",0.024592
1,Emotional Depth,57274,[REC] (2007),-0.386366
1,Emotional Depth,2787,Cat's Eye (1985),-0.383025
1,Emotional Depth,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",-0.269261
1,Emotional Depth,5876,"Quiet American, The (2002)",0.422708
1,Emotional Depth,1391,Mars Attacks! (1996),-0.46405
1,Emotional Depth,1949,"Man for All Seasons, A (1966)",0.727114
1,Emotional Depth,8860,Cellular (2004),-0.378794
1,Emotional Depth,8253,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),-0.101417
1,Emotional Depth,37384,Waiting... (2005),-0.419045
1,Emotional Depth,253,Interview with the Vampire: The Vampire Chronicles (1994),0.626268
1,Emotional Depth,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),0.850804
1,Emotional Depth,3022,"General, The (1926)",-0.44617
1,Emotional Depth,58293,"10,000 BC (2008)",-0.402689
1,Emotional Depth,3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),-0.457255
1,Emotional Depth,8827,"Bill Cosby, Himself (1983)",-0.459086
1,Emotional Depth,8169,*batteries not included (1987),-0.201289
1,Emotional Depth,2,Jumanji (1995),-0.38785
1,Emotional Depth,1059,William Shakespeare's Romeo + Juliet (1996),0.584524
1,Emotional Depth,7381,"Whole Ten Yards, The (2004)",-0.454626
1,Emotional Depth,5941,Drumline (2002),-0.033266
1,Emotional Depth,2334,"Siege, The (1998)",-0.389192
1,Emotional Depth,3204,"Boys from Brazil, The (1978)",-0.096971
1,Emotional Depth,2546,"Deep End of the Ocean, The (1999)",0.852818
1,Emotional Depth,433,Clean Slate (1994),-0.287597
1,Emotional Depth,1372,Star Trek VI: The Undiscovered Country (1991),-0.160578
1,Emotional Depth,1680,Sliding Doors (1998),0.145647
1,Emotional Depth,1132,Manon of the Spring (Manon des sources) (1986),0.667944
1,Emotional Depth,3100,"River Runs Through It, A (1992)",0.837093
1,Emotional Depth,725,"Great White Hype, The (1996)",-0.284707
1,Emotional Depth,66934,Dr. Horrible's Sing-Along Blog (2008),0.476556
1,Emotional Depth,100498,"Good Day to Die Hard, A (2013)",-0.330517
1,Emotional Depth,3812,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),-0.454212
1,Emotional Depth,2504,200 Cigarettes (1999),0.079963
1,Emotional Depth,2212,"Man Who Knew Too Much, The (1934)",-0.160551
1,Emotional Depth,80590,Wall Street: Money Never Sleeps (2010),0.426417
1,Emotional Depth,2771,Brokedown Palace (1999),0.306481
1,Emotional Depth,2376,"View to a Kill, A (1985)",-0.456751
1,Emotional Depth,1005,D3: The Mighty Ducks (1996),-0.280906
1,Emotional Depth,111759,Edge of Tomorrow (2014),-0.318046
1,Emotional Depth,161922,The Edge of Seventeen (2016),0.458969
1,Emotional Depth,3754,"Adventures of Rocky and Bullwinkle, The (2000)",-0.457667
1,Emotional Depth,86142,13 Assassins (Jûsan-nin no shikaku) (2010),-0.062407
1,Emotional Depth,114847,Autómata (Automata) (2014),-0.278893
1,Emotional Depth,973,Meet John Doe (1941),0.444141
1,Emotional Depth,6958,"Haunted Mansion, The (2003)",-0.384747
1,Emotional Depth,2381,Police Academy 4: Citizens on Patrol (1987),-0.468429
1,Emotional Depth,232,Eat Drink Man Woman (Yin shi nan nu) (1994),0.754848
1,Emotional Depth,328,Tales from the Crypt Presents: Demon Knight (1995),-0.444676
1,Emotional Depth,1913,Picnic at Hanging Rock (1975),0.196446
1,Emotional Depth,202429,Once Upon a Time in Hollywood (2019),0.262881
1,Emotional Depth,6534,Hulk (2003),0.033202
1,Emotional Depth,2639,Mommie Dearest (1981),0.95387
1,Emotional Depth,72294,"Christmas Carol, A (2009)",0.213067
1,Emotional Depth,7842,Dune (2000),0.119734
1,Emotional Depth,47640,Beerfest (2006),-0.432437
1,Emotional Depth,1998,Exorcist II: The Heretic (1977),-0.052141
1,Emotional Depth,4681,"War of the Roses, The (1989)",0.052717
1,Emotional Depth,2375,"Money Pit, The (1986)",-0.450714
1,Emotional Depth,32587,Sin City (2005),-0.39413
1,Emotional Depth,5833,Dog Soldiers (2002),-0.434806
1,Emotional Depth,51091,Black Snake Moan (2006),0.559452
1,Emotional Depth,26242,Duel (1971),-0.44526
1,Emotional Depth,192379,First Man (2018),0.459539
1,Emotional Depth,4254,Crocodile Dundee in Los Angeles (2001),-0.370287
1,Emotional Depth,6299,"Winged Migration (Peuple migrateur, Le) (2001)",-0.48815
1,Emotional Depth,371,"Paper, The (1994)",0.183044
1,Emotional Depth,258,"Kid in King Arthur's Court, A (1995)",-0.269281
2,Action Intensity,1453,"Beautician and the Beast, The (1997)",-0.26109
2,Action Intensity,71282,"Food, Inc. (2008)",-0.272151
2,Action Intensity,1976,Friday the 13th Part 3: 3D (1982),0.380773
2,Action Intensity,3062,"Longest Day, The (1962)",0.626032
2,Action Intensity,73929,Legion (2010),0.542901
2,Action Intensity,354,Cobb (1994),-0.261063
2,Action Intensity,801,Harriet the Spy (1996),-0.259237
2,Action Intensity,286897,Spider-Man: Across the Spider-Verse (2023),0.809703
2,Action Intensity,8014,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",-0.275286
2,Action Intensity,1429,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),0.896726
2,Action Intensity,169906,The Night Of (2016),-0.233972
2,Action Intensity,1019,"20,000 Leagues Under the Sea (1954)",0.023713
2,Action Intensity,5,Father of the Bride Part II (1995),-0.260949
2,Action Intensity,60487,"It's the Great Pumpkin, Charlie Brown (1966)",-0.261272
2,Action Intensity,192803,Bohemian Rhapsody (2018),-0.250563
2,Action Intensity,971,Cat on a Hot Tin Roof (1958),-0.25824
2,Action Intensity,244178,The Northman,0.297183
2,Action Intensity,1378,Young Guns (1988),0.647934
2,Action Intensity,104283,"Wind Rises, The (Kaze tachinu) (2013)",-0.260642
2,Action Intensity,57532,Meet the Spartans (2008),0.010475
2,Action Intensity,2026,Disturbing Behavior (1998),-0.107867
2,Action Intensity,1015,Homeward Bound: The Incredible Journey (1993),-0.186699
2,Action Intensity,3877,Supergirl (1984),0.479809
2,Action Intensity,7137,"Cooler, The (2003)",-0.265469
2,Action Intensity,2261,One Crazy Summer (1986),-0.078273
2,Action Intensity,32460,Knockin' on Heaven's Door (1997),-0.216674
2,Action Intensity,8908,Ladder 49 (2004),0.208208
2,Action Intensity,3145,Cradle Will Rock (1999),-0.264147
2,Action Intensity,2686,"Red Violin, The (Violon rouge, Le) (1998)",-0.270307
2,Action Intensity,2739,"Color Purple, The (1985)",-0.265438
2,Action Intensity,8873,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",-0.228457
2,Action Intensity,93272,Dr. Seuss' The Lorax (2012),-0.244039
2,Action Intensity,2116,"Lord of the Rings, The (1978)",0.084136
2,Action Intensity,57274,[REC] (2007),0.084516
2,Action Intensity,2787,Cat's Eye (1985),-0.204942
2,Action Intensity,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",-0.26453
2,Action Intensity,5876,"Quiet American, The (2002)",-0.229269
2,Action Intensity,1391,Mars Attacks! (1996),0.600992
2,Action Intensity,1949,"Man for All Seasons, A (1966)",-0.270103
2,Action Intensity,8860,Cellular (2004),0.201001
2,Action Intensity,8253,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro) (1979),0.407431
2,Action Intensity,37384,Waiting... (2005),-0.266413
2,Action Intensity,253,Interview with the Vampire: The Vampire Chronicles (1994),-0.252947
2,Action Intensity,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),-0.253801
2,Action Intensity,3022,"General, The (1926)",0.29532
2,Action Intensity,58293,"10,000 BC (2008)",0.438649
2,Action Intensity,3439,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),0.49577
2,Action Intensity,8827,"Bill Cosby, Himself (1983)",-0.26427
2,Action Intensity,8169,*batteries not included (1987),-0.253484
