dimension_id,dimension_name,option_id,display_text,bt_score
1,Action vs. Character-Driven,1,Toy Story (1995),-0.001778
1,Action vs. Character-Driven,2,Jumanji (1995),-0.435215
1,Action vs. Character-Driven,3,Grumpier Old Men (1995),-0.15587
1,Action vs. Character-Driven,4,Waiting to Exhale (1995),0.542253
1,Action vs. Character-Driven,5,Father of the Bride Part II (1995),-0.094677
1,Action vs. Character-Driven,6,Heat (1995),-0.428279
1,Action vs. Character-Driven,7,Sabrina (1995),0.142996
1,Action vs. Character-Driven,8,Tom and Huck (1995),-0.137667
1,Action vs. Character-Driven,9,Sudden Death (1995),-0.765551
1,Action vs. Character-Driven,10,GoldenEye (1995),-0.617123
1,Action vs. Character-Driven,11,"American President, The (1995)",0.292471
1,Action vs. Character-Driven,12,Dracula: Dead and Loving It (1995),-0.812677
1,Action vs. Character-Driven,13,Balto (1995),-0.042843
1,Action vs. Character-Driven,14,Nixon (1995),0.474638
1,Action vs. Character-Driven,15,Cutthroat Island (1995),-0.727477
1,Action vs. Character-Driven,16,Casino (1995),0.055501
1,Action vs. Character-Driven,17,Sense and Sensibility (1995),0.698911
1,Action vs. Character-Driven,18,Four Rooms (1995),-0.313388
1,Action vs. Character-Driven,19,Ace Ventura: When Nature Calls (1995),-0.709295
1,Action vs. Character-Driven,20,Money Train (1995),-0.52858
1,Action vs. Character-Driven,21,Get Shorty (1995),-0.260323
1,Action vs. Character-Driven,22,Copycat (1995),-0.24138
1,Action vs. Character-Driven,23,Assassins (1995),-0.98161
1,Action vs. Character-Driven,24,Powder (1995),0.393266
1,Action vs. Character-Driven,25,Leaving Las Vegas (1995),0.913326
1,Action vs. Character-Driven,26,Othello (1995),0.467385
1,Action vs. Character-Driven,27,Now and Then (1995),0.33874
1,Action vs. Character-Driven,28,Persuasion (1995),0.564839
1,Action vs. Character-Driven,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",-0.029476
1,Action vs. Character-Driven,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0.180718
1,Action vs. Character-Driven,31,Dangerous Minds (1995),0.161598
1,Action vs. Character-Driven,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),-0.103932
1,Action vs. Character-Driven,33,Wings of Courage (1995),-0.064593
1,Action vs. Character-Driven,34,Babe (1995),0.177446
1,Action vs. Character-Driven,35,Carrington (1995),0.600784
1,Action vs. Character-Driven,36,Dead Man Walking (1995),0.637524
1,Action vs. Character-Driven,37,Across the Sea of Time (1995),-0.052883
1,Action vs. Character-Driven,38,It Takes Two (1995),-0.218305
1,Action vs. Character-Driven,39,Clueless (1995),0.124417
1,Action vs. Character-Driven,40,"Cry, the Beloved Country (1995)",0.830295
1,Action vs. Character-Driven,41,Richard III (1995),0.138496
1,Action vs. Character-Driven,42,Dead Presidents (1995),-0.240993
1,Action vs. Character-Driven,43,Restoration (1995),0.371935
1,Action vs. Character-Driven,44,Mortal Kombat (1995),-1.0
1,Action vs. Character-Driven,45,To Die For (1995),0.0972
1,Action vs. Character-Driven,46,How to Make an American Quilt (1995),0.509672
1,Action vs. Character-Driven,47,Seven (a.k.a. Se7en) (1995),-0.316917
1,Action vs. Character-Driven,48,Pocahontas (1995),0.185758
1,Action vs. Character-Driven,49,When Night Is Falling (1995),0.439162
1,Action vs. Character-Driven,50,"Usual Suspects, The (1995)",-0.058501
2,Historical vs. Contemporary,1,Toy Story (1995),0.603236
2,Historical vs. Contemporary,2,Jumanji (1995),-0.001175
2,Historical vs. Contemporary,3,Grumpier Old Men (1995),0.185404
2,Historical vs. Contemporary,4,Waiting to Exhale (1995),0.716916
2,Historical vs. Contemporary,5,Father of the Bride Part II (1995),0.295333
2,Historical vs. Contemporary,6,Heat (1995),0.538333
2,Historical vs. Contemporary,7,Sabrina (1995),0.236761
2,Historical vs. Contemporary,8,Tom and Huck (1995),-0.560268
2,Historical vs. Contemporary,9,Sudden Death (1995),0.367592
2,Historical vs. Contemporary,10,GoldenEye (1995),0.660603
2,Historical vs. Contemporary,11,"American President, The (1995)",1.0
2,Historical vs. Contemporary,12,Dracula: Dead and Loving It (1995),-0.321291
2,Historical vs. Contemporary,13,Balto (1995),-0.521257
2,Historical vs. Contemporary,14,Nixon (1995),-0.533026
2,Historical vs. Contemporary,15,Cutthroat Island (1995),-0.574435
2,Historical vs. Contemporary,16,Casino (1995),-0.252474
2,Historical vs. Contemporary,17,Sense and Sensibility (1995),-0.754043
2,Historical vs. Contemporary,18,Four Rooms (1995),0.457275
2,Historical vs. Contemporary,19,Ace Ventura: When Nature Calls (1995),0.179276
2,Historical vs. Contemporary,20,Money Train (1995),0.315471
2,Historical vs. Contemporary,21,Get Shorty (1995),0.768279
2,Historical vs. Contemporary,22,Copycat (1995),0.172559
2,Historical vs. Contemporary,23,Assassins (1995),0.092481
2,Historical vs. Contemporary,24,Powder (1995),0.417275
2,Historical vs. Contemporary,25,Leaving Las Vegas (1995),0.231484
2,Historical vs. Contemporary,26,Othello (1995),-0.923605
2,Historical vs. Contemporary,27,Now and Then (1995),-0.234618
2,Historical vs. Contemporary,28,Persuasion (1995),-0.755978
2,Historical vs. Contemporary,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",-0.126782
2,Historical vs. Contemporary,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),-0.627128
2,Historical vs. Contemporary,31,Dangerous Minds (1995),0.470121
2,Historical vs. Contemporary,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),-0.040843
2,Historical vs. Contemporary,33,Wings of Courage (1995),-0.60714
2,Historical vs. Contemporary,34,Babe (1995),-0.14111
2,Historical vs. Contemporary,35,Carrington (1995),-0.48743
2,Historical vs. Contemporary,36,Dead Man Walking (1995),0.049366
2,Historical vs. Contemporary,37,Across the Sea of Time (1995),-0.373334
2,Historical vs. Contemporary,38,It Takes Two (1995),0.208279
2,Historical vs. Contemporary,39,Clueless (1995),0.929938
2,Historical vs. Contemporary,40,"Cry, the Beloved Country (1995)",-0.484227
2,Historical vs. Contemporary,41,Richard III (1995),-0.296512
2,Historical vs. Contemporary,42,Dead Presidents (1995),-0.253613
2,Historical vs. Contemporary,43,Restoration (1995),-0.96414
2,Historical vs. Contemporary,44,Mortal Kombat (1995),-0.018904
2,Historical vs. Contemporary,45,To Die For (1995),0.668892
2,Historical vs. Contemporary,46,How to Make an American Quilt (1995),-0.139481
2,Historical vs. Contemporary,47,Seven (a.k.a. Se7en) (1995),0.8073
2,Historical vs. Contemporary,48,Pocahontas (1995),-0.620537
2,Historical vs. Contemporary,49,When Night Is Falling (1995),0.037439
2,Historical vs. Contemporary,50,"Usual Suspects, The (1995)",0.203737
3,Romantic vs. Non-Romantic,1,Toy Story (1995),-0.355224
3,Romantic vs. Non-Romantic,2,Jumanji (1995),-0.330579
3,Romantic vs. Non-Romantic,3,Grumpier Old Men (1995),0.488682
3,Romantic vs. Non-Romantic,4,Waiting to Exhale (1995),0.729892
3,Romantic vs. Non-Romantic,5,Father of the Bride Part II (1995),0.024832
3,Romantic vs. Non-Romantic,6,Heat (1995),-0.351542
3,Romantic vs. Non-Romantic,7,Sabrina (1995),0.75495
3,Romantic vs. Non-Romantic,8,Tom and Huck (1995),-0.333316
3,Romantic vs. Non-Romantic,9,Sudden Death (1995),-0.366578
3,Romantic vs. Non-Romantic,10,GoldenEye (1995),-0.231249
3,Romantic vs. Non-Romantic,11,"American President, The (1995)",0.645789
3,Romantic vs. Non-Romantic,12,Dracula: Dead and Loving It (1995),-0.357279
3,Romantic vs. Non-Romantic,13,Balto (1995),-0.288983
3,Romantic vs. Non-Romantic,14,Nixon (1995),-0.340829
3,Romantic vs. Non-Romantic,15,Cutthroat Island (1995),0.050618
3,Romantic vs. Non-Romantic,16,Casino (1995),-0.049452
3,Romantic vs. Non-Romantic,17,Sense and Sensibility (1995),1.0
3,Romantic vs. Non-Romantic,18,Four Rooms (1995),-0.344879
3,Romantic vs. Non-Romantic,19,Ace Ventura: When Nature Calls (1995),-0.344128
3,Romantic vs. Non-Romantic,20,Money Train (1995),-0.230671
3,Romantic vs. Non-Romantic,21,Get Shorty (1995),-0.289523
3,Romantic vs. Non-Romantic,22,Copycat (1995),-0.33132
3,Romantic vs. Non-Romantic,23,Assassins (1995),-0.333031
3,Romantic vs. Non-Romantic,24,Powder (1995),0.00185
3,Romantic vs. Non-Romantic,25,Leaving Las Vegas (1995),0.667051
3,Romantic vs. Non-Romantic,26,Othello (1995),0.269522
3,Romantic vs. Non-Romantic,27,Now and Then (1995),0.214126
3,Romantic vs. Non-Romantic,28,Persuasion (1995),0.852897
3,Romantic vs. Non-Romantic,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",-0.323683
3,Romantic vs. Non-Romantic,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),-0.314042
3,Romantic vs. Non-Romantic,31,Dangerous Minds (1995),-0.252348
3,Romantic vs. Non-Romantic,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),-0.30736
3,Romantic vs. Non-Romantic,33,Wings of Courage (1995),0.341679
3,Romantic vs. Non-Romantic,34,Babe (1995),-0.293355
3,Romantic vs. Non-Romantic,35,Carrington (1995),0.706658
3,Romantic vs. Non-Romantic,36,Dead Man Walking (1995),-0.334529
3,Romantic vs. Non-Romantic,37,Across the Sea of Time (1995),-0.333023
3,Romantic vs. Non-Romantic,38,It Takes Two (1995),0.339955
3,Romantic vs. Non-Romantic,39,Clueless (1995),0.451491
3,Romantic vs. Non-Romantic,40,"Cry, the Beloved Country (1995)",-0.307632
3,Romantic vs. Non-Romantic,41,Richard III (1995),-0.330175
3,Romantic vs. Non-Romantic,42,Dead Presidents (1995),-0.345322
3,Romantic vs. Non-Romantic,43,Restoration (1995),0.13856
3,Romantic vs. Non-Romantic,44,Mortal Kombat (1995),-0.364683
3,Romantic vs. Non-Romantic,45,To Die For (1995),-0.313462
3,Romantic vs. Non-Romantic,46,How to Make an American Quilt (1995),0.491009
3,Romantic vs. Non-Romantic,47,Seven (a.k.a. Se7en) (1995),-0.348257
3,Romantic vs. Non-Romantic,48,Pocahontas (1995),0.432306
3,Romantic vs. Non-Romantic,49,When Night Is Falling (1995),0.807841
3,Romantic vs. Non-Romantic,50,"Usual Suspects, The (1995)",-0.363252
4,Family-Friendly vs. Adult-Themed,1,Toy Story (1995),1.0
4,Family-Friendly vs. Adult-Themed,2,Jumanji (1995),0.69901
