dimension_id,dimension_name,option_id,display_text,bt_score
1,Action Intensity,1,Toy Story (1995),-0.134692
1,Action Intensity,2,Jumanji (1995),0.435401
1,Action Intensity,3,Grumpier Old Men (1995),-0.314683
1,Action Intensity,4,Waiting to Exhale (1995),-0.390852
1,Action Intensity,5,Father of the Bride Part II (1995),-0.373624
1,Action Intensity,6,Heat (1995),0.665076
1,Action Intensity,7,Sabrina (1995),-0.392833
1,Action Intensity,8,Tom and Huck (1995),-0.042245
1,Action Intensity,9,Sudden Death (1995),0.618023
1,Action Intensity,10,GoldenEye (1995),0.799808
1,Action Intensity,11,"American President, The (1995)",-0.396004
1,Action Intensity,12,Dracula: Dead and Loving It (1995),0.420108
1,Action Intensity,13,Balto (1995),0.057924
1,Action Intensity,14,Nixon (1995),-0.443209
1,Action Intensity,15,Cutthroat Island (1995),0.564366
1,Action Intensity,16,Casino (1995),0.356886
1,Action Intensity,17,Sense and Sensibility (1995),-0.511849
1,Action Intensity,18,Four Rooms (1995),-0.030769
1,Action Intensity,19,Ace Ventura: When Nature Calls (1995),0.337588
1,Action Intensity,20,Money Train (1995),0.677204
1,Action Intensity,21,Get Shorty (1995),0.365362
1,Action Intensity,22,Copycat (1995),0.20981
1,Action Intensity,23,Assassins (1995),0.944604
1,Action Intensity,24,Powder (1995),0.039967
1,Action Intensity,25,Leaving Las Vegas (1995),-0.392668
1,Action Intensity,26,Othello (1995),-0.497378
1,Action Intensity,27,Now and Then (1995),-0.678912
1,Action Intensity,28,Persuasion (1995),-0.577938
1,Action Intensity,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0.057047
1,Action Intensity,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0.127713
1,Action Intensity,31,Dangerous Minds (1995),-0.044244
1,Action Intensity,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0.290587
1,Action Intensity,33,Wings of Courage (1995),0.143351
1,Action Intensity,34,Babe (1995),-0.286072
1,Action Intensity,35,Carrington (1995),-0.586775
1,Action Intensity,36,Dead Man Walking (1995),-0.432207
1,Action Intensity,37,Across the Sea of Time (1995),-0.343159
1,Action Intensity,38,It Takes Two (1995),-0.215118
1,Action Intensity,39,Clueless (1995),-0.337033
1,Action Intensity,40,"Cry, the Beloved Country (1995)",-0.352368
1,Action Intensity,41,Richard III (1995),0.300302
1,Action Intensity,42,Dead Presidents (1995),0.60524
1,Action Intensity,43,Restoration (1995),-0.251052
1,Action Intensity,44,Mortal Kombat (1995),1.0
1,Action Intensity,45,To Die For (1995),-0.103494
1,Action Intensity,46,How to Make an American Quilt (1995),-0.569208
1,Action Intensity,47,Seven (a.k.a. Se7en) (1995),0.243564
1,Action Intensity,48,Pocahontas (1995),-0.231588
1,Action Intensity,49,When Night Is Falling (1995),-0.491341
1,Action Intensity,50,"Usual Suspects, The (1995)",0.161384
2,Emotional Depth,1,Toy Story (1995),-0.137904
2,Emotional Depth,2,Jumanji (1995),-0.423555
