dimension_id,dimension_name,option_id,display_text,bt_score
1,Tannin Level,0,Nicosia 2013 Vulkà Bianco  (Etna),-0.297467
1,Tannin Level,1,Quinta dos Avidagos 2011 Avidagos Red (Douro),0.15508
1,Tannin Level,2,Rainstorm 2013 Pinot Gris (Willamette Valley),-0.278945
1,Tannin Level,3,St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore),-0.176806
1,Tannin Level,4,Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),0.291963
1,Tannin Level,5,Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra),0.292243
1,Tannin Level,6,Terre di Giurfo 2013 Belsito Frappato (Vittoria),-0.242874
1,Tannin Level,7,Trimbach 2012 Gewurztraminer (Alsace),-0.187996
1,Tannin Level,8,Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen),-0.276894
1,Tannin Level,9,Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace),-0.282764
1,Tannin Level,10,Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),0.161783
1,Tannin Level,11,Leon Beyer 2012 Gewurztraminer (Alsace),-0.086353
1,Tannin Level,12,Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley),0.787463
1,Tannin Level,13,Masseria Setteporte 2012 Rosso  (Etna),0.384926
1,Tannin Level,14,Mirassou 2012 Chardonnay (Central Coast),-0.362804
1,Tannin Level,15,Richard Böcking 2013 Devon Riesling (Mosel),-0.319273
1,Tannin Level,16,Felix Lavaque 2010 Felix Malbec (Cafayate),0.042293
1,Tannin Level,17,Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza),0.245635
1,Tannin Level,18,Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),1.0
1,Tannin Level,19,Quiévremont 2012 Meritage (Virginia),-0.058965
1,Tannin Level,20,Quiévremont 2012 Vin de Maison Red (Virginia),0.006829
1,Tannin Level,21,Acrobat 2013 Pinot Noir (Oregon),-0.089084
1,Tannin Level,22,Baglio di Pianetto 2007 Ficiligno White (Sicilia),-0.199959
1,Tannin Level,23,Bianchi 2011 Signature Selection Merlot (Paso Robles),-0.060315
