lambda,scale,alpha,user_id,condition,fit,test_acc,test_ll,spearman,topn_sign,combined,rating_partial_vs_standard
0.1,0.5,0.0,0,choice_only,standard,0.58,-0.6929036185344742,-0.0024100856204820084,0.3,-0.201205042810241,0.49046123522295937
0.1,0.5,0.0,0,choice_only,projected,0.59,-0.6856269752722011,-0.017673961216868064,0.3,-0.20883698060843403,0.49046123522295937
0.1,0.5,0.0,0,choice_only,partial,0.59,-0.6856269752722011,-0.017673961216868064,0.3,-0.20883698060843403,0.49046123522295937
0.1,0.5,0.0,0,inference_affirm,standard,0.56,-0.6929578977209612,0.028921027445784103,0.2,-0.28553948627710796,0.5015062989558474
0.1,0.5,0.0,0,inference_affirm,projected,0.56,-0.6834898916233476,0.03133111306626611,0.2,-0.2843344434668669,0.5015062989558474
0.1,0.5,0.0,0,inference_affirm,partial,0.56,-0.6834898916233476,0.03133111306626611,0.2,-0.2843344434668669,0.5015062989558474
0.1,0.5,0.0,0,inference_categories,standard,0.58,-0.6929179631292349,-0.06587567362650824,0.3,-0.23293783681325414,0.5015062989558474
0.1,0.5,0.0,0,inference_categories,projected,0.61,-0.6854783469791614,-0.06346558800602624,0.3,-0.23173279400301314,0.5015062989558474
0.1,0.5,0.0,0,inference_categories,partial,0.61,-0.6854783469791614,-0.06346558800602624,0.3,-0.23173279400301314,0.5015062989558474
0.1,0.5,0.0,1,choice_only,standard,0.52,-0.6930206444364031,-0.2743220630858125,0.3,-0.3371610315429062,0.5255967618286675
0.1,0.5,0.0,1,choice_only,projected,0.55,-0.6865778542186223,-0.23333140998103594,0.3,-0.316665704990518,0.5255967618286675
0.1,0.5,0.0,1,choice_only,partial,0.55,-0.6865778542186223,-0.23333140998103594,0.3,-0.316665704990518,0.5255967618286675
0.1,0.5,0.0,1,inference_affirm,standard,0.43,-0.6931513382485116,-0.11193601424765913,0.3,-0.25596800712382956,0.670156877288153
0.1,0.5,0.0,1,inference_affirm,projected,0.54,-0.6877955642739707,-0.028378144457153014,0.4,-0.11418907222857648,0.670156877288153
0.1,0.5,0.0,1,inference_affirm,partial,0.54,-0.6877955642739707,-0.028378144457153014,0.4,-0.11418907222857648,0.670156877288153
0.1,0.5,0.0,1,inference_categories,standard,0.5,-0.6931417379619469,0.22860171923817707,0.4,0.014300859619088557,0.6196765970555242
0.1,0.5,0.0,1,inference_categories,projected,0.6,-0.688028436125368,0.22387202849531826,0.5,0.11193601424765913,0.6196765970555242
0.1,0.5,0.0,1,inference_categories,partial,0.6,-0.688028436125368,0.22387202849531826,0.5,0.11193601424765913,0.6196765970555242
0.1,0.5,0.0,2,choice_only,standard,0.72,-0.6918140130023029,0.19565637692211824,0.2,-0.20217181153894087,0.5185195900045939
0.1,0.5,0.0,2,choice_only,projected,0.75,-0.6224251280944765,0.22530128251637863,0.2,-0.1873493587418107,0.5185195900045939
0.1,0.5,0.0,2,choice_only,partial,0.75,-0.6224251280944765,0.22530128251637863,0.2,-0.1873493587418107,0.5185195900045939
0.1,0.5,0.0,2,inference_affirm,standard,0.62,-0.6929215843980364,0.08695838974316368,0.2,-0.25652080512841813,0.5
0.1,0.5,0.0,2,inference_affirm,projected,0.56,-0.6902954755710147,0.08695838974316368,0.2,-0.25652080512841813,0.5
0.1,0.5,0.0,2,inference_affirm,partial,0.56,-0.6902954755710147,0.08695838974316368,0.2,-0.25652080512841813,0.5
0.1,0.5,0.0,2,inference_categories,standard,0.75,-0.6916815504162643,0.20158535804097033,0.2,-0.19920732097951482,0.6339982724201557
0.1,0.5,0.0,2,inference_categories,projected,0.75,-0.6194902251910643,0.22134862843714387,0.3,-0.08932568578142808,0.6339982724201557
0.1,0.5,0.0,2,inference_categories,partial,0.75,-0.6194902251910643,0.22134862843714387,0.3,-0.08932568578142808,0.6339982724201557
0.1,0.5,0.0,3,choice_only,standard,0.65,-0.6921346514186433,0.3247068421883151,0.5,0.16235342109415754,0.37480630073219257
0.1,0.5,0.0,3,choice_only,projected,0.66,-0.6450489375591484,0.3200459784248464,0.4,0.06002298921242322,0.37480630073219257
0.1,0.5,0.0,3,choice_only,partial,0.66,-0.6450489375591484,0.3200459784248464,0.4,0.06002298921242322,0.37480630073219257
0.1,0.5,0.0,3,inference_affirm,standard,0.71,-0.6925999953828651,0.13827229164956956,0.6,0.16913614582478476,0.5097089123097727
0.1,0.5,0.0,3,inference_affirm,projected,0.71,-0.6630585602488811,0.153808504194465,0.6,0.17690425209723248,0.5097089123097727
0.1,0.5,0.0,3,inference_affirm,partial,0.71,-0.6630585602488811,0.153808504194465,0.6,0.17690425209723248,0.5097089123097727
0.1,0.5,0.0,3,inference_categories,standard,0.64,-0.6917629484651538,0.25013302197281684,0.5,0.12506651098640842,0.5305488209619215
0.1,0.5,0.0,3,inference_categories,projected,0.69,-0.6336834140844884,0.2990720914892376,0.5,0.1495360457446188,0.5305488209619215
0.1,0.5,0.0,3,inference_categories,partial,0.69,-0.6336834140844884,0.2990720914892376,0.5,0.1495360457446188,0.5305488209619215
0.1,0.5,0.0,4,choice_only,standard,0.73,-0.6900888810553234,0.48222379766663487,0.5,0.24111189883331743,0.520986138189571
0.1,0.5,0.0,4,choice_only,projected,0.81,-0.5574045633876503,0.51582135734013,0.5,0.257910678670065,0.520986138189571
0.1,0.5,0.0,4,choice_only,partial,0.81,-0.5574045633876503,0.51582135734013,0.5,0.257910678670065,0.520986138189571
0.1,0.5,0.0,4,inference_affirm,standard,0.7,-0.6922733069025856,0.25692251515025627,0.3,-0.07153874242487188,0.42763466551091106
0.1,0.5,0.0,4,inference_affirm,projected,0.75,-0.6479103228243072,0.14031921981283227,0.3,-0.1298403900935839,0.42763466551091106
0.1,0.5,0.0,4,inference_affirm,partial,0.75,-0.6479103228243072,0.14031921981283227,0.3,-0.1298403900935839,0.42763466551091106
0.1,0.5,0.0,4,inference_categories,standard,0.74,-0.6916464902071833,0.46246052727046133,0.4,0.1312302636352307,0.6294002880275669
0.1,0.5,0.0,4,inference_categories,projected,0.81,-0.6236802249855895,0.4743184895081655,0.5,0.23715924475408276,0.6294002880275669
0.1,0.5,0.0,4,inference_categories,partial,0.81,-0.6236802249855895,0.4743184895081655,0.5,0.23715924475408276,0.6294002880275669
