lambda,scale,alpha,condition,fit,spearman,topn_sign,test_ll,test_acc,combined,rating_partial_vs_standard
0.1,0.5,0.0,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.5,0.0,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.5,0.0,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,0.5,0.0,inference_affirm,partial,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5329071981603242
0.1,0.5,0.0,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5329071981603242
0.1,0.5,0.0,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5329071981603242
0.1,0.5,0.0,inference_categories,partial,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5468212862395951
0.1,0.5,0.0,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5468212862395951
0.1,0.5,0.0,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5468212862395951
0.1,0.5,0.25,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.5,0.25,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.5,0.25,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,0.5,0.25,inference_affirm,partial,0.20382331833149023,0.4033333333333333,-0.6490043124447668,0.6843333333333333,0.005244992499078447,0.5420403355316358
0.1,0.5,0.25,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5420403355316358
0.1,0.5,0.25,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5420403355316358
0.1,0.5,0.25,inference_categories,partial,0.2589262599923056,0.4266666666666667,-0.6421937952133204,0.721,0.056129796662819496,0.5413082183566172
0.1,0.5,0.25,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5413082183566172
0.1,0.5,0.25,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5413082183566172
0.1,0.5,0.5,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.5,0.5,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.5,0.5,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,0.5,0.5,inference_affirm,partial,0.2098454063299471,0.39333333333333337,-0.6515238024222216,0.6829999999999999,-0.0017439635016931131,0.5332642185693085
0.1,0.5,0.5,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5332642185693085
0.1,0.5,0.5,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5332642185693085
0.1,0.5,0.5,inference_categories,partial,0.2521990777212573,0.4166666666666667,-0.6453909381613517,0.718,0.04276620552729535,0.5268032609991384
0.1,0.5,0.5,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5268032609991384
0.1,0.5,0.5,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5268032609991384
0.1,0.5,0.75,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.5,0.75,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.5,0.75,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,0.5,0.75,inference_affirm,partial,0.21445653611830232,0.38333333333333336,-0.6545276799149301,0.6883333333333332,-0.009438398607515512,0.5269782590574178
0.1,0.5,0.75,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5269782590574178
0.1,0.5,0.75,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5269782590574178
0.1,0.5,0.75,inference_categories,partial,0.24328361092563133,0.4166666666666667,-0.6493084291835931,0.7110000000000001,0.038308472129482324,0.5195702694621745
0.1,0.5,0.75,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5195702694621745
0.1,0.5,0.75,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5195702694621745
0.1,0.5,1.0,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.5,1.0,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.5,1.0,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,0.5,1.0,inference_affirm,partial,0.2210595738447442,0.38666666666666666,-0.657784718212037,0.6863333333333334,-0.00280354641096123,0.5360606830184894
0.1,0.5,1.0,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5360606830184894
0.1,0.5,1.0,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5360606830184894
0.1,0.5,1.0,inference_categories,partial,0.23584121295507365,0.4066666666666666,-0.6534062071444228,0.6996666666666668,0.024587273144203493,0.5047191607359983
0.1,0.5,1.0,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5047191607359983
0.1,0.5,1.0,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5047191607359983
0.1,0.75,0.0,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.75,0.0,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.75,0.0,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,0.75,0.0,inference_affirm,partial,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5329071981603242
0.1,0.75,0.0,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5329071981603242
0.1,0.75,0.0,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5329071981603242
0.1,0.75,0.0,inference_categories,partial,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5468212862395951
0.1,0.75,0.0,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5468212862395951
0.1,0.75,0.0,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5468212862395951
0.1,0.75,0.25,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.75,0.25,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.75,0.25,choice_only,standard,0.19892455787410304,0.38666666666666666,-0.6919152820767185,0.682,-0.013871054396281815,0.5159978313338007
0.1,0.75,0.25,inference_affirm,partial,0.2038995953385994,0.39666666666666667,-0.6490645480037158,0.6826666666666666,-0.0013835356640336542,0.5361687334383309
0.1,0.75,0.25,inference_affirm,projected,0.19808288346605873,0.39666666666666667,-0.6472880144927184,0.6843333333333333,-0.004291891600303975,0.5361687334383309
0.1,0.75,0.25,inference_affirm,standard,0.1837669093243465,0.3766666666666667,-0.6921140644898764,0.6623333333333333,-0.03144987867116008,0.5361687334383309
0.1,0.75,0.25,inference_categories,partial,0.25547892506121356,0.4266666666666667,-0.6424481570737444,0.7206666666666667,0.05440612919727344,0.5382606545442996
0.1,0.75,0.25,inference_categories,projected,0.2609624510237229,0.43,-0.640313601703835,0.7156666666666667,0.06048122551186145,0.5382606545442996
0.1,0.75,0.25,inference_categories,standard,0.24972396356508003,0.39666666666666667,-0.6919585926478928,0.6836666666666666,0.02152864844920668,0.5382606545442996
0.1,0.75,0.5,choice_only,partial,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
0.1,0.75,0.5,choice_only,projected,0.21209082861902043,0.39333333333333337,-0.6364555346042028,0.7296666666666667,-0.0006212523571564548,0.5159978313338007
