lambda,scale,alpha,user_id,condition,fit,test_acc,test_ll,spearman,topn_sign,combined,rating_partial_vs_standard
0.1,0.5,0.0,0,choice_only,standard,0.68,-0.6856764892842665,0.553645046557168,0.6,0.37682252327858395,0.47555800764364287
0.1,0.5,0.0,0,choice_only,projected,0.69,-0.5691527536079319,0.5145066632953947,0.6,0.35725333164769735,0.47555800764364287
0.1,0.5,0.0,0,choice_only,partial,0.69,-0.5691527536079319,0.5145066632953947,0.6,0.35725333164769735,0.47555800764364287
0.1,0.5,0.0,0,inference_affirm,standard,0.69,-0.6857326325275982,0.5842219084804284,0.5,0.2921109542402142,0.25923619865940956
0.1,0.5,0.0,0,inference_affirm,projected,0.75,-0.5574663756856215,0.5642450253572316,0.3,0.08212251267861581,0.25923619865940956
0.1,0.5,0.0,0,inference_affirm,partial,0.75,-0.5574663756856215,0.5642450253572316,0.3,0.08212251267861581,0.25923619865940956
0.1,0.5,0.0,0,inference_categories,standard,0.725,-0.684700659066005,0.5964526532497325,0.5,0.29822632662486626,0.4994903858110794
0.1,0.5,0.0,0,inference_categories,projected,0.73,-0.5445488453366876,0.5956372702651124,0.5,0.2978186351325562,0.4994903858110794
0.1,0.5,0.0,0,inference_categories,partial,0.73,-0.5445488453366876,0.5956372702651124,0.5,0.2978186351325562,0.4994903858110794
0.1,0.5,0.0,1,choice_only,standard,0.68,-0.6857177453960456,0.5274657106279396,0.4,0.1637328553139698,0.4912949095702725
0.1,0.5,0.0,1,choice_only,projected,0.69,-0.5881025693450032,0.5135361584106525,0.4,0.15676807920532626,0.4912949095702725
0.1,0.5,0.0,1,choice_only,partial,0.69,-0.5881025693450032,0.5135361584106525,0.4,0.15676807920532626,0.4912949095702725
0.1,0.5,0.0,1,inference_affirm,standard,0.765,-0.6856327476378772,0.5395379892162551,0.5,0.26976899460812753,0.404622291439098
0.1,0.5,0.0,1,inference_affirm,projected,0.815,-0.49642177238237567,0.5850411931260598,0.4,0.19252059656302994,0.404622291439098
