lambda,scale,alpha,condition,fit,spearman,topn_sign,test_ll,test_acc,combined,rating_partial_vs_standard
0.1,0.5,0.0,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.5,0.0,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.5,0.0,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,0.5,0.0,inference_affirm,partial,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5188982231853116
0.1,0.5,0.0,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5188982231853116
0.1,0.5,0.0,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5188982231853116
0.1,0.5,0.0,inference_categories,partial,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.5134647756718196
0.1,0.5,0.0,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.5134647756718196
0.1,0.5,0.0,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.5134647756718196
0.1,0.5,0.25,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.5,0.25,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.5,0.25,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,0.5,0.25,inference_affirm,partial,0.46454717201990203,0.46,-0.5558604773053106,0.725,0.19227358600995104,0.5463088984254669
0.1,0.5,0.25,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5463088984254669
0.1,0.5,0.25,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5463088984254669
0.1,0.5,0.25,inference_categories,partial,0.4957467271720638,0.4633333333333333,-0.5521710925769915,0.7258333333333333,0.21120669691936522,0.5773002414454537
0.1,0.5,0.25,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.5773002414454537
0.1,0.5,0.25,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.5773002414454537
0.1,0.5,0.5,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.5,0.5,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.5,0.5,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,0.5,0.5,inference_affirm,partial,0.4851068520354186,0.4633333333333333,-0.5709414519091612,0.7076666666666667,0.20588675935104264,0.5622806184919497
0.1,0.5,0.5,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5622806184919497
0.1,0.5,0.5,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5622806184919497
0.1,0.5,0.5,inference_categories,partial,0.5257492107721868,0.49,-0.5633116186070122,0.7191666666666666,0.2528746053860934,0.6186785858205067
0.1,0.5,0.5,inference_categories,projected,0.4460275633322255,0.43333333333333335,-0.5560592500872624,0.7185,0.1563471149994461,0.6186785858205067
0.1,0.5,0.5,inference_categories,standard,0.41737416046944015,0.43666666666666665,-0.6858578547520221,0.67,0.14535374690138675,0.6186785858205067
0.1,0.5,0.75,choice_only,partial,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.5,0.75,choice_only,projected,0.43371435603717184,0.45666666666666667,-0.5632023555197556,0.7108333333333333,0.17352384468525262,0.5706567076849148
0.1,0.5,0.75,choice_only,standard,0.406589100439153,0.41000000000000003,-0.6861570323457477,0.6609999999999999,0.11329455021957648,0.5706567076849148
0.1,0.5,0.75,inference_affirm,partial,0.4961315803975605,0.4666666666666667,-0.5911576254453759,0.6831666666666667,0.21473245686544692,0.5695993205157445
0.1,0.5,0.75,inference_affirm,projected,0.4372829063509938,0.45,-0.5546565578724149,0.727,0.1686414531754969,0.5695993205157445
0.1,0.5,0.75,inference_affirm,standard,0.41226773904673714,0.44666666666666666,-0.6856767371795984,0.6713333333333333,0.15280053619003522,0.5695993205157445
