persona_id,option_a_id,option_b_id,choice_1,choice_2,consistent
0,co_cea2dc986af6_C,co_4c2756d51e09_D,B,B,1
0,co_3b4182c6f649_D,co_cd67c7d108d1_A,B,B,1
0,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
0,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,A,A,1
0,co_cd67c7d108d1_D,co_8085707e14d5_B,A,A,1
0,co_cd67c7d108d1_B,co_9f249d63cf3b_B,A,A,1
0,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
0,co_b30aec564e67_A,co_34015c6662d4_D,B,B,1
0,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
0,co_b72bd83e0a5c_B,co_319f37ddac5f_C,B,B,1
1,co_cea2dc986af6_C,co_4c2756d51e09_D,A,A,1
1,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
1,co_ce1a6bf715ac_A,co_9e0d443f9026_D,B,B,1
1,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
1,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
1,co_cd67c7d108d1_B,co_9f249d63cf3b_B,B,B,1
1,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
1,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
1,co_709d6fde1094_C,co_4508d2bc5d26_B,B,B,1
1,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
3,co_cea2dc986af6_C,co_4c2756d51e09_D,A,A,1
3,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
3,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
3,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
3,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
3,co_cd67c7d108d1_B,co_9f249d63cf3b_B,A,A,1
3,co_cd67c7d108d1_A,co_161e8221d5fb_D,A,A,1
3,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
3,co_709d6fde1094_C,co_4508d2bc5d26_B,B,B,1
3,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
4,co_cea2dc986af6_C,co_4c2756d51e09_D,B,B,1
4,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
4,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
4,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
4,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
4,co_cd67c7d108d1_B,co_9f249d63cf3b_B,A,B,0
4,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
4,co_b30aec564e67_A,co_34015c6662d4_D,B,B,1
4,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
4,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
5,co_cea2dc986af6_C,co_4c2756d51e09_D,B,B,1
5,co_3b4182c6f649_D,co_cd67c7d108d1_A,B,B,1
5,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
5,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,A,A,1
5,co_cd67c7d108d1_D,co_8085707e14d5_B,A,A,1
5,co_cd67c7d108d1_B,co_9f249d63cf3b_B,A,A,1
5,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
5,co_b30aec564e67_A,co_34015c6662d4_D,B,B,1
5,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
5,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,B,0
2,co_cea2dc986af6_C,co_4c2756d51e09_D,B,B,1
2,co_3b4182c6f649_D,co_cd67c7d108d1_A,B,B,1
2,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
2,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,A,A,1
2,co_cd67c7d108d1_D,co_8085707e14d5_B,A,A,1
2,co_cd67c7d108d1_B,co_9f249d63cf3b_B,A,A,1
2,co_cd67c7d108d1_A,co_161e8221d5fb_D,A,A,1
2,co_b30aec564e67_A,co_34015c6662d4_D,B,B,1
2,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
2,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
9,co_cea2dc986af6_C,co_4c2756d51e09_D,B,B,1
9,co_3b4182c6f649_D,co_cd67c7d108d1_A,B,B,1
9,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
9,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,A,A,1
9,co_cd67c7d108d1_D,co_8085707e14d5_B,A,A,1
9,co_cd67c7d108d1_B,co_9f249d63cf3b_B,A,A,1
9,co_cd67c7d108d1_A,co_161e8221d5fb_D,A,A,1
9,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
9,co_709d6fde1094_C,co_4508d2bc5d26_B,A,B,0
9,co_b72bd83e0a5c_B,co_319f37ddac5f_C,B,B,1
10,co_cea2dc986af6_C,co_4c2756d51e09_D,B,B,1
10,co_3b4182c6f649_D,co_cd67c7d108d1_A,B,A,0
10,co_ce1a6bf715ac_A,co_9e0d443f9026_D,B,A,0
10,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
10,co_cd67c7d108d1_D,co_8085707e14d5_B,B,A,0
10,co_cd67c7d108d1_B,co_9f249d63cf3b_B,B,A,0
10,co_cd67c7d108d1_A,co_161e8221d5fb_D,A,A,1
10,co_b30aec564e67_A,co_34015c6662d4_D,B,B,1
10,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
10,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
11,co_cea2dc986af6_C,co_4c2756d51e09_D,A,A,1
11,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
11,co_ce1a6bf715ac_A,co_9e0d443f9026_D,B,A,0
11,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,A,A,1
11,co_cd67c7d108d1_D,co_8085707e14d5_B,A,A,1
11,co_cd67c7d108d1_B,co_9f249d63cf3b_B,B,B,1
11,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
11,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
11,co_709d6fde1094_C,co_4508d2bc5d26_B,B,B,1
11,co_b72bd83e0a5c_B,co_319f37ddac5f_C,B,B,1
6,co_cea2dc986af6_C,co_4c2756d51e09_D,A,A,1
6,co_3b4182c6f649_D,co_cd67c7d108d1_A,B,A,0
6,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
6,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
6,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
6,co_cd67c7d108d1_B,co_9f249d63cf3b_B,B,B,1
6,co_cd67c7d108d1_A,co_161e8221d5fb_D,A,A,1
6,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
6,co_709d6fde1094_C,co_4508d2bc5d26_B,B,B,1
6,co_b72bd83e0a5c_B,co_319f37ddac5f_C,B,B,1
13,co_cea2dc986af6_C,co_4c2756d51e09_D,B,B,1
13,co_3b4182c6f649_D,co_cd67c7d108d1_A,B,B,1
13,co_ce1a6bf715ac_A,co_9e0d443f9026_D,B,A,0
13,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
13,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
13,co_cd67c7d108d1_B,co_9f249d63cf3b_B,A,A,1
13,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
13,co_b30aec564e67_A,co_34015c6662d4_D,B,B,1
13,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
13,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
14,co_cea2dc986af6_C,co_4c2756d51e09_D,A,A,1
14,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
14,co_ce1a6bf715ac_A,co_9e0d443f9026_D,B,A,0
14,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
14,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
14,co_cd67c7d108d1_B,co_9f249d63cf3b_B,B,B,1
14,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
14,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
14,co_709d6fde1094_C,co_4508d2bc5d26_B,B,B,1
14,co_b72bd83e0a5c_B,co_319f37ddac5f_C,B,B,1
15,co_cea2dc986af6_C,co_4c2756d51e09_D,B,B,1
15,co_3b4182c6f649_D,co_cd67c7d108d1_A,B,B,1
15,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,B,0
15,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,A,A,1
15,co_cd67c7d108d1_D,co_8085707e14d5_B,A,A,1
15,co_cd67c7d108d1_B,co_9f249d63cf3b_B,A,A,1
15,co_cd67c7d108d1_A,co_161e8221d5fb_D,A,A,1
15,co_b30aec564e67_A,co_34015c6662d4_D,B,B,1
15,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
15,co_b72bd83e0a5c_B,co_319f37ddac5f_C,B,B,1
16,co_cea2dc986af6_C,co_4c2756d51e09_D,A,A,1
16,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
16,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
16,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
16,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
16,co_cd67c7d108d1_B,co_9f249d63cf3b_B,B,A,0
16,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
16,co_b30aec564e67_A,co_34015c6662d4_D,A,B,0
16,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
16,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
17,co_cea2dc986af6_C,co_4c2756d51e09_D,A,A,1
17,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
17,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
17,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,A,A,1
17,co_cd67c7d108d1_D,co_8085707e14d5_B,A,A,1
17,co_cd67c7d108d1_B,co_9f249d63cf3b_B,A,A,1
17,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
17,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
17,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
17,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
18,co_cea2dc986af6_C,co_4c2756d51e09_D,B,B,1
18,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
18,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
18,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,A,A,1
18,co_cd67c7d108d1_D,co_8085707e14d5_B,A,A,1
18,co_cd67c7d108d1_B,co_9f249d63cf3b_B,A,A,1
18,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,A,0
18,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
18,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
18,co_b72bd83e0a5c_B,co_319f37ddac5f_C,B,B,1
19,co_cea2dc986af6_C,co_4c2756d51e09_D,A,A,1
19,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
19,co_ce1a6bf715ac_A,co_9e0d443f9026_D,B,B,1
19,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
19,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
19,co_cd67c7d108d1_B,co_9f249d63cf3b_B,B,B,1
19,co_cd67c7d108d1_A,co_161e8221d5fb_D,A,A,1
19,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
19,co_709d6fde1094_C,co_4508d2bc5d26_B,B,A,0
19,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
7,co_cea2dc986af6_C,co_4c2756d51e09_D,A,A,1
7,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
7,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,B,0
7,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
7,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
7,co_cd67c7d108d1_B,co_9f249d63cf3b_B,B,A,0
7,co_cd67c7d108d1_A,co_161e8221d5fb_D,A,A,1
7,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
7,co_709d6fde1094_C,co_4508d2bc5d26_B,B,B,1
7,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
8,co_cea2dc986af6_C,co_4c2756d51e09_D,A,B,0
8,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
8,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
8,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
8,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
8,co_cd67c7d108d1_B,co_9f249d63cf3b_B,B,B,1
8,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
8,co_b30aec564e67_A,co_34015c6662d4_D,B,B,1
8,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
8,co_b72bd83e0a5c_B,co_319f37ddac5f_C,B,B,1
12,co_cea2dc986af6_C,co_4c2756d51e09_D,A,A,1
12,co_3b4182c6f649_D,co_cd67c7d108d1_A,A,A,1
12,co_ce1a6bf715ac_A,co_9e0d443f9026_D,A,A,1
12,co_13d8f8eba6f5_B,co_6d3690a97e2b_D,B,B,1
12,co_cd67c7d108d1_D,co_8085707e14d5_B,B,B,1
12,co_cd67c7d108d1_B,co_9f249d63cf3b_B,B,B,1
12,co_cd67c7d108d1_A,co_161e8221d5fb_D,B,B,1
12,co_b30aec564e67_A,co_34015c6662d4_D,A,A,1
12,co_709d6fde1094_C,co_4508d2bc5d26_B,A,A,1
12,co_b72bd83e0a5c_B,co_319f37ddac5f_C,A,A,1
