persona_id,condition,trial,accuracy,log_likelihood
0,standard,0,0.54,-0.6931471803599452
0,projected,0,0.54,-0.6931471803599452
0,slider,0,0.54,-0.6931471803599452
0,partial,0,0.54,-0.6931471803599452
0,standard,1,0.48,-0.693205863525693
0,projected,1,0.36,-0.6931876285477574
0,slider,1,0.38,-0.6931862005010367
0,partial,1,0.36,-0.6931959457175979
0,standard,2,0.46,-0.6932172601732896
0,projected,2,0.4,-0.6931740586804546
0,slider,2,0.4,-0.6931721773637216
0,partial,2,0.44,-0.6931946332385474
0,standard,3,0.58,-0.6930305856496257
0,projected,3,0.7,-0.6931071174766238
0,slider,3,0.66,-0.6931010844424683
0,partial,3,0.64,-0.6930658089861198
0,standard,4,0.52,-0.6929119027202602
0,projected,4,0.7,-0.6930654832117884
0,slider,4,0.72,-0.6930488876773228
0,partial,4,0.58,-0.6929802585959518
0,standard,5,0.58,-0.6928067076357803
0,projected,5,0.8,-0.6929995317481884
0,slider,5,0.76,-0.6929609268057372
0,partial,5,0.7,-0.6928837294562742
0,standard,6,0.52,-0.6928202985516329
0,projected,6,0.68,-0.6930007235842028
0,slider,6,0.68,-0.6929611703700747
0,partial,6,0.62,-0.6928905579706012
0,standard,7,0.66,-0.6924946660511224
0,projected,7,0.78,-0.6929030337016464
0,slider,7,0.78,-0.6928659713066067
0,partial,7,0.68,-0.6926801204020444
0,standard,8,0.7,-0.692250670648229
0,projected,8,0.78,-0.6928845113236914
0,slider,8,0.8,-0.6928453277629514
0,partial,8,0.72,-0.6925476553721941
0,standard,9,0.76,-0.6921099764303742
0,projected,9,0.82,-0.6928367947370778
0,slider,9,0.8,-0.6927971521534418
0,partial,9,0.78,-0.6924531417438615
0,standard,10,0.78,-0.6918941957149584
0,projected,10,0.84,-0.6927943454009017
0,slider,10,0.84,-0.6927487779977646
0,partial,10,0.78,-0.6923210064378368
0,standard,11,0.8,-0.6915331620297167
0,projected,11,0.8,-0.6926655955010707
0,slider,11,0.84,-0.6926103726258329
0,partial,11,0.8,-0.6920710521449159
0,standard,12,0.82,-0.6913312171083343
0,projected,12,0.78,-0.6926560031309767
0,slider,12,0.84,-0.6925984987744279
0,partial,12,0.8,-0.6919638863545228
0,standard,13,0.78,-0.6913958090890447
0,projected,13,0.82,-0.6926784546515158
0,slider,13,0.84,-0.692627079697608
0,partial,13,0.78,-0.6920105042740985
0,standard,14,0.72,-0.6916499355945612
0,projected,14,0.78,-0.6927622132771102
0,slider,14,0.8,-0.6926661636677299
0,partial,14,0.76,-0.6921571211341917
0,standard,15,0.72,-0.6914621637136726
0,projected,15,0.8,-0.6927116079955791
0,slider,15,0.86,-0.6926157616577032
0,partial,15,0.78,-0.6920377387379344
0,standard,16,0.72,-0.6912382493908127
0,projected,16,0.8,-0.6926429115337699
0,slider,16,0.86,-0.6925492325576726
0,partial,16,0.76,-0.6918920555998181
0,standard,17,0.74,-0.6911617700393969
0,projected,17,0.82,-0.6925482415723735
0,slider,17,0.86,-0.6924546653280982
0,partial,17,0.78,-0.6918064095330791
0,standard,18,0.76,-0.6909469791535221
0,projected,18,0.8,-0.6925269484993554
0,slider,18,0.86,-0.692431121573193
0,partial,18,0.8,-0.6916864212832514
0,standard,19,0.76,-0.6908834360250333
0,projected,19,0.8,-0.6924935576448398
0,slider,19,0.86,-0.6923930361493177
0,partial,19,0.8,-0.6916356971425056
0,standard,20,0.76,-0.6909407509733575
0,projected,20,0.84,-0.6924603151457301
0,slider,20,0.84,-0.6923597840238673
0,partial,20,0.82,-0.6916477610947563
0,standard,21,0.74,-0.6908262294124738
0,projected,21,0.82,-0.6924256519537592
0,slider,21,0.84,-0.6923166379986812
0,partial,21,0.78,-0.6915687224359871
0,standard,22,0.74,-0.6907214011380428
0,projected,22,0.8,-0.6923328634555623
0,slider,22,0.82,-0.6922253983584238
0,partial,22,0.78,-0.6914704198461628
0,standard,23,0.76,-0.6904903505504809
0,projected,23,0.82,-0.6923135908451612
0,slider,23,0.8,-0.6921991599327161
0,partial,23,0.78,-0.6913411599311374
0,standard,24,0.74,-0.6905875778503622
0,projected,24,0.82,-0.6923058326827181
0,slider,24,0.8,-0.6921934575531017
0,partial,24,0.78,-0.691386992743639
0,standard,25,0.76,-0.6905782838115823
0,projected,25,0.8,-0.6923216085644104
0,slider,25,0.8,-0.6922094954100986
0,partial,25,0.76,-0.6913900630104084
0,standard,26,0.74,-0.6903004118526649
0,projected,26,0.82,-0.6922460867482083
0,slider,26,0.8,-0.6921363369457919
0,partial,26,0.78,-0.6912142867884817
0,standard,27,0.76,-0.6901826478059919
0,projected,27,0.82,-0.6921660993965222
0,slider,27,0.8,-0.6920599053568063
0,partial,27,0.78,-0.6911169042548011
0,standard,28,0.74,-0.6897663996923822
0,projected,28,0.82,-0.6920596980506102
0,slider,28,0.8,-0.6919600309498074
0,partial,28,0.76,-0.6908584632378019
0,standard,29,0.74,-0.6898232128846393
0,projected,29,0.8,-0.6920924696082505
0,slider,29,0.8,-0.6919949936802213
0,partial,29,0.76,-0.6909042164972733
0,standard,30,0.76,-0.6896741231590924
0,projected,30,0.8,-0.6919895399579237
0,slider,30,0.8,-0.6918936407998025
0,partial,30,0.78,-0.6907785034966318
0,standard,31,0.76,-0.6893315277232211
0,projected,31,0.8,-0.6918774151958652
0,slider,31,0.8,-0.6917861135258164
