user_id,condition,n_trials,rating_partial_vs_standard,test_acc_random_projection,test_ll_random_projection,spearman_random_projection,topn_sign_random_projection,topn_overlap_random_projection,combined_random_projection,test_acc_projection_only,test_ll_projection_only,spearman_projection_only,topn_sign_projection_only,topn_overlap_projection_only,combined_projection_only,test_acc_projection_alpha,test_ll_projection_alpha,spearman_projection_alpha,topn_sign_projection_alpha,topn_overlap_projection_alpha,combined_projection_alpha
0,choice_only,20,0.4078565558949822,0.7,-0.6884474561131145,0.49959672366232943,0.3,1.0,0.049798361831164706,0.75,-0.400706112809219,0.3504633733153655,0.3,1.0,-0.024768313342317272,0.75,-0.400706112809219,0.3504633733153655,0.3,1.0,-0.024768313342317272
0,inference_affirm,20,0.23271088928890393,0.7,-0.6838117744432407,0.6934700791133827,0.3,1.0,0.14673503955669132,1.0,-0.25676424049725316,0.32063670324597265,0.3,1.0,-0.039681648377013684,1.0,-0.6586501276445784,0.21624335800309782,0.3,1.0,-0.0918783209984511
0,inference_categories,20,0.5464696768471602,0.55,-0.6870812413879064,0.5443367287664187,0.3,1.0,0.07216836438320934,0.9,-0.39913742319992185,0.49959672366232943,0.3,1.0,0.049798361831164706,0.9,-0.6600871419010066,0.6189034039399006,0.3,1.0,0.1094517019699503
1,choice_only,20,0.6518370861735591,0.7,-0.6893471932404416,0.3719494955438387,0.2,1.0,-0.11402525222808063,0.8,-0.5557045141561807,0.6227991553292185,0.2,1.0,0.01139957766460925,0.8,-0.5557045141561807,0.6227991553292185,0.2,1.0,0.01139957766460925
1,inference_affirm,20,0.641958373522821,0.5,-0.6936297141461303,0.16434977710076598,0.2,1.0,-0.217825111449617,0.7,-0.6884280974305913,0.35464951900691605,0.2,1.0,-0.12267524049654197,0.7,-0.6930603574545369,0.39789946034922286,0.2,1.0,-0.10105026982538856
1,inference_categories,20,0.6853565119055824,0.55,-0.6905183588451109,0.3892494720807615,0.2,1.0,-0.10537526395961924,0.6,-0.6023216564991782,0.6227991553292185,0.2,1.0,0.01139957766460925,0.5,-0.6894044504719307,0.7006490497453708,0.2,1.0,0.050324524872685406
2,choice_only,20,0.4535303231528396,0.55,-0.6907869715799628,0.5741633988358116,0.3,1.0,0.08708169941790578,0.7,-0.46453635957642225,0.49959672366232943,0.3,1.0,0.049798361831164706,0.7,-0.46453635957642225,0.49959672366232943,0.3,1.0,0.049798361831164706
2,inference_affirm,20,0.5502629804544235,0.6,-0.6885908254014514,0.39520337841945463,0.2,1.0,-0.10239831079027267,0.85,-0.31328856342718014,0.3504633733153655,0.3,1.0,-0.024768313342317272,0.85,-0.653878922369153,0.27589669814188345,0.3,1.0,-0.06205165092905829
2,inference_categories,20,0.8446270486419789,0.75,-0.6871248330053285,0.06711000765613381,0.2,1.0,-0.26644499617193307,0.85,-0.3738473498883458,0.022370002552044604,0.3,1.0,-0.18881499872397772,0.9,-0.6533686332430896,0.5443367287664187,0.3,1.0,0.07216836438320934
3,choice_only,20,0.8309622055194004,0.4,-0.6947940462986256,0.08876253645985946,0.3,1.0,-0.1556187317700703,0.7,-0.6116373678196713,0.5257473313391675,0.4,1.0,0.16287366566958378,0.7,-0.6116373678196713,0.5257473313391675,0.4,1.0,0.16287366566958378
3,inference_affirm,20,0.8002128755237469,0.65,-0.6896168898832811,-0.40967324519935133,0.2,1.0,-0.5048366225996757,0.75,-0.521996774648904,0.08193464903987026,0.3,1.0,-0.1590326754800649,0.75,-0.6781411491023792,-0.05462309935991352,0.3,1.0,-0.22731154967995676
3,inference_categories,20,0.9706067709714838,0.6,-0.6930640992651622,-0.2389760596996216,0.1,1.0,-0.5194880298498108,0.75,-0.6018961776284342,0.49843578165921076,0.3,1.0,0.04921789082960537,0.7,-0.6874813280684877,0.5598867684391134,0.4,1.0,0.17994338421955675
4,choice_only,20,0.7472264408667519,0.6,-0.6914072278666292,0.15569978883230462,0.1,1.0,-0.3221501055838477,0.75,-0.5296630072497621,0.3892494720807615,0.2,1.0,-0.10537526395961924,0.75,-0.5296630072497621,0.3892494720807615,0.2,1.0,-0.10537526395961924
