user_id,condition,fit_type,n_trials,test_acc,test_ll,spearman,combined
0,choice_only,standard,1,0.47,-0.6932280700936899,-0.01687059934337406,-0.20843529967168703
0,choice_only,projected,1,0.49,-0.6948373952250323,-0.01687059934337406,-0.20843529967168703
0,choice_only,partial,1,0.49,-0.6948373952250323,-0.01687059934337406,-0.20843529967168703
0,choice_only,blend,1,0.495,-0.694400206072329,-0.01687059934337406,-0.20843529967168703
0,choice_only,standard,2,0.445,-0.6935460199794385,0.09077989170482231,-0.25461005414758886
0,choice_only,projected,2,0.42,-0.6981484919846069,0.07872946360241229,-0.26063526819879385
0,choice_only,partial,2,0.42,-0.6981484919846069,0.07872946360241229,-0.26063526819879385
0,choice_only,blend,2,0.425,-0.696925629323962,0.07872946360241229,-0.26063526819879385
0,choice_only,standard,3,0.465,-0.6934547532144052,0.19200348776506668,-0.10399825611746667
0,choice_only,projected,3,0.46,-0.6961763251141382,0.1695093553072346,-0.11524532234638271
0,choice_only,partial,3,0.46,-0.6961763251141382,0.1695093553072346,-0.11524532234638271
0,choice_only,blend,3,0.455,-0.6953520007103714,0.1695093553072346,-0.11524532234638271
0,choice_only,standard,4,0.54,-0.6929621735990225,0.1132740241626544,-0.24336298791867278
0,choice_only,projected,4,0.525,-0.691984462901381,0.10604376730120837,-0.24697811634939582
0,choice_only,partial,4,0.525,-0.691984462901381,0.10604376730120837,-0.24697811634939582
0,choice_only,blend,4,0.53,-0.6920638768572869,0.10604376730120837,-0.24697811634939582
0,choice_only,standard,5,0.585,-0.692000032172308,0.23538502893374283,0.017692514466871437
0,choice_only,projected,5,0.625,-0.6829326441815318,0.2506489045301289,0.025324452265064468
0,choice_only,partial,5,0.625,-0.6829326441815318,0.2506489045301289,0.025324452265064468
0,choice_only,blend,5,0.62,-0.6849114864612881,0.2506489045301289,0.025324452265064468
0,choice_only,standard,6,0.565,-0.6920618689515642,0.29483380757229904,0.047416903786149545
0,choice_only,projected,6,0.615,-0.6811172841615672,0.281176655722901,-0.059411672138549504
0,choice_only,partial,6,0.615,-0.6811172841615672,0.281176655722901,-0.059411672138549504
0,choice_only,blend,6,0.615,-0.683327085031643,0.281176655722901,-0.059411672138549504
0,choice_only,standard,7,0.56,-0.692508904093216,0.25546907577109296,0.0277345378855465
0,choice_only,projected,7,0.555,-0.68531578324707,0.23458166706024883,0.017290833530124436
0,choice_only,partial,7,0.555,-0.68531578324707,0.23458166706024883,0.017290833530124436
0,choice_only,blend,7,0.555,-0.6866582487264671,0.23458166706024883,0.017290833530124436
0,choice_only,standard,8,0.525,-0.6924800116945389,0.3333951775000112,0.06669758875000562
0,choice_only,projected,8,0.59,-0.6824872206311013,0.3285750062590472,0.1642875031295236
0,choice_only,partial,8,0.59,-0.6824872206311013,0.3285750062590472,0.1642875031295236
0,choice_only,blend,8,0.595,-0.6844951989290985,0.3285750062590472,0.1642875031295236
0,choice_only,standard,9,0.545,-0.6920144136294215,0.32214811127109516,0.0610740556355476
0,choice_only,projected,9,0.62,-0.676749698803293,0.34464224372892727,0.17232112186446363
0,choice_only,partial,9,0.62,-0.676749698803293,0.34464224372892727,0.17232112186446363
0,choice_only,blend,9,0.62,-0.6800385664991111,0.34464224372892727,0.17232112186446363
0,choice_only,standard,10,0.58,-0.6917069849381389,0.29724389319278105,0.04862194659639055
0,choice_only,projected,10,0.62,-0.6743920142789581,0.283586741343383,0.04179337067169153
0,choice_only,partial,10,0.62,-0.6743920142789581,0.283586741343383,0.04179337067169153
0,choice_only,blend,10,0.625,-0.6780665837327087,0.283586741343383,0.04179337067169153
0,choice_only,standard,11,0.585,-0.6917332779188878,0.32134474939760116,0.0606723746988006
0,choice_only,projected,11,0.625,-0.671799906402903,0.31250776878916714,-0.04374611560541644
0,choice_only,partial,11,0.625,-0.671799906402903,0.31250776878916714,-0.04374611560541644
0,choice_only,blend,11,0.63,-0.6761268263450717,0.31250776878916714,-0.04374611560541644
0,choice_only,standard,12,0.58,-0.6915613224415473,0.39204059426507337,0.09602029713253671
0,choice_only,projected,12,0.655,-0.6680341662315006,0.3591027574518193,0.07955137872590967
0,choice_only,partial,12,0.655,-0.6680341662315006,0.3591027574518193,0.07955137872590967
0,choice_only,blend,12,0.645,-0.6730795391741269,0.3591027574518193,0.07955137872590967
0,choice_only,standard,13,0.565,-0.6917714212272799,0.35588930995784324,0.17794465497892162
0,choice_only,projected,13,0.645,-0.6703291782946421,0.34303551998193926,0.07151775999096965
