persona_id,condition,fit_type,n_trials,test_acc,test_ll
0,choice_only,standard,1,0.48,-0.6931634335747002
0,choice_only,projected,1,0.44,-0.6929440600958656
0,choice_only,partial,1,0.44,-0.6929440600958656
0,choice_only,standard,2,0.5,-0.6931601180437775
0,choice_only,projected,2,0.46,-0.6967050334276914
0,choice_only,partial,2,0.46,-0.6967050334276914
0,choice_only,standard,3,0.76,-0.6929705652491803
0,choice_only,projected,3,0.72,-0.6709040734082307
0,choice_only,partial,3,0.72,-0.6709040734082307
0,choice_only,standard,4,0.66,-0.6929634720033877
0,choice_only,projected,4,0.62,-0.6671434727657823
0,choice_only,partial,4,0.62,-0.6671434727657823
0,choice_only,standard,5,0.54,-0.6930659338292787
0,choice_only,projected,5,0.72,-0.6783295151227936
0,choice_only,partial,5,0.72,-0.6783295151227936
0,choice_only,standard,6,0.68,-0.6929632688811764
0,choice_only,projected,6,0.76,-0.6667989981757684
0,choice_only,partial,6,0.76,-0.6667989981757684
0,choice_only,standard,7,0.74,-0.6927928252873079
0,choice_only,projected,7,0.76,-0.6508727702127126
0,choice_only,partial,7,0.76,-0.6508727702127126
0,choice_only,standard,8,0.76,-0.6926116947166914
0,choice_only,projected,8,0.76,-0.6386472940506447
0,choice_only,partial,8,0.76,-0.6386472940506447
0,choice_only,standard,9,0.76,-0.692632081288476
0,choice_only,projected,9,0.76,-0.6376089694999325
0,choice_only,partial,9,0.76,-0.6376089694999325
0,choice_only,standard,10,0.74,-0.6926761151643298
0,choice_only,projected,10,0.76,-0.6393004343853691
0,choice_only,partial,10,0.76,-0.6393004343853691
0,choice_only,standard,11,0.78,-0.6924698179301508
0,choice_only,projected,11,0.76,-0.6263249308533543
0,choice_only,partial,11,0.76,-0.6263249308533543
0,choice_only,standard,12,0.76,-0.6924038918733754
0,choice_only,projected,12,0.76,-0.6221065688050834
0,choice_only,partial,12,0.76,-0.6221065688050834
0,choice_only,standard,13,0.76,-0.6924162539350738
0,choice_only,projected,13,0.76,-0.6210732949109858
0,choice_only,partial,13,0.76,-0.6210732949109858
0,choice_only,standard,14,0.78,-0.6922633402629225
0,choice_only,projected,14,0.76,-0.6150569725279746
0,choice_only,partial,14,0.76,-0.6150569725279746
0,choice_only,standard,15,0.76,-0.6921897889803813
0,choice_only,projected,15,0.76,-0.609806681122232
0,choice_only,partial,15,0.76,-0.609806681122232
0,choice_only,standard,16,0.74,-0.6920162729972028
0,choice_only,projected,16,0.76,-0.6035949379697787
0,choice_only,partial,16,0.76,-0.6035949379697787
0,choice_only,standard,17,0.74,-0.6916997943930623
0,choice_only,projected,17,0.76,-0.5983166942484889
0,choice_only,partial,17,0.76,-0.5983166942484889
0,choice_only,standard,18,0.74,-0.6916217282753127
0,choice_only,projected,18,0.74,-0.5963707197896563
0,choice_only,partial,18,0.74,-0.5963707197896563
0,choice_only,standard,19,0.74,-0.691575072523832
0,choice_only,projected,19,0.7,-0.5959511100429747
0,choice_only,partial,19,0.7,-0.5959511100429747
0,choice_only,standard,20,0.74,-0.6914481493900663
0,choice_only,projected,20,0.7,-0.5921642267262245
0,choice_only,partial,20,0.7,-0.5921642267262245
0,inference_affirm,standard,1,0.48,-0.6931634335747002
0,inference_affirm,projected,1,0.44,-0.6929440600958656
0,inference_affirm,partial,1,0.44,-0.6928958502533257
