persona_id,condition,other_label,n_trials,ll_standard,ll_other,acc_standard,acc_other,rating_other_vs_standard
1,choice_only,projected,20,-0.6934353684565238,-0.6976970097360811,0.5,0.52,0.47870468393232163
1,inference_affirm,feedback_adjusted,20,-0.6934353684565238,-0.6935117758621157,0.5,0.48,0.4996179630463861
1,inference_categories,feedback_adjusted,20,-0.6934353684565238,-0.7035480125241296,0.5,0.46,0.4496084400499481
2,choice_only,projected,20,-0.6929675214244883,-0.689366639304938,0.48,0.5,0.5179966329141181
2,inference_affirm,feedback_adjusted,20,-0.6929675214244883,-0.693277423414185,0.48,0.56,0.49845049501195615
2,inference_categories,feedback_adjusted,20,-0.6929675214244883,-0.6884190424393395,0.48,0.62,0.5227267242371477
3,choice_only,projected,20,-0.6930709061291277,-0.6913340812788331,0.5,0.54,0.5086832511505992
3,inference_affirm,feedback_adjusted,20,-0.6930709061291277,-0.6859402740004331,0.5,0.58,0.5355928560382267
3,inference_categories,feedback_adjusted,20,-0.6930709061291277,-0.6955531165065392,0.5,0.5,0.4875914964536399
0,choice_only,projected,20,-0.692535470219876,-0.6854413768421326,0.5,0.58,0.5354110833469421
0,inference_affirm,feedback_adjusted,20,-0.692535470219876,-0.6909309671682007,0.5,0.5,0.5080218268824538
0,inference_categories,feedback_adjusted,20,-0.692535470219876,-0.709146329402331,0.5,0.42,0.4177012462189928
6,choice_only,projected,20,-0.6936801601913232,-0.6938827065350921,0.46,0.52,0.4989872696660645
6,inference_affirm,feedback_adjusted,20,-0.6936801601913232,-0.6897207012860054,0.46,0.48,0.5197869553961681
6,inference_categories,feedback_adjusted,20,-0.6936801601913232,-0.6873654715404135,0.46,0.54,0.5315315434075878
4,choice_only,projected,20,-0.6923994672529116,-0.6931682730248102,0.58,0.54,0.49615604687406945
4,inference_affirm,feedback_adjusted,20,-0.6923994672529116,-0.6957577506653301,0.58,0.52,0.4832148925826547
4,inference_categories,feedback_adjusted,20,-0.6923994672529116,-0.6900331673429346,0.58,0.52,0.5118292917441796
5,choice_only,projected,20,-0.6909339019079561,-0.6951324792358244,0.5,0.48,0.4790194401251394
5,inference_affirm,feedback_adjusted,20,-0.6909339019079561,-0.6867788747187389,0.5,0.56,0.520763188624469
5,inference_categories,feedback_adjusted,20,-0.6909339019079561,-0.7173977838792868,0.5,0.46,0.37068538292053443
7,choice_only,projected,20,-0.6913901470161532,-0.6806015646247559,0.54,0.58,0.5537345949444187
7,inference_affirm,feedback_adjusted,20,-0.6913901470161532,-0.7129677869818808,0.54,0.42,0.3937555984531804
7,inference_categories,feedback_adjusted,20,-0.6913901470161532,-0.7128082423989051,0.54,0.42,0.3945175606583254
8,choice_only,projected,20,-0.6915042445087338,-0.6800531831872516,0.52,0.56,0.5570063554445203
8,inference_affirm,feedback_adjusted,20,-0.6915042445087338,-0.6844425573658893,0.52,0.48,0.5352498611905241
8,inference_categories,feedback_adjusted,20,-0.6915042445087338,-0.6861684559270708,0.52,0.5,0.5266536528231387
10,choice_only,projected,20,-0.6943528398392661,-0.6967790868105843,0.56,0.52,0.4878711450040071
10,inference_affirm,feedback_adjusted,20,-0.6943528398392661,-0.6878296788379048,0.56,0.52,0.5325696217571533
10,inference_categories,feedback_adjusted,20,-0.6943528398392661,-0.7057872867122829,0.56,0.44,0.4430756385026048
9,choice_only,projected,20,-0.689296224928546,-0.6796852833101275,0.58,0.54,0.54790729197773
9,inference_affirm,feedback_adjusted,20,-0.689296224928546,-0.6922695838819614,0.58,0.52,0.4851375848608992
9,inference_categories,feedback_adjusted,20,-0.689296224928546,-0.6895936248789906,0.58,0.5,0.49851300463177073
11,choice_only,projected,20,-0.6911845300263105,-0.6985328860424194,0.52,0.52,0.4633242105541129
11,inference_affirm,feedback_adjusted,20,-0.6911845300263105,-0.6885149851528598,0.52,0.52,0.5133445545323392
11,inference_categories,feedback_adjusted,20,-0.6911845300263105,-0.7027039484569052,0.52,0.56,0.4426563281870035
12,choice_only,projected,20,-0.6898331083077106,-0.6796415149614142,0.58,0.62,0.5507822656420615
12,inference_affirm,feedback_adjusted,20,-0.6898331083077106,-0.684442711190614,0.58,0.62,0.5269259116508301
12,inference_categories,feedback_adjusted,20,-0.6898331083077106,-0.6892176543175453,0.58,0.6,0.503077231097434
13,choice_only,projected,20,-0.6910823036556986,-0.6934118151155421,0.58,0.54,0.488354549140543
13,inference_affirm,feedback_adjusted,20,-0.6910823036556986,-0.6864732758760776,0.58,0.52,0.5230288343841759
13,inference_categories,feedback_adjusted,20,-0.6910823036556986,-0.6841272698874866,0.58,0.58,0.5347192050671586
14,choice_only,projected,20,-0.6927623527544243,-0.7019715632741405,0.54,0.38,0.4540836788334607
14,inference_affirm,feedback_adjusted,20,-0.6927623527544243,-0.6870010396313649,0.54,0.54,0.5287747355915409
14,inference_categories,feedback_adjusted,20,-0.6927623527544243,-0.7033209266843504,0.54,0.46,0.4474024438609965
15,choice_only,projected,20,-0.6912197173785353,-0.6872349658152137,0.64,0.6,0.5199132193662291
15,inference_affirm,feedback_adjusted,20,-0.6912197173785353,-0.6816277288748094,0.64,0.54,0.5478133946893703
15,inference_categories,feedback_adjusted,20,-0.6912197173785353,-0.6813771434657706,0.64,0.62,0.5490545643493072
17,choice_only,projected,20,-0.6934030835704752,-0.6937053761063237,0.52,0.48,0.49848854192469527
17,inference_affirm,feedback_adjusted,20,-0.6934030835704752,-0.7082205401156699,0.52,0.56,0.42645021011741546
17,inference_categories,feedback_adjusted,20,-0.6934030835704752,-0.6732867336821191,0.52,0.56,0.5992466177167355
16,choice_only,projected,20,-0.6869648650696479,-0.6647286482778061,0.62,0.56,0.6093841678595739
16,inference_affirm,feedback_adjusted,20,-0.6869648650696479,-0.662082201029008,0.62,0.7,0.6219076852037937
16,inference_categories,feedback_adjusted,20,-0.6869648650696479,-0.6703445375364087,0.62,0.62,0.582344812218116
18,choice_only,projected,20,-0.6908552558669041,-0.6993782751067766,0.52,0.46,0.4574877928396941
18,inference_affirm,feedback_adjusted,20,-0.6908552558669041,-0.7167819244818575,0.52,0.42,0.3731952441979899
18,inference_categories,feedback_adjusted,20,-0.6908552558669041,-0.7054454907061062,0.52,0.44,0.4275621049342455
19,choice_only,projected,20,-0.6888257288017576,-0.6895847771955009,0.66,0.54,0.49620483091779055
19,inference_affirm,feedback_adjusted,20,-0.6888257288017576,-0.6879239496825792,0.66,0.6,0.5045087733778991
19,inference_categories,feedback_adjusted,20,-0.6888257288017576,-0.710182930227758,0.66,0.38,0.39480851699677366
