user_id,condition,n_trials,rating_partial_vs_standard,test_acc_random_projection,test_ll_random_projection,spearman_random_projection,topn_sign_random_projection,topn_overlap_random_projection,combined_random_projection,test_acc_projection_only,test_ll_projection_only,spearman_projection_only,topn_sign_projection_only,topn_overlap_projection_only,combined_projection_only,test_acc_projection_alpha,test_ll_projection_alpha,spearman_projection_alpha,topn_sign_projection_alpha,topn_overlap_projection_alpha,combined_projection_alpha
0,choice_only,20,0.4078565558949822,0.7,-0.6884474561131145,0.49959672366232943,0.3,1.0,0.049798361831164706,0.75,-0.400706112809219,0.3504633733153655,0.3,1.0,-0.024768313342317272,0.75,-0.400706112809219,0.3504633733153655,0.3,1.0,-0.024768313342317272
0,inference_affirm,20,0.3637209982344593,0.6,-0.6895520698630087,0.7978634243562575,0.3,1.0,0.19893171217812872,0.9,-0.340259345816572,0.42503004848884746,0.3,1.0,0.012515024244423717,0.9,-0.5989012059879552,0.5741633988358116,0.3,1.0,0.08708169941790578
0,inference_categories,20,0.5648780088528116,0.6,-0.6927224889583289,0.5145100586970258,0.3,1.0,0.0572550293485129,0.7,-0.5192268114448166,0.5741633988358116,0.3,1.0,0.08708169941790578,0.7,-0.6334886797732693,0.6189034039399006,0.3,1.0,0.1094517019699503
1,choice_only,20,0.8383664344746128,0.6,-0.6901188799879915,-0.2335496832484569,0.1,1.0,-0.5167748416242285,0.65,-0.5756010911401763,0.2248996949799955,0.2,1.0,-0.18755015251000223,0.65,-0.5756010911401763,0.2248996949799955,0.2,1.0,-0.18755015251000223
1,inference_affirm,20,0.5,0.65,-0.6914623049479733,0.41519943688614563,0.2,1.0,-0.09240028155692717,0.6,-0.6716523699347376,0.5881992022553729,0.2,1.0,-0.005900398872313528,0.65,-0.6628620882780789,0.41519943688614563,0.2,1.0,-0.09240028155692717
1,inference_categories,20,0.580389994438072,0.75,-0.6900198269539803,0.32004956593307055,0.2,1.0,-0.13997521703346472,0.8,-0.5458159337472367,0.31139957766460924,0.2,1.0,-0.14430021116769537,0.8,-0.6543351331829047,0.449799389959991,0.2,1.0,-0.07510030502000448
2,choice_only,20,0.8072257322457183,0.7,-0.6876891871613136,0.24607002807249062,0.2,1.0,-0.17696498596375468,0.6,-0.5533113976719722,0.6189034039399006,0.3,1.0,0.1094517019699503,0.6,-0.5533113976719722,0.6189034039399006,0.3,1.0,0.1094517019699503
2,inference_affirm,20,0.3637209982344592,0.6,-0.6914668108918868,0.4399433835235439,0.3,1.0,0.019971691761771937,0.7,-0.587736073039006,-0.1267633477949194,0.3,1.0,-0.2633816738974597,0.75,-0.647974258245105,0.21624335800309782,0.3,1.0,-0.0918783209984511
2,inference_categories,20,0.6734212669629435,0.7,-0.6885224842596271,0.32063670324597265,0.2,1.0,-0.13968164837701366,0.7,-0.4666971916723588,0.3504633733153655,0.3,1.0,-0.024768313342317272,0.75,-0.6241506060723724,0.41011671345415107,0.3,1.0,0.005058356727075525
3,choice_only,20,0.9330001398551149,0.5,-0.6941609884999702,-0.40284535777936215,0.2,1.0,-0.5014226788896811,0.6,-0.7023960935951454,0.4506405697192864,0.3,1.0,0.02532028485964319,0.6,-0.7023960935951454,0.4506405697192864,0.3,1.0,0.02532028485964319
3,inference_affirm,20,0.6372159168724842,0.65,-0.6924974198526758,0.10241831129983783,0.3,1.0,-0.1487908443500811,0.65,-0.6673107183417141,0.40284535777936215,0.2,1.0,-0.09857732111031892,0.45,-0.69181531850317,0.32773859615948103,0.3,1.0,-0.036130701920259495
