user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial,test_acc_blend,test_ll_blend,spearman_blend,topn_sign_blend,topn_overlap_blend,combined_blend
0,choice_only,20,0.46790969587664044,0.58,-0.6905539869752336,0.3084909594216971,0.2,0.3,-0.14575452028915145,0.58,-0.6862345334872202,0.2570757995180809,0.2,0.3,-0.17146210024095954,0.58,-0.6862345334872202,0.2570757995180809,0.2,0.3,-0.17146210024095954,0.58,-0.6862345334872202,0.2570757995180809,0.2,0.3,-0.17146210024095954
0,inference_affirm,20,0.8018129591945581,0.525,-0.6918497001618955,0.25948588513856297,0.4,0.6,0.029742942569281505,0.59,-0.6693370346551268,0.3390187106144692,0.5,0.7,0.1695093553072346,0.625,-0.6471197675753335,0.41855153609037554,0.6,0.8,0.30927576804518775,0.625,-0.6471197675753335,0.41855153609037554,0.6,0.8,0.30927576804518775
0,inference_categories,20,0.7012964794990814,0.57,-0.6908665702962402,0.23136821956627282,0.3,0.5,-0.0843158902168636,0.59,-0.676303283257496,0.18316650715663269,0.2,0.3,-0.20841674642168365,0.58,-0.6966056907654234,0.37275990930121733,0.4,0.5,0.08637995465060869,0.58,-0.6966056907654234,0.37275990930121733,0.4,0.5,0.08637995465060869
1,choice_only,20,0.34304057134139254,0.54,-0.6915797554731645,-0.012612508647623564,0.3,0.5,-0.2063062543238118,0.605,-0.6738523292318859,-0.07252192472383549,0.2,0.4,-0.3362609623619177,0.605,-0.6738523292318859,-0.07252192472383549,0.2,0.4,-0.3362609623619177,0.605,-0.6738523292318859,-0.07252192472383549,0.2,0.4,-0.3362609623619177
1,inference_affirm,20,0.9537052132155995,0.52,-0.6930715345942923,-0.09932350560003557,0.2,0.5,-0.34966175280001777,0.545,-0.6846915154656295,-0.07252192472383549,0.3,0.6,-0.23626096236191776,0.565,-0.665390884935478,0.5108066002287542,0.5,0.6,0.2554033001143771,0.565,-0.665390884935478,0.5108066002287542,0.5,0.6,0.2554033001143771
1,inference_categories,20,0.9845023876172693,0.46,-0.6935144303360307,-0.0015765635809529455,0.2,0.4,-0.30078828179047645,0.495,-0.7085503509857111,0.06306254323811782,0.2,0.4,-0.2684687283809411,0.53,-0.6863101064992705,0.6590035768383312,0.7,0.7,0.5295017884191655,0.53,-0.6863101064992705,0.6590035768383312,0.7,0.7,0.5295017884191655
2,choice_only,20,0.6902717100267914,0.6,-0.6905445014946724,0.13834289277321493,0.2,0.6,-0.23082855361339252,0.65,-0.6396815876992606,0.25889884218987363,0.3,0.6,-0.0705505789050632,0.65,-0.6396815876992606,0.25889884218987363,0.3,0.6,-0.0705505789050632,0.65,-0.6396815876992606,0.25889884218987363,0.3,0.6,-0.0705505789050632
2,inference_affirm,20,0.759007730359454,0.57,-0.6910233205499177,0.12055594941665872,0.3,0.4,-0.13972202529167066,0.585,-0.6704732064424813,0.16403514428824056,0.2,0.4,-0.2179824278558797,0.625,-0.6604185849213434,0.3794547916065324,0.4,0.6,0.08972739580326622,0.625,-0.6604185849213434,0.3794547916065324,0.4,0.6,0.08972739580326622
2,inference_categories,20,0.6532604716810947,0.485,-0.6948615082583319,0.15020085501091907,0.1,0.5,-0.3248995724945405,0.485,-0.8185597023632615,0.1660114713278579,0.2,0.5,-0.21699426433607105,0.44,-0.7888810707951487,0.20356168508058767,0.2,0.6,-0.19821915745970614,0.44,-0.7888810707951487,0.20356168508058767,0.2,0.6,-0.19821915745970614
3,choice_only,20,0.3114721130466298,0.53,-0.6905298378001486,0.2773213939263839,0.5,0.4,0.13866069696319194,0.625,-0.6370183750330052,0.1600229892124232,0.4,0.3,-0.01998850539378838,0.625,-0.6370183750330052,0.1600229892124232,0.4,0.3,-0.01998850539378838,0.625,-0.6370183750330052,0.1600229892124232,0.4,0.3,-0.01998850539378838
3,inference_affirm,20,0.6647406434906985,0.56,-0.6907408965438031,0.0714665777065191,0.4,0.3,-0.06426671114674043,0.66,-0.6401266217750825,0.006214485017958182,0.4,0.6,-0.09689275749102089,0.51,-0.7461501439964511,0.1452635872947725,0.5,0.4,0.07263179364738626,0.51,-0.7461501439964511,0.1452635872947725,0.5,0.4,0.07263179364738626
3,inference_categories,20,0.6767485467870779,0.555,-0.6908404125977502,0.13361142788610092,0.3,0.5,-0.13319428605694955,0.625,-0.6476050302660596,0.04117096324397296,0.3,0.5,-0.17941451837801353,0.5,-0.7472750453853803,0.22915913503720797,0.4,0.6,0.014579567518604009,0.5,-0.7472750453853803,0.22915913503720797,0.4,0.6,0.014579567518604009
4,choice_only,20,0.7279408174615618,0.505,-0.693521994320511,0.01581061631693885,0.2,0.4,-0.2920946918415306,0.52,-0.7024152471003002,0.2094906661994397,0.3,0.4,-0.09525466690028016,0.52,-0.7024152471003002,0.2094906661994397,0.3,0.4,-0.09525466690028016,0.52,-0.7024152471003002,0.2094906661994397,0.3,0.4,-0.09525466690028016
4,inference_affirm,20,0.3775406687981454,0.55,-0.6918963085319298,0.4407209298346704,0.4,0.5,0.12036046491733524,0.555,-0.7006787608035409,0.4585078731912266,0.4,0.6,0.12925393659561332,0.535,-0.705820104852273,0.4407209298346704,0.3,0.4,0.020360464917335203,0.535,-0.705820104852273,0.4407209298346704,0.3,0.4,0.020360464917335203
4,inference_categories,20,0.7259794270122275,0.51,-0.6926924734711357,0.4486262379931398,0.4,0.7,0.12431311899656991,0.575,-0.668295812779096,0.5533715710928597,0.5,0.8,0.27668578554642986,0.56,-0.6945563821836322,0.638353633796406,0.5,0.7,0.319176816898203,0.56,-0.6945563821836322,0.638353633796406,0.5,0.7,0.319176816898203
5,choice_only,20,0.6485422258044362,0.59,-0.6912536363872909,0.10953029844151298,0.4,0.5,-0.04523485077924349,0.56,-0.6861552984072532,0.15458531482170978,0.5,0.5,0.07729265741085489,0.56,-0.6861552984072532,0.15458531482170978,0.5,0.5,0.07729265741085489,0.56,-0.6861552984072532,0.15458531482170978,0.5,0.5,0.07729265741085489
5,inference_affirm,20,0.6634409966213579,0.63,-0.6900179735266673,0.22449827127373934,0.5,0.5,0.11224913563686967,0.565,-0.6908163765050398,0.27887501518087343,0.6,0.5,0.2394375075904367,0.57,-0.6994179541419223,0.29596484898025843,0.6,0.6,0.2479824244901292,0.57,-0.6994179541419223,0.29596484898025843,0.6,0.6,0.2479824244901292
5,inference_categories,20,0.5551227919142799,0.56,-0.6914752435905339,0.2819822576898525,0.6,0.6,0.24099112884492624,0.605,-0.6734591085453208,0.30606338713444053,0.6,0.6,0.2530316935672202,0.6,-0.6701817643649868,0.3705386691957566,0.6,0.6,0.2852693345978783,0.6,-0.6701817643649868,0.3705386691957566,0.6,0.6,0.2852693345978783
6,choice_only,20,0.6808358447687556,0.58,-0.6910545575976091,0.3685596349395199,0.6,0.4,0.28427981746975994,0.605,-0.6661212219748822,0.47160590021852855,0.7,0.5,0.43580295010926423,0.605,-0.6661212219748822,0.47160590021852855,0.7,0.5,0.43580295010926423,0.605,-0.6661212219748822,0.47160590021852855,0.7,0.5,0.43580295010926423
6,inference_affirm,20,0.7351425258631682,0.65,-0.6886726360145523,0.2384355189302608,0.6,0.5,0.2192177594651304,0.595,-0.6545214605783048,0.35802935965553356,0.6,0.5,0.27901467982776673,0.62,-0.6456427119447082,0.4467845370491323,0.7,0.5,0.42339226852456613,0.62,-0.6456427119447082,0.4467845370491323,0.7,0.5,0.42339226852456613
6,inference_categories,20,0.7786153844207426,0.615,-0.6893158721966515,0.3377209716078458,0.6,0.5,0.26886048580392286,0.645,-0.6305565906337511,0.4016547858320483,0.7,0.6,0.4008273929160241,0.61,-0.6606487970417824,0.44076723688685443,0.8,0.6,0.5203836184434273,0.61,-0.6606487970417824,0.44076723688685443,0.8,0.6,0.5203836184434273
7,choice_only,20,0.428312945604068,0.6,-0.6910654677614397,0.37335823496983067,0.5,0.6,0.18667911748491534,0.61,-0.6725907639512356,0.45786318527164416,0.4,0.5,0.1289315926358221,0.61,-0.6725907639512356,0.45786318527164416,0.4,0.5,0.1289315926358221,0.61,-0.6725907639512356,0.45786318527164416,0.4,0.5,0.1289315926358221
7,inference_affirm,20,0.7558289321858828,0.59,-0.6914076699415836,0.3257281720724448,0.6,0.6,0.26286408603622236,0.605,-0.685746671015815,0.41484248329981177,0.7,0.7,0.40742124164990584,0.645,-0.6542628337924135,0.5777065693360341,0.7,0.6,0.48885328466801703,0.645,-0.6542628337924135,0.5777065693360341,0.7,0.6,0.48885328466801703
