user_id,condition,fit_type,n_trials,test_acc,test_ll,spearman,combined
0,choice_only,standard,1,0.545,-0.6927417768393542,0.07827676652354659,0.039138383261773296
0,choice_only,projected,1,0.605,-0.6900831607942258,0.07827676652354659,0.039138383261773296
0,choice_only,standard,2,0.48,-0.6932090931743311,0.06889986220041339,-0.06555006889979328
0,choice_only,projected,2,0.525,-0.6929910979861776,0.06889986220041339,-0.06555006889979328
0,choice_only,standard,3,0.44,-0.6936333100090684,0.09988441561598391,-0.15005779219200804
0,choice_only,projected,3,0.49,-0.6930685928230678,0.09988441561598391,-0.15005779219200804
0,choice_only,standard,4,0.51,-0.6929179411464605,0.08806136233898991,-0.25596931883050505
0,choice_only,projected,4,0.525,-0.6919247539911453,0.08806136233898991,-0.25596931883050505
0,choice_only,standard,5,0.545,-0.6926815288377993,0.09825364964674337,-0.35087317517662836
0,choice_only,projected,5,0.565,-0.6912326234519993,0.08643059636974934,-0.35678470181512534
0,choice_only,standard,6,0.6,-0.6923713692189619,0.12760743709307334,-0.13619628145346335
0,choice_only,projected,6,0.535,-0.6907432735295481,0.12760743709307334,-0.13619628145346335
0,choice_only,standard,7,0.57,-0.691977385837858,0.14880739469320053,0.07440369734660027
0,choice_only,projected,7,0.615,-0.6874338406568089,0.16511505438560609,-0.017442472807196935
0,choice_only,standard,8,0.575,-0.6914050668644723,0.22382262927826604,0.011911314639133044
0,choice_only,projected,8,0.625,-0.6824168923814846,0.19976883123196781,-0.00011558438401607085
0,choice_only,standard,9,0.54,-0.6912496737353664,0.16756120333946692,-0.11621939833026655
0,choice_only,projected,9,0.565,-0.6828368694524742,0.16756120333946692,-0.11621939833026655
0,choice_only,standard,10,0.585,-0.6908641396400688,0.12964589455462402,-0.13517705272268798
0,choice_only,projected,10,0.575,-0.682866005410745,0.11496900083145904,-0.14251549958427048
0,choice_only,standard,11,0.595,-0.6911272380146408,0.18101502258570148,-0.009492488707149235
0,choice_only,projected,11,0.59,-0.684414599339391,0.182645788554942,-0.008677105722528972
0,choice_only,standard,12,0.625,-0.6902972928059242,0.26866869343238126,-0.06566565328380938
0,choice_only,projected,12,0.65,-0.6785766294537469,0.29190710849405915,-0.054046445752970435
0,choice_only,standard,13,0.565,-0.6906063222925464,0.30046862983257205,0.05023431491628605
0,choice_only,projected,13,0.63,-0.6797063951138709,0.29435325744791996,0.04717662872396
0,choice_only,standard,14,0.61,-0.6904750295476526,0.30373016177105316,0.051865080885526604
0,choice_only,projected,14,0.625,-0.6780048954837004,0.2951686404325402,0.047584320216270126
0,choice_only,standard,15,0.595,-0.6901347449032268,0.2751917573093434,0.03759587865467173
0,choice_only,projected,15,0.635,-0.677984034023565,0.2959840234171605,0.04799201170858028
0,choice_only,standard,16,0.59,-0.6896073183368739,0.30291477878643286,0.05145738939321645
0,choice_only,projected,16,0.665,-0.6758058787730227,0.3404223960789656,0.07021119803948281
0,choice_only,standard,17,0.61,-0.6891768128655141,0.3208532044480789,0.16042660222403946
0,choice_only,projected,17,0.67,-0.6741385269442975,0.3400147045866555,0.17000735229332775
0,choice_only,standard,18,0.615,-0.6894373341567528,0.2959840234171605,0.14799201170858026
0,choice_only,projected,18,0.68,-0.6745557885582788,0.31310706609418637,0.15655353304709319
0,choice_only,standard,19,0.615,-0.6893330078222587,0.35061468338671903,0.17530734169335951
0,choice_only,projected,19,0.68,-0.6734564412078938,0.3550992898021306,0.27754964490106526
0,choice_only,standard,20,0.615,-0.6895171144086799,0.27967636372475496,0.13983818186237748
0,choice_only,projected,20,0.64,-0.6728889622898648,0.2866071190940273,0.14330355954701365
0,inference_affirm,standard,1,0.545,-0.6927417768393542,0.07827676652354659,0.039138383261773296
0,inference_affirm,feedback_adjusted,1,0.685,-0.6895852076106288,0.19773037377041713,0.09886518688520857
