user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial
0,choice_only,20,0.5723631753473458,0.615,-0.6895171144086799,0.27967636372475496,0.5,0.5,0.13983818186237748,0.675,-0.5921203281908883,0.3962761305254546,0.5,0.4,0.1981380652627273,0.675,-0.5921203281908883,0.3962761305254546,0.5,0.4,0.1981380652627273
0,inference_affirm,20,0.9457928022259515,0.555,-0.6896433336122805,0.25603025717076694,0.3,0.4,-0.07198487141461654,0.68,-0.6101289288470143,0.34613007697130754,0.5,0.5,0.17306503848565377,0.7,-0.557868794304224,0.5997141851882136,0.7,0.5,0.49985709259410677
0,inference_categories,20,0.9336496706211562,0.545,-0.6910253371978379,0.12842282007769362,0.2,0.4,-0.23578858996115318,0.6,-0.6836631425201811,0.2523610337399757,0.3,0.3,-0.07381948313001216,0.65,-0.6128245995707522,0.3860838432177011,0.6,0.5,0.29304192160885056
1,choice_only,20,0.48201542377357576,0.775,-0.6828191810694357,0.5534675414335423,0.4,0.5,0.17673377071677115,0.785,-0.45393296456938215,0.5246798001844821,0.4,0.5,0.16233990009224109,0.785,-0.45393296456938215,0.5246798001844821,0.4,0.5,0.16233990009224109
1,inference_affirm,20,0.6752789159984742,0.775,-0.6820490202540702,0.5608966359494287,0.4,0.5,0.1804483179747144,0.82,-0.41908618580982854,0.5748261881667158,0.4,0.5,0.18741309408335793,0.75,-0.5128268594536982,0.6537603173980097,0.5,0.5,0.32688015869900483
1,inference_categories,20,0.4215059838027789,0.71,-0.6843776918683585,0.5729689145377442,0.5,0.5,0.2864844572688721,0.745,-0.5077407794072036,0.5803980090536307,0.5,0.5,0.29019900452681535,0.725,-0.5595916652476468,0.6463312228821232,0.4,0.5,0.22316561144106162
2,choice_only,20,0.4993584261225028,0.77,-0.6823338051677453,0.48246382066512544,0.3,0.5,0.04123191033256271,0.795,-0.46244953704316916,0.4814373018977528,0.3,0.6,0.04071865094887639,0.795,-0.46244953704316916,0.4814373018977528,0.3,0.6,0.04071865094887639
2,inference_affirm,20,0.4967921728650985,0.705,-0.6837176324093014,0.3079556302117822,0.3,0.3,-0.04602218489410892,0.75,-0.5191374096710472,0.4085544694142977,0.4,0.4,0.10427723470714886,0.6,-0.7038434340452718,0.30282303637491914,0.3,0.4,-0.04858848181254044
2,inference_categories,20,0.23319922851617372,0.695,-0.685980530572403,0.5296836839642654,0.4,0.6,0.1648418419821327,0.775,-0.5159876657105879,0.4711721142240267,0.3,0.4,0.03558605711201335,0.585,-0.6604921019271467,0.253550135541034,0.3,0.3,-0.07322493222948301
3,choice_only,20,0.617343902479454,0.695,-0.6856294583121263,0.4342084214324217,0.3,0.3,0.01710421071621085,0.725,-0.524454102716486,0.4255242530037733,0.4,0.4,0.11276212650188666,0.725,-0.524454102716486,0.4255242530037733,0.4,0.4,0.11276212650188666
3,inference_affirm,20,0.6842886112741206,0.75,-0.6833175102623624,0.3421562360887483,0.3,0.4,-0.028921881955625867,0.775,-0.4445981627666286,0.41510325088939515,0.5,0.5,0.20755162544469757,0.765,-0.47980283749690217,0.4515767582897186,0.4,0.4,0.12578837914485932
3,inference_categories,20,0.5959496144731994,0.645,-0.6882510651063157,0.4298663372180975,0.5,0.6,0.21493316860904876,0.72,-0.5405029894961583,0.4724187625184748,0.4,0.4,0.13620938125923743,0.73,-0.5175540690566965,0.5853129520909045,0.5,0.6,0.29265647604545225
4,choice_only,20,0.5847407999321198,0.59,-0.6903202015408877,0.4264117351854788,0.4,0.4,0.11320586759273943,0.62,-0.6141835441460544,0.363318042491699,0.5,0.4,0.1816590212458495,0.62,-0.6141835441460544,0.363318042491699,0.5,0.4,0.1816590212458495
4,inference_affirm,20,0.6438468043993602,0.595,-0.6895545984438546,0.3074229590314376,0.3,0.5,-0.0462885204842812,0.645,-0.6350001840567774,0.3298656819359364,0.4,0.5,0.06493284096796823,0.645,-0.6271418587736537,0.3442629004029735,0.4,0.5,0.07213145020148679
4,inference_categories,20,0.7098930936704019,0.58,-0.6908483521712463,0.3125043302550977,0.4,0.4,0.05625216512754888,0.63,-0.622701606618186,0.3141981206629844,0.6,0.6,0.2570990603314922,0.635,-0.6258321681982103,0.47045028579053333,0.5,0.5,0.23522514289526666
