user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial,test_acc_blend,test_ll_blend,spearman_blend,topn_sign_blend,topn_overlap_blend,combined_blend
0,choice_only,20,0.6293799310242617,0.595,-0.6902030174418331,0.44886833303346246,0.7,0.6,0.42443416651673116,0.66,-0.6696618899772574,0.4606913863104564,0.8,0.6,0.5303456931552283,0.66,-0.6696618899772574,0.4606913863104564,0.8,0.6,0.5303456931552283,0.66,-0.6696618899772574,0.4606913863104564,0.8,0.6,0.5303456931552283
0,inference_affirm,20,0.8300605595063985,0.57,-0.6899192521728374,0.18835346944728398,0.2,0.4,-0.205823265276358,0.585,-0.6665921749733171,0.17571503318566964,0.3,0.5,-0.11214248340716519,0.635,-0.6474219129320593,0.4227760775256135,0.4,0.5,0.11138803876280678,0.635,-0.6474219129320593,0.4227760775256135,0.4,0.5,0.11138803876280678
0,inference_categories,20,0.6143862378587566,0.58,-0.6909694689444436,0.3184070554942181,0.4,0.6,0.059203527747109075,0.645,-0.6617052465642392,0.33512240667893384,0.4,0.6,0.06756120333946694,0.63,-0.6665095815789377,0.5047220674799514,0.4,0.4,0.15236103373997573,0.63,-0.6665095815789377,0.5047220674799514,0.4,0.4,0.15236103373997573
1,choice_only,20,0.5069643256794703,0.735,-0.6832765045589401,0.6639753223573535,0.5,0.5,0.33198766117867673,0.865,-0.6005178494903682,0.6751189641311833,0.5,0.5,0.33755948206559167,0.865,-0.6005178494903682,0.6751189641311833,0.5,0.5,0.33755948206559167,0.865,-0.6005178494903682,0.6751189641311833,0.5,0.5,0.33755948206559167
1,inference_affirm,20,0.45982490464517245,0.795,-0.6779140987710093,0.462461133613933,0.6,0.6,0.3312305668069665,0.84,-0.5663232571680983,0.5023925166368227,0.6,0.6,0.35119625831841134,0.8,-0.5747816913476939,0.5980421085288611,0.5,0.5,0.29902105426443054,0.8,-0.5747816913476939,0.5980421085288611,0.5,0.5,0.29902105426443054
1,inference_categories,20,0.5214615315802378,0.695,-0.6834422864309516,0.49682069574990784,0.4,0.5,0.14841034787495394,0.75,-0.604462893292573,0.5051784270802802,0.4,0.5,0.1525892135401401,0.735,-0.6098571318485293,0.5311802578858829,0.4,0.4,0.16559012894294145,0.735,-0.6098571318485293,0.5311802578858829,0.4,0.4,0.16559012894294145
2,choice_only,20,0.5,0.715,-0.6839847732581353,0.28537221732958484,0.3,0.4,-0.05731389133520759,0.755,-0.6037954127438069,0.28537221732958484,0.3,0.4,-0.05731389133520759,0.755,-0.6037954127438069,0.28537221732958484,0.3,0.4,-0.05731389133520759,0.755,-0.6037954127438069,0.28537221732958484,0.3,0.4,-0.05731389133520759
2,inference_affirm,20,0.6591566681315224,0.68,-0.6856568800255858,0.2935843674685657,0.3,0.6,-0.05320781626571716,0.79,-0.6226210539708876,0.31411474281601787,0.3,0.5,-0.04294262859199108,0.73,-0.6151050941163662,0.5573996906833257,0.3,0.3,0.07869984534166286,0.73,-0.6151050941163662,0.5573996906833257,0.3,0.3,0.07869984534166286
2,inference_categories,20,0.5932086150945892,0.735,-0.6837057826281858,0.23404627896095448,0.3,0.5,-0.08297686051952277,0.735,-0.608333584096155,0.22378109128722837,0.3,0.5,-0.08810945435638583,0.74,-0.6341476474192143,0.38494453776472776,0.3,0.4,-0.007527731117636133,0.74,-0.6341476474192143,0.38494453776472776,0.3,0.4,-0.007527731117636133
3,choice_only,20,0.6326078333679004,0.735,-0.6851384699729786,0.4402873393324757,0.4,0.5,0.12014366966623788,0.805,-0.6186563207060723,0.45765567618977254,0.5,0.6,0.22882783809488627,0.805,-0.6186563207060723,0.45765567618977254,0.5,0.6,0.22882783809488627,0.805,-0.6186563207060723,0.45765567618977254,0.5,0.6,0.22882783809488627
