persona_id,condition,fit_type,n_trials,test_acc,test_ll
0,choice_only,standard,1,0.56,-0.6924445766781129
0,choice_only,projected,1,0.58,-0.6706795487308744
0,choice_only,partial,1,0.58,-0.6706795487308744
0,choice_only,standard,2,0.64,-0.6917216024592835
0,choice_only,projected,2,0.62,-0.6671999568860569
0,choice_only,partial,2,0.62,-0.6671999568860569
0,choice_only,standard,3,0.6,-0.6908394762307253
0,choice_only,projected,3,0.68,-0.6462503710287852
0,choice_only,partial,3,0.68,-0.6462503710287852
0,choice_only,standard,4,0.58,-0.690564639157856
0,choice_only,projected,4,0.68,-0.6427488315380421
0,choice_only,partial,4,0.68,-0.6427488315380421
0,choice_only,standard,5,0.62,-0.6895426445472882
0,choice_only,projected,5,0.62,-0.6324656602441786
0,choice_only,partial,5,0.62,-0.6324656602441786
0,choice_only,standard,6,0.68,-0.6886720427341718
0,choice_only,projected,6,0.72,-0.5965052825888765
0,choice_only,partial,6,0.72,-0.5965052825888765
0,choice_only,standard,7,0.74,-0.6885802144915835
0,choice_only,projected,7,0.68,-0.6182547317154886
0,choice_only,partial,7,0.68,-0.6182547317154886
0,choice_only,standard,8,0.62,-0.6892375920313534
0,choice_only,projected,8,0.64,-0.6542250748990273
0,choice_only,partial,8,0.64,-0.6542250748990273
0,choice_only,standard,9,0.62,-0.6887530303611307
0,choice_only,projected,9,0.62,-0.6474912186392772
0,choice_only,partial,9,0.62,-0.6474912186392772
0,choice_only,standard,10,0.64,-0.6882037173544436
0,choice_only,projected,10,0.62,-0.6281753184633863
0,choice_only,partial,10,0.62,-0.6281753184633863
0,choice_only,standard,11,0.7,-0.687078562236577
0,choice_only,projected,11,0.66,-0.6292946323599931
0,choice_only,partial,11,0.66,-0.6292946323599931
0,choice_only,standard,12,0.7,-0.6856145559069983
0,choice_only,projected,12,0.66,-0.6161486725141266
0,choice_only,partial,12,0.66,-0.6161486725141266
0,choice_only,standard,13,0.74,-0.6851068560399421
0,choice_only,projected,13,0.64,-0.6200231491055654
0,choice_only,partial,13,0.64,-0.6200231491055654
0,choice_only,standard,14,0.74,-0.684105416285096
0,choice_only,projected,14,0.7,-0.572045170152655
0,choice_only,partial,14,0.7,-0.572045170152655
0,choice_only,standard,15,0.76,-0.6840356820160548
0,choice_only,projected,15,0.68,-0.5791437266648358
0,choice_only,partial,15,0.68,-0.5791437266648358
0,choice_only,standard,16,0.78,-0.6829917208281049
0,choice_only,projected,16,0.72,-0.5737096190258728
0,choice_only,partial,16,0.72,-0.5737096190258728
0,choice_only,standard,17,0.76,-0.6825645704123301
0,choice_only,projected,17,0.72,-0.5813769790922705
0,choice_only,partial,17,0.72,-0.5813769790922705
0,choice_only,standard,18,0.74,-0.683043728847566
0,choice_only,projected,18,0.7,-0.59088374310725
0,choice_only,partial,18,0.7,-0.59088374310725
0,choice_only,standard,19,0.76,-0.6824070368834352
0,choice_only,projected,19,0.66,-0.6039488774158199
0,choice_only,partial,19,0.66,-0.6039488774158199
0,choice_only,standard,20,0.74,-0.6812016848971031
0,choice_only,projected,20,0.74,-0.5516438635347675
0,choice_only,partial,20,0.74,-0.5516438635347675
0,inference_affirm,standard,1,0.56,-0.6924445766781129
0,inference_affirm,projected,1,0.58,-0.6706795487308744
0,inference_affirm,partial,1,0.62,-0.6717618269305696
0,inference_affirm,standard,2,0.64,-0.6917216024592835
0,inference_affirm,projected,2,0.62,-0.6671999568860569
0,inference_affirm,partial,2,0.56,-0.6643488798942908
0,inference_affirm,standard,3,0.6,-0.6908394762307253
0,inference_affirm,projected,3,0.68,-0.6462503710287852
0,inference_affirm,partial,3,0.66,-0.6380893753703042
0,inference_affirm,standard,4,0.58,-0.690564639157856
0,inference_affirm,projected,4,0.68,-0.6427488315380421
0,inference_affirm,partial,4,0.66,-0.6565587042515488
0,inference_affirm,standard,5,0.62,-0.6895426445472882
0,inference_affirm,projected,5,0.62,-0.6324656602441786
0,inference_affirm,partial,5,0.56,-0.640068593603235
0,inference_affirm,standard,6,0.68,-0.6886720427341718
0,inference_affirm,projected,6,0.72,-0.5965052825888765
0,inference_affirm,partial,6,0.64,-0.6141392180005142
0,inference_affirm,standard,7,0.74,-0.6885802144915835
0,inference_affirm,projected,7,0.68,-0.6182547317154886
0,inference_affirm,partial,7,0.58,-0.6581437970715754
0,inference_affirm,standard,8,0.62,-0.6892375920313534
0,inference_affirm,projected,8,0.64,-0.6542250748990273
0,inference_affirm,partial,8,0.6,-0.6913620892925226
0,inference_affirm,standard,9,0.62,-0.6887530303611307
0,inference_affirm,projected,9,0.62,-0.6474912186392772
0,inference_affirm,partial,9,0.6,-0.697646365702831
0,inference_affirm,standard,10,0.64,-0.6882037173544436
0,inference_affirm,projected,10,0.62,-0.6281753184633863
0,inference_affirm,partial,10,0.58,-0.6946003917297838
0,inference_affirm,standard,11,0.7,-0.687078562236577
0,inference_affirm,projected,11,0.66,-0.6292946323599931
0,inference_affirm,partial,11,0.58,-0.7015044037815044
0,inference_affirm,standard,12,0.7,-0.6856145559069983
0,inference_affirm,projected,12,0.66,-0.6161486725141266
0,inference_affirm,partial,12,0.58,-0.6760847328801521
0,inference_affirm,standard,13,0.74,-0.6851068560399421
0,inference_affirm,projected,13,0.64,-0.6200231491055654
0,inference_affirm,partial,13,0.6,-0.6855156248746893
0,inference_affirm,standard,14,0.74,-0.684105416285096
0,inference_affirm,projected,14,0.7,-0.572045170152655
0,inference_affirm,partial,14,0.62,-0.6623312695239842
0,inference_affirm,standard,15,0.76,-0.6840356820160548
0,inference_affirm,projected,15,0.68,-0.5791437266648358
0,inference_affirm,partial,15,0.6,-0.6616399547846947
0,inference_affirm,standard,16,0.78,-0.6829917208281049
0,inference_affirm,projected,16,0.72,-0.5737096190258728
0,inference_affirm,partial,16,0.62,-0.6602960436292861
0,inference_affirm,standard,17,0.76,-0.6825645704123301
0,inference_affirm,projected,17,0.72,-0.5813769790922705
0,inference_affirm,partial,17,0.62,-0.6639655058490789
0,inference_affirm,standard,18,0.74,-0.683043728847566
0,inference_affirm,projected,18,0.7,-0.59088374310725
0,inference_affirm,partial,18,0.64,-0.6727735039019972
0,inference_affirm,standard,19,0.76,-0.6824070368834352
0,inference_affirm,projected,19,0.66,-0.6039488774158199
0,inference_affirm,partial,19,0.62,-0.6784585201899478
