persona_id,condition,n_trials,rating_partial_vs_standard,ll_standard,acc_standard,ll_projected,acc_projected,ll_partial,acc_partial
2,choice_only,20,0.432168990930709,-0.6927585311045905,0.54,-0.7064088891419524,0.6,-0.7064088891419524,0.6
2,inference_affirm,20,0.6931205959398855,-0.6927585311045905,0.54,-0.7064088891419524,0.6,-0.6520210733844118,0.6
2,inference_categories,20,0.30423931751818933,-0.6927585311045905,0.54,-0.7064088891419524,0.6,-0.7341180877952946,0.56
3,choice_only,20,0.9874341063457408,-0.6808329791388452,0.78,-0.46262680534746786,0.8,-0.46262680534746786,0.8
3,inference_affirm,20,0.9656781085121364,-0.6808329791388452,0.78,-0.46262680534746786,0.8,-0.5139806205740293,0.74
3,inference_categories,20,0.9851500104518179,-0.6808329791388452,0.78,-0.46262680534746786,0.8,-0.47109324098739486,0.74
1,choice_only,20,0.9825815178078434,-0.6817321182377271,0.8,-0.48009954460580273,0.76,-0.48009954460580273,0.76
1,inference_affirm,20,0.8615514042661873,-0.6817321182377271,0.8,-0.48009954460580273,0.76,-0.5903203374517302,0.66
1,inference_categories,20,0.9761571103432178,-0.6817321182377271,0.8,-0.48009954460580273,0.76,-0.49612524314356304,0.76
0,choice_only,20,0.9302902491065648,-0.6812016848971031,0.74,-0.5516438635347677,0.74,-0.5516438635347677,0.74
0,inference_affirm,20,0.7266607558653433,-0.6812016848971031,0.74,-0.5516438635347677,0.74,-0.6323143820614823,0.62
0,inference_categories,20,0.7157755942921279,-0.6812016848971031,0.74,-0.5516438635347677,0.74,-0.6350215541495569,0.62
4,choice_only,20,0.9727899583133669,-0.6853587895585841,0.74,-0.5065296843649036,0.74,-0.5065296843649036,0.74
4,inference_affirm,20,0.9760189143907321,-0.6853587895585841,0.74,-0.5065296843649036,0.74,-0.5000479622734008,0.74
4,inference_categories,20,0.9779847456908538,-0.6853587895585841,0.74,-0.5065296843649036,0.74,-0.4956708654741577,0.72
5,choice_only,20,0.22842833699834778,-0.6908491249447625,0.62,-0.7517094758381541,0.54,-0.7517094758381541,0.54
5,inference_affirm,20,0.7126469758696926,-0.6908491249447625,0.62,-0.7517094758381541,0.54,-0.6454353917603316,0.58
5,inference_categories,20,0.6372330257947323,-0.6908491249447625,0.62,-0.7517094758381541,0.54,-0.6626803888218065,0.54
6,choice_only,20,0.9796622780484401,-0.6834268120584177,0.8,-0.4896902864516448,0.74,-0.4896902864516448,0.74
6,inference_affirm,20,0.9684516866239088,-0.6834268120584177,0.8,-0.4896902864516448,0.74,-0.5122178886554218,0.72
