user_id,condition,n_trials,rating_partial_vs_standard,test_acc_standard,test_ll_standard,spearman_standard,topn_sign_standard,topn_overlap_standard,combined_standard,test_acc_projected,test_ll_projected,spearman_projected,topn_sign_projected,topn_overlap_projected,combined_projected,test_acc_partial,test_ll_partial,spearman_partial,topn_sign_partial,topn_overlap_partial,combined_partial,test_acc_blend,test_ll_blend,spearman_blend,topn_sign_blend,topn_overlap_blend,combined_blend
0,choice_only,20,0.5424503601681362,0.595,-0.6902030174418331,0.44886833303346246,0.7,0.6,0.42443416651673116,0.69,-0.6245241626188189,0.5169528122492555,0.7,0.6,0.4584764061246277,0.69,-0.6245241626188189,0.5169528122492555,0.7,0.6,0.4584764061246277,0.69,-0.6245241626188189,0.5169528122492555,0.7,0.6,0.4584764061246277
0,inference_affirm,20,0.3493571458855746,0.59,-0.6897993627600394,0.33430702369431353,0.6,0.5,0.26715351184715674,0.725,-0.5852947095946722,0.3359377896635541,0.5,0.5,0.16796889483177704,0.66,-0.6006368072019316,0.4855605673413749,0.4,0.2,0.14278028367068749,0.66,-0.6006368072019316,0.4855605673413749,0.4,0.2,0.14278028367068749
0,inference_categories,20,0.7550641625194662,0.68,-0.6875339272518933,0.37629924740225773,0.5,0.4,0.18814962370112887,0.74,-0.5690322746788761,0.4199222370794426,0.6,0.5,0.3099611185397213,0.68,-0.5635425997797116,0.6266218236806826,0.6,0.5,0.4133109118403413,0.68,-0.5635425997797116,0.6266218236806826,0.6,0.5,0.4133109118403413
1,choice_only,20,0.5,0.705,-0.6840271358224104,0.5516102678045707,0.5,0.5,0.27580513390228534,0.76,-0.5145662123799473,0.5516102678045707,0.5,0.5,0.27580513390228534,0.76,-0.5145662123799473,0.5516102678045707,0.5,0.5,0.27580513390228534,0.76,-0.5145662123799473,0.5516102678045707,0.5,0.5,0.27580513390228534
1,inference_affirm,20,0.5052233920502229,0.68,-0.6827136229291068,0.4020997406723554,0.4,0.6,0.10104987033617771,0.735,-0.5381467215743616,0.44203112369524517,0.4,0.6,0.1210155618476226,0.69,-0.5602924362467213,0.4104574720027276,0.4,0.6,0.10522873600136382,0.69,-0.5602924362467213,0.4104574720027276,0.4,0.6,0.10522873600136382
1,inference_categories,20,0.47101264135738385,0.715,-0.681946597578761,0.5971134717143752,0.5,0.5,0.2985567358571876,0.745,-0.513882490507075,0.6184721184475489,0.5,0.5,0.30923605922377445,0.71,-0.5549189086345,0.5506816309900848,0.5,0.5,0.2753408154950424,0.71,-0.5549189086345,0.5506816309900848,0.5,0.5,0.2753408154950424
2,choice_only,20,0.5089810731469022,0.795,-0.6821757856735321,0.4711721142240267,0.4,0.4,0.13558605711201338,0.835,-0.44639104210689484,0.4855433769672432,0.4,0.4,0.14277168848362162,0.835,-0.44639104210689484,0.4855433769672432,0.4,0.4,0.14277168848362162,0.835,-0.44639104210689484,0.4855433769672432,0.4,0.4,0.14277168848362162
2,inference_affirm,20,0.6509419557049382,0.62,-0.6879747535429618,0.45372129517869236,0.2,0.3,-0.07313935241065381,0.625,-0.6017349083071635,0.4393500324354759,0.2,0.4,-0.08032498378226205,0.705,-0.5713163069522398,0.5029941960125776,0.3,0.4,0.051497098006288766,0.705,-0.5713163069522398,0.5029941960125776,0.3,0.4,0.051497098006288766
2,inference_categories,20,0.49230171763464387,0.63,-0.6872001835445687,0.5512405780790902,0.4,0.6,0.17562028903954513,0.79,-0.5181041334291061,0.5276306464295201,0.4,0.6,0.16381532321476006,0.775,-0.5163076790195269,0.5389223528706188,0.4,0.6,0.16946117643530945,0.775,-0.5163076790195269,0.5389223528706188,0.4,0.6,0.16946117643530945
3,choice_only,20,0.48263864552904473,0.65,-0.6840696814409826,0.27876180655961474,0.3,0.4,-0.06061909672019264,0.72,-0.5464191234947009,0.2509724675879398,0.3,0.4,-0.07451376620603012,0.72,-0.5464191234947009,0.2509724675879398,0.3,0.4,-0.07451376620603012,0.72,-0.5464191234947009,0.2509724675879398,0.3,0.4,-0.07451376620603012
