persona_id,condition,trial,accuracy,log_likelihood
0,standard,0,0.3,-0.6931471803599452
0,projected,0,0.3,-0.6931471803599452
0,slider,0,0.3,-0.6931471803599452
0,partial,0,0.3,-0.6931471803599452
0,standard,1,0.52,-0.7980072592834891
0,projected,1,0.38,-0.7872638743044533
0,slider,1,0.38,-0.7892479924347906
0,partial,1,0.46,-0.7519128588525968
0,standard,2,0.52,-0.7866247264141702
0,projected,2,0.46,-0.7481124877131445
0,slider,2,0.46,-0.7699158253200765
0,partial,2,0.5,-0.7108347827229613
0,standard,3,0.34,-1.4043286066866916
0,projected,3,0.5,-0.8299435722977521
0,slider,3,0.5,-0.8611657101682306
0,partial,3,0.44,-1.0571421252582887
0,standard,4,0.36,-1.4433145612410139
0,projected,4,0.44,-0.8790556370382635
0,slider,4,0.5,-0.808227535106169
0,partial,4,0.44,-1.075948082080434
0,standard,5,0.36,-1.447415624517853
0,projected,5,0.44,-0.9172257876238571
0,slider,5,0.48,-0.8755822662275583
0,partial,5,0.44,-1.097328896913204
0,standard,6,0.36,-1.4509490947704071
0,projected,6,0.46,-0.9260452902977445
0,slider,6,0.52,-0.8809128288310426
0,partial,6,0.44,-1.1020775596651833
0,standard,7,0.46,-1.468260542397852
0,projected,7,0.46,-0.9225565901809
0,slider,7,0.44,-0.9664739606508604
0,partial,7,0.52,-1.072062335229066
0,standard,8,0.52,-1.453203895643766
0,projected,8,0.5,-0.8284021882094712
0,slider,8,0.36,-1.2436760445365216
0,partial,8,0.52,-1.0377794231679527
0,standard,9,0.52,-1.4557848551082246
0,projected,9,0.52,-0.8540592794145215
0,slider,9,0.42,-1.2597903777570143
0,partial,9,0.52,-1.0441663457990764
0,standard,10,0.62,-1.3777172513412475
0,projected,10,0.54,-0.8150375046247883
0,slider,10,0.4,-1.2424790034737057
0,partial,10,0.58,-0.989136896704681
0,standard,11,0.62,-1.3784361075201181
0,projected,11,0.52,-0.8390469561076631
0,slider,11,0.44,-1.2620584793149145
0,partial,11,0.58,-0.9695208269478709
0,standard,12,0.56,-1.290007705144522
0,projected,12,0.52,-0.8225601486674418
0,slider,12,0.48,-1.1255357184367105
0,partial,12,0.56,-0.9258600461485684
0,standard,13,0.62,-1.4056203691615219
0,projected,13,0.52,-0.7995869780146891
0,slider,13,0.46,-1.2253034232260185
0,partial,13,0.58,-1.052468162898059
0,standard,14,0.62,-1.388508795301118
0,projected,14,0.54,-0.7542517592048064
0,slider,14,0.52,-1.0215160488310828
0,partial,14,0.6,-0.9144411007099821
0,standard,15,0.64,-1.140560431517643
0,projected,15,0.58,-0.7047494759406411
0,slider,15,0.52,-1.103168297643541
0,partial,15,0.6,-0.8161775241207241
0,standard,16,0.56,-1.3929922142483044
0,projected,16,0.64,-0.6665001533282953
0,slider,16,0.52,-1.1162221656040687
0,partial,16,0.54,-0.9581440343745704
0,standard,17,0.56,-1.3975072662773642
0,projected,17,0.6,-0.7432454762467339
0,slider,17,0.42,-1.4068769634811071
0,partial,17,0.52,-1.0024251715670376
0,standard,18,0.56,-1.39750863019858
0,projected,18,0.6,-0.711306496251416
0,slider,18,0.44,-1.8290454436126269
0,partial,18,0.52,-1.0041328801558236
0,standard,19,0.56,-1.4318750339151267
0,projected,19,0.56,-0.7164017298213504
0,slider,19,0.44,-1.8288574693369624
0,partial,19,0.52,-1.0103130066456303
0,standard,20,0.58,-1.4134233683188626
0,projected,20,0.58,-0.7249500457332999
0,slider,20,0.46,-1.8949488540456676
0,partial,20,0.54,-1.0245646677828313
0,standard,21,0.58,-1.4160198080189925
0,projected,21,0.54,-0.787050068740134
0,slider,21,0.4,-2.0541364331778014
0,partial,21,0.52,-1.0705526507659955
0,standard,22,0.58,-1.416121349094696
0,projected,22,0.56,-0.7282079609355574
0,slider,22,0.4,-2.104220634197429
0,partial,22,0.52,-1.0726556682019832
0,standard,23,0.58,-1.4161255823182217
0,projected,23,0.58,-0.732293938676009
0,slider,23,0.4,-2.552794949720256
0,partial,23,0.52,-1.075910496258663
0,standard,24,0.58,-1.3766834029393251
0,projected,24,0.58,-0.7250331924400935
0,slider,24,0.42,-2.542140661619699
0,partial,24,0.56,-1.0333262389776108
0,standard,25,0.6,-1.0920069623662685
0,projected,25,0.58,-0.7283633142007523
0,slider,25,0.4,-2.3895976966235737
0,partial,25,0.6,-0.9418163849593322
0,standard,26,0.6,-1.0864458848806986
0,projected,26,0.64,-0.6544869416013169
0,slider,26,0.42,-2.30120039968265
0,partial,26,0.6,-0.8978034970706037
0,standard,27,0.66,-0.9433353627177017
0,projected,27,0.62,-0.6403895826177302
0,slider,27,0.44,-2.288012483622566
0,partial,27,0.68,-0.7631503840570982
0,standard,28,0.66,-0.9400689653406884
0,projected,28,0.66,-0.5661138086897697
0,slider,28,0.52,-2.102501017023343
0,partial,28,0.68,-0.7590022843776114
0,standard,29,0.68,-0.9796846741282852
0,projected,29,0.68,-0.5747988784158665
