user_id,condition,trial,accuracy,log_likelihood,utility_pearson,utility_spearman,weight_recovery_pearson,weight_recovery_spearman
0,standard,0,1.0,-0.6931471803599453,,,,
0,projected,0,1.0,-0.6931471803599453,,,,
0,slider,0,1.0,-0.6931471803599453,,,,
0,partial,0,1.0,-0.6931471803599453,,,,
0,standard,1,0.53,-0.6931499386217752,,,,
0,projected,1,0.53,-0.6931429289392542,,,,
0,slider,1,0.53,-0.6931463293590396,,,,
0,partial,1,0.54,-0.6931481289541074,,,,
0,standard,2,0.485,-0.69314741257257,,,,
0,projected,2,0.48,-0.6931477588662954,,,,
0,slider,2,0.48,-0.693147294171102,,,,
0,partial,2,0.495,-0.6931473453489804,,,,
0,standard,3,0.5,-0.6931379877484076,,,,
0,projected,3,0.515,-0.6931472198938181,,,,
0,slider,3,0.515,-0.6931471838157088,,,,
0,partial,3,0.505,-0.6931425667724486,,,,
0,standard,4,0.53,-0.6930858323140547,,,,
0,projected,4,0.565,-0.6931375249697938,,,,
0,slider,4,0.565,-0.6931452441107746,,,,
0,partial,4,0.515,-0.6931154984791753,,,,
0,standard,5,0.505,-0.6930955461844982,,,,
0,projected,5,0.545,-0.6931350587293167,,,,
0,slider,5,0.545,-0.6931447459263788,,,,
0,partial,5,0.505,-0.6931200923453582,,,,
0,standard,6,0.515,-0.6931074111935754,,,,
0,projected,6,0.51,-0.6931369020535234,,,,
0,slider,6,0.51,-0.6931451129662604,,,,
0,partial,6,0.505,-0.6931262007165319,,,,
0,standard,7,0.505,-0.6930952073682138,,,,
0,projected,7,0.52,-0.6931349475404076,,,,
0,slider,7,0.52,-0.6931447213771226,,,,
0,partial,7,0.51,-0.6931198997700895,,,,
0,standard,8,0.485,-0.6931249907645909,,,,
0,projected,8,0.525,-0.6931433658549758,,,,
0,slider,8,0.525,-0.6931464036831559,,,,
0,partial,8,0.5,-0.6931356258937518,,,,
0,standard,9,0.49,-0.693148292917154,,,,
0,projected,9,0.5,-0.6931626809147851,,,,
0,slider,9,0.5,-0.6931502682205415,,,,
0,partial,9,0.49,-0.6931492129657769,,,,
0,standard,10,0.495,-0.6931639325717136,,,,
0,projected,10,0.5,-0.6931734007145526,,,,
0,slider,10,0.5,-0.6931524140919592,,,,
0,partial,10,0.485,-0.6931581119168568,,,,
0,standard,11,0.515,-0.6931773320802551,,,,
0,projected,11,0.455,-0.6931781460450174,,,,
0,slider,11,0.455,-0.6931533624884935,,,,
0,partial,11,0.53,-0.6931652852201696,,,,
0,standard,12,0.485,-0.6931750757661915,,,,
0,projected,12,0.43,-0.6931816575130967,,,,
0,slider,12,0.43,-0.6931540621351026,,,,
0,partial,12,0.495,-0.6931644944600296,,,,
0,standard,13,0.485,-0.6931979382963298,,,,
0,projected,13,0.445,-0.6931877563840237,,,,
0,slider,13,0.445,-0.6931552805582245,,,,
0,partial,13,0.475,-0.6931765152830232,,,,
0,standard,14,0.475,-0.6931853786382873,,,,
