persona_id,option_a_id,option_b_id,choice_1,choice_2,consistent
1,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,B,B,1
1,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,B,B,1
1,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,B,B,1
1,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,B,A,0
1,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,B,B,1
1,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,A,A,1
1,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,A,A,1
1,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,A,A,1
1,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,B,A,0
1,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,A,A,1
3,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,A,A,1
3,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,A,B,0
3,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,B,B,1
3,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,B,B,1
3,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,B,B,1
3,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,B,B,1
3,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,A,A,1
3,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,A,A,1
3,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,B,B,1
3,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,B,B,1
2,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,A,A,1
2,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,B,B,1
2,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,A,B,0
2,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,B,B,1
2,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,B,A,0
2,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,A,A,1
2,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,A,A,1
2,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,B,A,0
2,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,B,B,1
2,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,A,B,0
0,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,B,B,1
0,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,B,B,1
0,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,A,A,1
0,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,B,A,0
0,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,A,A,1
0,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,A,A,1
0,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,A,A,1
0,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,B,B,1
0,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,A,A,1
0,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,A,A,1
6,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,B,B,1
6,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,B,B,1
6,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,B,B,1
6,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,B,B,1
6,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,A,A,1
6,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,A,A,1
6,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,A,A,1
6,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,A,B,0
6,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,A,A,1
6,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,A,A,1
5,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,A,A,1
5,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,A,A,1
5,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,A,A,1
5,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,A,B,0
5,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,B,B,1
5,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,A,A,1
5,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,A,A,1
5,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,A,A,1
5,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,B,B,1
5,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,B,B,1
4,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,B,B,1
4,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,B,B,1
4,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,B,B,1
4,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,B,B,1
4,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,B,B,1
4,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,A,A,1
4,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,B,A,0
4,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,B,B,1
4,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,B,B,1
4,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,A,A,1
7,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,A,A,1
7,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,B,B,1
7,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,A,A,1
7,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,A,B,0
7,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,A,A,1
7,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,A,A,1
7,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,A,A,1
7,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,A,A,1
7,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,B,A,0
7,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,A,A,1
9,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,A,A,1
9,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,B,B,1
9,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,A,A,1
9,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,A,B,0
9,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,A,A,1
9,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,A,A,1
9,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,A,A,1
9,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,A,B,0
9,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,A,A,1
9,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,A,A,1
8,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,B,B,1
8,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,A,A,1
8,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,B,B,1
8,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,A,A,1
8,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,A,A,1
8,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,B,B,1
8,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,B,B,1
8,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,A,A,1
8,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,A,A,1
8,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,A,A,1
11,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,A,B,0
11,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,B,B,1
11,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,A,A,1
11,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,B,B,1
11,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,A,A,1
11,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,A,B,0
11,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,A,A,1
11,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,A,A,1
11,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,A,A,1
11,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,A,A,1
10,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,B,B,1
10,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,A,A,1
10,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,B,B,1
10,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,A,A,1
10,nLMdI8lGROH4YfrBJ4dux800mOnOQEOg,ZJb62BwJWMaX1XzpeSzvPh9D3gUK4BgF,B,B,1
10,n1LCG7OKEdODVL9SoCIHO7kghmRwwBY1,dEGTAsxz3FmiVgtrnaVUtWRkTbPz23IG,A,A,1
10,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,2lnebTVUj1n6EJCtV9TuZtOClC69GRzB,A,A,1
10,hLxS5upmNUTL56q5hDPoMrIX7Ds7Pn7g,8I5wlL89uUcSdAW4LIoic7OIthGvti2a,A,A,1
10,WwnM7nuGs5DXW2u9nZTFdsqEn9eFhfIr,GqfgNWgzEAz6Cd6xuEEyK5wdv2UBGUe5,B,B,1
10,jAKY0cfankrId7YxmCEfPPNX0hwezsfZ,6ckcIvqMS4fkx4VzdTee6ZOVPC5L9595,A,A,1
12,pxFN2ipjUPd2URVRk7Y3iH6nu6Jw6gY5,IuOFKPsDQhrBAGnOyJ1V0m4YUFceU7Ky,A,A,1
12,BpUBWLUwrdvl5iRA4UMYNUl1YN2LpAuh,mwGipb5WZY5atgLHgKXkpFo91GvQlidO,B,B,1
12,nLO5HErCbSNbkUMco3QZnQV8voBHh6TE,csJHlMWIUC5lg4i573nh0Bd3hDHlbd4a,B,B,1
12,0eweAFPZwjEnu6byE8gM6QWkGpSP8Klh,UiqSwJfGX5OUY42S4DA5W7LDNpOsit2y,B,B,1
