persona_id,condition,trial,accuracy,log_likelihood
1,standard,0,0.3,-0.6931471803599452
1,projected,0,0.3,-0.6931471803599452
1,slider,0,0.3,-0.6931471803599452
1,partial,0,0.3,-0.6931471803599452
1,standard,1,0.42,-0.6931664606676345
1,projected,1,0.48,-0.693149734652033
1,slider,1,0.5,-0.6931370652413746
1,partial,1,0.52,-0.6931517536107217
1,standard,2,0.56,-0.6930849170330012
1,projected,2,0.48,-0.6931478739391608
1,slider,2,0.56,-0.6931355929163878
1,partial,2,0.52,-0.6931102348115388
1,standard,3,0.6,-0.6930637887316213
1,projected,3,0.4,-0.693171769892289
1,slider,3,0.4,-0.6931583598846199
1,partial,3,0.52,-0.6931110354439923
1,standard,4,0.52,-0.6931374997717177
1,projected,4,0.46,-0.6931836503976395
1,slider,4,0.48,-0.6931698528250455
1,partial,4,0.48,-0.6931536393258295
1,standard,5,0.54,-0.6930463577465951
1,projected,5,0.46,-0.6931471092483049
1,slider,5,0.54,-0.6931279480327466
1,partial,5,0.46,-0.693087118032855
1,standard,6,0.56,-0.6930174353189591
1,projected,6,0.44,-0.6931546002736354
1,slider,6,0.44,-0.6931287612633581
1,partial,6,0.5,-0.6930730624510947
1,standard,7,0.62,-0.6929799059781558
1,projected,7,0.5,-0.6931314037918096
1,slider,7,0.52,-0.6931052976067912
1,partial,7,0.58,-0.6930425535544069
1,standard,8,0.7,-0.6928779706889998
1,projected,8,0.5,-0.6931111404855305
1,slider,8,0.54,-0.6930849507419041
1,partial,8,0.66,-0.6929814075643784
1,standard,9,0.7,-0.6928198642595761
1,projected,9,0.56,-0.6930594193716781
1,slider,9,0.6,-0.6930296491180228
1,partial,9,0.72,-0.6929247008026351
1,standard,10,0.66,-0.6928212657364183
1,projected,10,0.54,-0.6930809995452563
1,slider,10,0.52,-0.6930577571061312
1,partial,10,0.68,-0.6929394415463999
1,standard,11,0.68,-0.6928089340822089
1,projected,11,0.54,-0.6930313386005826
1,slider,11,0.62,-0.6929997936625638
1,partial,11,0.62,-0.6929042715510556
1,standard,12,0.62,-0.6928691087174863
1,projected,12,0.58,-0.6930460959769827
1,slider,12,0.66,-0.6930079503148358
1,partial,12,0.66,-0.6929384396713004
1,standard,13,0.64,-0.6927856547686351
1,projected,13,0.54,-0.6930179063484353
1,slider,13,0.68,-0.692976500581228
1,partial,13,0.66,-0.6928809440550421
1,standard,14,0.66,-0.6927548838226683
1,projected,14,0.52,-0.6929997001418264
1,slider,14,0.62,-0.6929469646468509
1,partial,14,0.66,-0.6928507828395332
1,standard,15,0.66,-0.6926979220959087
1,projected,15,0.66,-0.6929885024089876
