user_id,condition,trial,accuracy,log_likelihood,utility_pearson,utility_spearman,weight_recovery_pearson,weight_recovery_spearman
0,standard,0,1.0,-0.6931471803599453,,,,
0,projected,0,1.0,-0.6931471803599453,,,,
0,slider,0,1.0,-0.6931471803599453,,,,
0,partial,0,1.0,-0.6931471803599453,,,,
0,standard,1,0.535,-0.6931289869363306,,,,
0,projected,1,0.535,-0.6931391112356162,,,,
0,slider,1,0.465,-0.6931487958900681,,,,
0,partial,1,0.525,-0.6931388859969942,,,,
0,standard,2,0.515,-0.6931254747481329,,,,
0,projected,2,0.54,-0.6931356743508718,,,,
0,slider,2,0.48,-0.6931481056494425,,,,
0,partial,2,0.53,-0.6931367785207471,,,,
0,standard,3,0.555,-0.6931213855479393,,,,
0,projected,3,0.525,-0.6931365880312015,,,,
0,slider,3,0.485,-0.6931482887899512,,,,
0,partial,3,0.555,-0.6931348267059689,,,,
0,standard,4,0.515,-0.6931237002346853,,,,
0,projected,4,0.52,-0.6931374873073034,,,,
0,slider,4,0.455,-0.6931484695258194,,,,
0,partial,4,0.515,-0.693136075293948,,,,
0,standard,5,0.52,-0.6931173650094248,,,,
0,projected,5,0.52,-0.6931358477505085,,,,
0,slider,5,0.48,-0.693148139926865,,,,
0,partial,5,0.5,-0.6931327373416096,,,,
0,standard,6,0.49,-0.6931146815598764,,,,
0,projected,6,0.5,-0.6931336523258369,,,,
0,slider,6,0.48,-0.6931485812656524,,,,
0,partial,6,0.5,-0.6931316062986592,,,,
0,standard,7,0.495,-0.6931018010499972,,,,
0,projected,7,0.52,-0.6931244346907925,,,,
0,slider,7,0.505,-0.6931467292827892,,,,
0,partial,7,0.495,-0.6931242188986516,,,,
0,standard,8,0.52,-0.6931036423567888,,,,
0,projected,8,0.52,-0.693128361166701,,,,
0,slider,8,0.54,-0.6931459444403901,,,,
0,partial,8,0.52,-0.6931247428175371,,,,
0,standard,9,0.5,-0.6930962775346556,,,,
0,projected,9,0.53,-0.6931255331044889,,,,
0,slider,9,0.5,-0.6931465123872397,,,,
0,partial,9,0.515,-0.693121336877399,,,,
0,standard,10,0.495,-0.6930879456748517,,,,
0,projected,10,0.5,-0.6931233820747389,,,,
0,slider,10,0.51,-0.6931460819795708,,,,
0,partial,10,0.51,-0.69311694547457,,,,
0,standard,11,0.53,-0.6930993655587572,,,,
0,projected,11,0.52,-0.6931328125516839,,,,
0,slider,11,0.465,-0.6931479704058177,,,,
0,partial,11,0.525,-0.6931236060967332,,,,
0,standard,12,0.51,-0.6930767144997155,,,,
0,projected,12,0.515,-0.6931218036290642,,,,
0,slider,12,0.55,-0.6931457601448385,,,,
0,partial,12,0.51,-0.6931111431371844,,,,
0,standard,13,0.505,-0.6930705445697077,,,,
0,projected,13,0.51,-0.693123735103764,,,,
0,slider,13,0.53,-0.6931453739269751,,,,
0,partial,13,0.505,-0.6931078524344574,,,,
0,standard,14,0.515,-0.6930591593790342,,,,
