user_id,condition,trial,accuracy,log_likelihood,utility_pearson,utility_spearman,weight_recovery_pearson,weight_recovery_spearman
0,standard,0,1.0,-0.6931471803599453,,,,
0,projected,0,1.0,-0.6931471803599453,,,,
0,slider,0,1.0,-0.6931471803599453,,,,
0,partial,0,1.0,-0.6931471803599453,,,,
0,standard,1,0.465,-0.6931674213585316,,,,
0,projected,1,0.48,-0.6931490868757383,,,,
0,slider,1,0.48,-0.6931475611975386,,,,
0,partial,1,0.46,-0.6931574722838346,,,,
0,standard,2,0.455,-0.6931720062795685,,,,
0,projected,2,0.46,-0.6931577131444265,,,,
0,slider,2,0.46,-0.6931492860532796,,,,
0,partial,2,0.445,-0.6931606198597007,,,,
0,standard,3,0.505,-0.6931585549926911,,,,
0,projected,3,0.475,-0.6931588354027451,,,,
0,slider,3,0.475,-0.6931495098332369,,,,
0,partial,3,0.5,-0.6931539991636771,,,,
0,standard,4,0.515,-0.6931745959516222,,,,
0,projected,4,0.44,-0.6931657207020262,,,,
0,slider,4,0.44,-0.6931508868281497,,,,
0,partial,4,0.495,-0.6931627066975798,,,,
0,standard,5,0.485,-0.6932016745630663,,,,
0,projected,5,0.465,-0.6931678548308495,,,,
0,slider,5,0.465,-0.693151312326345,,,,
0,partial,5,0.49,-0.6931764500217801,,,,
0,standard,6,0.465,-0.6932276757347074,,,,
0,projected,6,0.445,-0.6931757161663995,,,,
0,slider,6,0.445,-0.6931528836549099,,,,
0,partial,6,0.45,-0.69319023365551,,,,
0,standard,7,0.46,-0.6932245864146367,,,,
0,projected,7,0.445,-0.6931719135686837,,,,
0,slider,7,0.445,-0.6931521235612391,,,,
0,partial,7,0.46,-0.6931883115211603,,,,
0,standard,8,0.415,-0.6932540903096047,,,,
0,projected,8,0.475,-0.6931632348253259,,,,
0,slider,8,0.475,-0.6931503888804579,,,,
0,partial,8,0.41,-0.6932021886344785,,,,
0,standard,9,0.46,-0.6932242932454353,,,,
0,projected,9,0.455,-0.6931683987890881,,,,
0,slider,9,0.455,-0.6931514209429548,,,,
0,partial,9,0.45,-0.6931878098523834,,,,
0,standard,10,0.435,-0.6932502648354523,,,,
0,projected,10,0.5,-0.6931637866970445,,,,
0,slider,10,0.5,-0.6931504983060099,,,,
0,partial,10,0.445,-0.6932003265163763,,,,
0,standard,11,0.42,-0.6932708370651659,,,,
0,projected,11,0.49,-0.6931566844153008,,,,
0,slider,11,0.49,-0.6931490784226101,,,,
0,partial,11,0.43,-0.6932098948066522,,,,
0,standard,12,0.445,-0.6932741058542977,,,,
0,projected,12,0.475,-0.6931539922650585,,,,
0,slider,12,0.475,-0.6931485399551959,,,,
0,partial,12,0.445,-0.6932112526221208,,,,
0,standard,13,0.445,-0.6932387878045632,,,,
0,projected,13,0.515,-0.6931471867269318,,,,
0,slider,13,0.515,-0.6931471778634524,,,,
0,partial,13,0.465,-0.6931928953363466,,,,
0,standard,14,0.46,-0.693246404803335,,,,
