persona_id,option_a_id,option_b_id,choice_1,choice_2,consistent
2,wine_75164,wine_15254,B,B,1
2,wine_118452,wine_67176,B,B,1
2,wine_70070,wine_42655,A,A,1
2,wine_100376,wine_3437,A,A,1
2,wine_70042,wine_38887,B,B,1
2,wine_67176,wine_43649,A,A,1
2,wine_67176,wine_102959,A,A,1
2,wine_55613,wine_111852,A,A,1
2,wine_38112,wine_128350,A,A,1
2,wine_57268,wine_110969,B,B,1
1,wine_75164,wine_15254,A,A,1
1,wine_118452,wine_67176,B,B,1
1,wine_70070,wine_42655,A,A,1
1,wine_100376,wine_3437,A,A,1
1,wine_70042,wine_38887,B,B,1
1,wine_67176,wine_43649,B,B,1
1,wine_67176,wine_102959,A,A,1
1,wine_55613,wine_111852,A,A,1
1,wine_38112,wine_128350,A,A,1
1,wine_57268,wine_110969,B,B,1
3,wine_75164,wine_15254,A,A,1
3,wine_118452,wine_67176,B,A,0
3,wine_70070,wine_42655,A,A,1
3,wine_100376,wine_3437,A,A,1
3,wine_70042,wine_38887,B,B,1
3,wine_67176,wine_43649,A,A,1
3,wine_67176,wine_102959,A,A,1
3,wine_55613,wine_111852,A,A,1
3,wine_38112,wine_128350,B,B,1
3,wine_57268,wine_110969,B,B,1
0,wine_75164,wine_15254,A,A,1
0,wine_118452,wine_67176,B,B,1
0,wine_70070,wine_42655,A,A,1
0,wine_100376,wine_3437,A,A,1
0,wine_70042,wine_38887,A,A,1
0,wine_67176,wine_43649,A,A,1
0,wine_67176,wine_102959,A,A,1
0,wine_55613,wine_111852,A,A,1
0,wine_38112,wine_128350,A,A,1
0,wine_57268,wine_110969,B,B,1
6,wine_75164,wine_15254,A,A,1
6,wine_118452,wine_67176,B,B,1
6,wine_70070,wine_42655,A,A,1
6,wine_100376,wine_3437,B,B,1
6,wine_70042,wine_38887,A,A,1
6,wine_67176,wine_43649,B,B,1
6,wine_67176,wine_102959,B,B,1
6,wine_55613,wine_111852,B,B,1
6,wine_38112,wine_128350,B,B,1
6,wine_57268,wine_110969,B,B,1
5,wine_75164,wine_15254,A,A,1
5,wine_118452,wine_67176,B,B,1
5,wine_70070,wine_42655,A,A,1
5,wine_100376,wine_3437,B,B,1
5,wine_70042,wine_38887,A,A,1
5,wine_67176,wine_43649,B,B,1
5,wine_67176,wine_102959,B,B,1
5,wine_55613,wine_111852,B,B,1
5,wine_38112,wine_128350,B,B,1
5,wine_57268,wine_110969,B,B,1
4,wine_75164,wine_15254,A,A,1
4,wine_118452,wine_67176,B,B,1
4,wine_70070,wine_42655,A,A,1
4,wine_100376,wine_3437,A,A,1
4,wine_70042,wine_38887,A,A,1
4,wine_67176,wine_43649,A,A,1
4,wine_67176,wine_102959,A,B,0
4,wine_55613,wine_111852,A,A,1
4,wine_38112,wine_128350,A,B,0
4,wine_57268,wine_110969,B,B,1
7,wine_75164,wine_15254,B,B,1
7,wine_118452,wine_67176,B,B,1
7,wine_70070,wine_42655,A,A,1
7,wine_100376,wine_3437,A,A,1
7,wine_70042,wine_38887,B,B,1
7,wine_67176,wine_43649,A,A,1
