persona_id,condition,trial,accuracy,log_likelihood
2,standard,0,0.36,-0.6931471803599452
2,projected,0,0.36,-0.6931471803599452
2,slider,0,0.36,-0.6931471803599452
2,partial,0,0.36,-0.6931471803599452
2,standard,1,0.48,-0.6931068996207354
2,projected,1,0.5,-0.6931465846822056
2,slider,1,0.6,-0.6931425325301619
2,partial,1,0.48,-0.6931247065980117
2,standard,2,0.38,-0.6931307966321784
2,projected,2,0.46,-0.6931602359379946
2,slider,2,0.46,-0.6931522472813612
2,partial,2,0.44,-0.6931415057459873
2,standard,3,0.44,-0.6931318338508875
2,projected,3,0.46,-0.6931466427224288
2,slider,3,0.52,-0.6931384668863977
2,partial,3,0.52,-0.6931351227402984
2,standard,4,0.4,-0.693103351290348
2,projected,4,0.44,-0.6931784062129099
2,slider,4,0.46,-0.693160149701331
2,partial,4,0.42,-0.6931317161995719
2,standard,5,0.46,-0.6931197416119038
2,projected,5,0.52,-0.6931441469019967
2,slider,5,0.58,-0.6931331091078278
2,partial,5,0.46,-0.6931263792122645
2,standard,6,0.48,-0.6930631083212567
2,projected,6,0.56,-0.6931152418891044
2,slider,6,0.62,-0.6931020565141774
2,partial,6,0.52,-0.6930824994626958
2,standard,7,0.48,-0.6930328755704772
2,projected,7,0.6,-0.6931079126660978
2,slider,7,0.6,-0.6930933933300137
2,partial,7,0.56,-0.6930630444465123
2,standard,8,0.5,-0.6929961886576852
2,projected,8,0.58,-0.6930997463988985
2,slider,8,0.64,-0.6930829319232735
2,partial,8,0.56,-0.6930394374856464
2,standard,9,0.54,-0.6929623347630279
2,projected,9,0.58,-0.6930990577517976
2,slider,9,0.66,-0.6930729515311259
2,partial,9,0.6,-0.693017505420046
2,standard,10,0.48,-0.6930048604686975
2,projected,10,0.5,-0.6931093884214254
2,slider,10,0.66,-0.6930641503410113
2,partial,10,0.54,-0.6930343562068546
2,standard,11,0.54,-0.6929422651035096
2,projected,11,0.58,-0.6930737167625091
2,slider,11,0.64,-0.6930355201437081
2,partial,11,0.54,-0.6929886565189358
2,standard,12,0.5,-0.6929934677618018
2,projected,12,0.58,-0.6930726329004745
2,slider,12,0.72,-0.6930351939833795
2,partial,12,0.52,-0.6930140939695556
2,standard,13,0.54,-0.6930000121231079
2,projected,13,0.54,-0.6930805768349562
2,slider,13,0.64,-0.6930386347519343
2,partial,13,0.56,-0.6930190607527181
2,standard,14,0.54,-0.6929424980682761
2,projected,14,0.5,-0.6930890760739389
2,slider,14,0.7,-0.6930165701573716
2,partial,14,0.58,-0.6929792554614221
2,standard,15,0.56,-0.692890736439637
2,projected,15,0.56,-0.6930833145383245
2,slider,15,0.68,-0.693009323148007
2,partial,15,0.6,-0.692949759926116
2,standard,16,0.52,-0.6928652318792803
2,projected,16,0.58,-0.6930775714852812
2,slider,16,0.68,-0.6930035107727983
2,partial,16,0.58,-0.6929341176788681
2,standard,17,0.5,-0.6928730443885108
2,projected,17,0.6,-0.693063793803535
2,slider,17,0.7,-0.692989146027451
2,partial,17,0.56,-0.6929308359841361
2,standard,18,0.52,-0.6928731759805126
2,projected,18,0.58,-0.693075783256221
2,slider,18,0.68,-0.6929928774487716
2,partial,18,0.58,-0.6929327662898943
2,standard,19,0.54,-0.692830920039623
2,projected,19,0.58,-0.6930461302409257
2,slider,19,0.68,-0.6929706010258052
2,partial,19,0.6,-0.6929005129331456
2,standard,20,0.54,-0.6927478912260675
2,projected,20,0.68,-0.693001974212852
2,slider,20,0.76,-0.6929252026651794
2,partial,20,0.66,-0.6928362980548753
2,standard,21,0.56,-0.6927370649896238
2,projected,21,0.66,-0.6930246684657058
2,slider,21,0.7,-0.6929427327012161
2,partial,21,0.64,-0.6928396262969825
2,standard,22,0.6,-0.6927878708209463
2,projected,22,0.58,-0.693045949602283
2,slider,22,0.7,-0.6929459834978476
2,partial,22,0.68,-0.692866639081691
2,standard,23,0.62,-0.6928431773198528
2,projected,23,0.62,-0.6930586126276497
2,slider,23,0.74,-0.6929262274508692
2,partial,23,0.68,-0.6928844319271252
2,standard,24,0.6,-0.6928015899489016
2,projected,24,0.54,-0.6930793442498994
2,slider,24,0.74,-0.6929195425899392
2,partial,24,0.62,-0.6928603137626439
2,standard,25,0.56,-0.692773682353459
2,projected,25,0.52,-0.6931076117343854
2,slider,25,0.72,-0.6929184964442681
2,partial,25,0.66,-0.6928458156876814
2,standard,26,0.6,-0.6926976835761129
2,projected,26,0.54,-0.6930862730849369
2,slider,26,0.74,-0.6928952804887198
2,partial,26,0.64,-0.6927962026166888
2,standard,27,0.6,-0.6926547753626141
2,projected,27,0.6,-0.6930685555240856
2,slider,27,0.74,-0.6928761604452585
2,partial,27,0.68,-0.6927651682526493
2,standard,28,0.6,-0.692712222151084
2,projected,28,0.56,-0.6931027986269704
2,slider,28,0.76,-0.6929103864686853
2,partial,28,0.66,-0.6928110101313699
2,standard,29,0.62,-0.6926730641786766
2,projected,29,0.58,-0.6930823196608863
2,slider,29,0.76,-0.6928940181513064
2,partial,29,0.7,-0.6927832584596431
2,standard,30,0.66,-0.6925456214967042
2,projected,30,0.64,-0.6930370676553875
2,slider,30,0.76,-0.6928489159422394
2,partial,30,0.7,-0.6926969786336181
2,standard,31,0.66,-0.692423820875184
2,projected,31,0.64,-0.6930113280156398
2,slider,31,0.76,-0.6928214134499652
2,partial,31,0.68,-0.6926222670165552
2,standard,32,0.68,-0.6923760818608412
2,projected,32,0.6,-0.6930183026173025
2,slider,32,0.76,-0.6928252373552484
2,partial,32,0.68,-0.6926003305239837
2,standard,33,0.68,-0.6923282588921629
2,projected,33,0.58,-0.6930369274236148
2,slider,33,0.76,-0.6928423542948136
2,partial,33,0.76,-0.6925849763619334
2,standard,34,0.7,-0.6922397703667552
2,projected,34,0.62,-0.693021773059564
2,slider,34,0.76,-0.6928253370037939
2,partial,34,0.74,-0.6925321816064023
2,standard,35,0.72,-0.6921878014066205
2,projected,35,0.64,-0.6929863662270722
2,slider,35,0.76,-0.6927857640471629
2,partial,35,0.72,-0.6924864446597132
2,standard,36,0.72,-0.6921403593800057
2,projected,36,0.64,-0.6929601613850874
2,slider,36,0.74,-0.6927544235763865
2,partial,36,0.72,-0.6924469670305845
2,standard,37,0.66,-0.6921859084562217
2,projected,37,0.64,-0.6929673545807138
2,slider,37,0.76,-0.6927556093991071
2,partial,37,0.72,-0.6924703161738789
2,standard,38,0.72,-0.6920793270304018
2,projected,38,0.66,-0.6929353094621423
2,slider,38,0.76,-0.6927226987309197
2,partial,38,0.72,-0.6924004954393495
2,standard,39,0.7,-0.6921023112195903
2,projected,39,0.66,-0.6929355002899306
2,slider,39,0.76,-0.6927196665114604
2,partial,39,0.72,-0.6924104611398918
2,standard,40,0.72,-0.6920965699637138
2,projected,40,0.64,-0.6929436260892209
2,slider,40,0.74,-0.6927134693376459
2,partial,40,0.74,-0.6924044858996199
2,standard,41,0.68,-0.6921043159988649
2,projected,41,0.64,-0.6929322379633754
2,slider,41,0.74,-0.6927066799576498
2,partial,41,0.72,-0.6924049513194589
2,standard,42,0.68,-0.6920432446677871
2,projected,42,0.68,-0.6928907649141369
2,slider,42,0.76,-0.6926703856989918
2,partial,42,0.74,-0.6923562673774399
2,standard,43,0.7,-0.6919109565650972
2,projected,43,0.68,-0.6928642017243299
2,slider,43,0.76,-0.6926400000035742
2,partial,43,0.74,-0.6922747479891551
2,standard,44,0.7,-0.6919046336656592
2,projected,44,0.72,-0.6928437445649793
2,slider,44,0.78,-0.6926169869289498
2,partial,44,0.72,-0.6922600394925528
2,standard,45,0.7,-0.6918596587829444
2,projected,45,0.7,-0.6928511108194755
2,slider,45,0.78,-0.6926058328798687
